CLG. | SFAT Number,SmashTag,Path
3,SDJ,CLG. | SFAT <- SANS | Blues Clues <- EP | Justus
3,KaiKwonDo,CLG. | SFAT <- SANS | Blues Clues <- SLO | GrizzlyBair
3,Shy,CLG. | SFAT <- SANS | Blues Clues <- Fizz
3,HWY | ybot,CLG. | SFAT <- bobby big ballz <- cliché
3,GHQ | Zamu,CLG. | SFAT <- SANS | Blues Clues <- DD
3,Megaman,CLG. | SFAT <- bobby big ballz <- cliché
3,Elysian,CLG. | SFAT <- SANS | Blues Clues <- SLO | GrizzlyBair
3,DHB | IggyNieves,CLG. | SFAT <- GUG | Kürv <- LAG
3,Milo,CLG. | SFAT <- PEP | LSD <- Dom
3,Vitro,CLG. | SFAT <- bobby big ballz <- yingling
3,USF | Quadae,CLG. | SFAT <- KoDoRiN <- RG | Far!
3,ManRay,CLG. | SFAT <- bobby big ballz <- cliché
3,GEM | CrossFitJesus,CLG. | SFAT <- SANS | Blues Clues <- YC | Pappi
3,Zave,CLG. | SFAT <- GUG | Kürv <- LAG
3,Chubbz,CLG. | SFAT <- SANS | Blues Clues <- SLO | GrizzlyBair
3,Trail,CLG. | SFAT <- PEP | LSD <- Erik
3,WW | Lemonjuices,CLG. | SFAT <- bobby big ballz <- cliché
3,billybopeep,CLG. | SFAT <- SANS | Blues Clues <- RedX
3,Panda,CLG. | SFAT <- PEP | LSD <- Erik
3,JustJoshin,CLG. | SFAT <- SANS | Blues Clues <- DD
4,YBBT | leroydankins,CLG. | SFAT <- SANS | Blues Clues <- RedX <- Dandy
4,Kaptinkillem,CLG. | SFAT <- SANS | Blues Clues <- RedX <- Rive
4,Mahik,CLG. | SFAT <- GUG | Kürv <- LAG <- TPN
4,Nyte,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow
4,shoelegend88,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles
4,OtES,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles
4,Mono,CLG. | SFAT <- GUG | Kürv <- LAG <- ScrubUp
4,Gaz333,CLG. | SFAT <- SANS | Blues Clues <- Divine Senator Kelly <- Boy
4,Jolf,CLG. | SFAT <- SANS | Blues Clues <- RedX <- Rive
4,Yamasaki,CLG. | SFAT <- SANS | Blues Clues <- Divine Senator Kelly <- Help
4,Xad,CLG. | SFAT <- SANS | Blues Clues <- RedX <- Rive
4,Maruf,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow
4,ight,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow
4,CardsNG,CLG. | SFAT <- SANS | Blues Clues <- Divine Senator Kelly <- Help
4,.Ðempt,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow
4,Uncle Pete,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman
4,Alex18+,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles
4,Ringler,CLG. | SFAT <- SANS | Blues Clues <- Thad <3 <- Slump
