Rank,RankChange,Tag,Wins,Losses,Win%,Bankroll Bills
1.0,1.0,IMP | Ben,16,6,72.73,656.0
2.0,-1.0,KoDoRiN,23,8,74.19,623.0
3.0,1.0,CG | Jflex,14,8,63.64,519.0
4.0,-1.0,GG | n0ne,8,2,80.0,378.0
5.0,2.0,Blues Clues,41,13,75.93,311.0
6.0,-1.0,Revenge | Gahtzu,6,4,60.0,296.0
7.0,1.0,Younger,48,15,76.19,243.0
8.0,39.0,Liquid | Hungrybox,5,4,55.56,225.0
9.0,-3.0,rocky,15,4,78.95,175.0
10.0,-1.0,TG | Mot$,15,5,75.0,155.0
11.0,21.0,LAG,26,11,70.27,151.0
12.0,-2.0,LSD,9,2,81.82,144.0
13.0,-1.0,DD,30,9,76.92,140.0
14.0,13.0,PEPIS | Noire,24,7,77.42,134.0
14.0,12.0,K8A,34,16,68.0,134.0
16.0,-5.0,Typhoon,24,8,75.0,124.0
17.0,1.0,Joey Donuts,28,14,66.67,123.0
18.0,New,Umarth,11,2,84.62,121.0
19.0,New,DarkHero,12,3,80.0,117.0
20.0,-7.0,YC | Peppi | | Pappi,11,3,78.57,116.0
20.0,-7.0,MT,11,3,78.57,116.0
22.0,-7.0,bobby big ballz,7,2,77.78,112.0
22.0,-5.0,I'm Michael BTW,27,12,69.23,112.0
24.0,-8.0,Epoodle,28,18,60.87,110.0
25.0,New,LG | Yu,14,4,77.78,104.0
26.0,37.0,Winx Club | Siddward,30,16,65.22,100.0
27.0,-8.0,Bbatts,25,10,71.43,95.0
27.0,-8.0,Dream,10,4,71.43,95.0
29.0,-8.0,The Leaf,8,4,66.67,93.0
30.0,9.0,Paladin,32,16,66.67,82.0
31.0,-9.0,prof,15,7,68.18,75.0
32.0,32.0,LFG | PanterA,24,12,66.67,74.0
33.0,-10.0,jacket,23,9,71.88,73.0
34.0,-,TBD,32,17,65.31,72.0
35.0,-11.0,ycz6,11,3,78.57,71.0
36.0,-11.0,Crescent | JSalt,10,2,83.33,70.0
37.0,-10.0,Inky,11,5,68.75,66.0
38.0,-9.0,Golden,9,4,69.23,64.0
39.0,-9.0,Nintendude,8,3,72.73,63.0
40.0,6.0,Anjo,27,15,64.29,62.0
41.0,-10.0,LFTG | Logos,17,8,68.0,57.0
42.0,-2.0,Joe(y) Bats,31,27,53.45,56.0
43.0,New,NEU | Shmeeli,15,7,68.18,55.0
44.0,-11.0,Slowking,14,6,70.0,54.0
45.0,New,Erik,13,5,72.22,53.0
46.0,3.0,Redcoat,26,16,61.9,51.0
46.0,-11.0,DannyPhantom,11,3,78.57,51.0
48.0,-12.0,Khryke,14,8,63.64,49.0
49.0,-12.0,Rocket,13,6,68.42,48.0
50.0,-7.0,Darrell,21,10,67.74,47.0
51.0,-13.0,Fankriss,11,5,68.75,46.0
52.0,164.0,Sodabro,9,3,75.0,45.0
52.0,-4.0,MGFC | JorDank,29,27,51.79,45.0
54.0,-13.0,ZOOK | Suezo,8,5,61.54,43.0
55.0,-13.0,NathanSandwich,17,7,70.83,42.0
55.0,-4.0,Ellis,22,13,62.86,42.0
57.0,New,soccermom69,15,8,65.22,40.0
58.0,-15.0,Anchovy,19,9,67.86,39.0
58.0,-15.0,Frap,24,19,55.81,39.0
60.0,-5.0,Chiefn_,22,34,39.29,38.0
61.0,-2.0,Yamasaki,20,18,52.63,36.0
61.0,New,Light,11,4,73.33,36.0
63.0,-1.0,a-on,23,19,54.76,35.0
64.0,-15.0,Flow | ESPONJA,18,14,56.25,33.0
65.0,-14.0,YungWaff,11,5,68.75,31.0
65.0,109.0,CW | rabit!,10,7,58.82,31.0
67.0,6.0,LFG | Fist Mexico,19,22,46.34,30.0
68.0,-15.0,RU | Midnight Blue,14,8,63.64,29.0
68.0,5.0,Cow,18,21,46.15,29.0
68.0,New,Solomon,9,4,69.23,29.0
68.0,-15.0,Brainless  | FLiiNcHy,9,5,64.29,29.0
72.0,-17.0,Mud,18,16,52.94,28.0
72.0,122.0,Wassabi,17,9,65.38,28.0
72.0,37.0,jams,13,6,68.42,28.0
72.0,-17.0,El Link,17,11,60.71,28.0
72.0,-17.0,Khoron | Oreo,13,10,56.52,28.0
77.0,-18.0,Arcadia,7,3,70.0,27.0
77.0,32.0,Elk G | Ivayne,12,4,75.0,27.0
77.0,-18.0,Ahmad,7,4,63.64,27.0
80.0,48.0,RULES | Strazz,14,13,51.85,26.0
81.0,1.0,Fern,18,25,41.86,25.0
82.0,8.0,Flow | Stark,13,11,54.17,24.0
82.0,46.0,Arctic,14,12,53.85,24.0
84.0,17.0,Nard Dawg,12,10,54.55,23.0
84.0,90.0,Phantom Airline,12,10,54.55,23.0
84.0,25.0,FreeHops,15,14,51.72,23.0
87.0,14.0,YoungHanSolo,11,10,52.38,22.0
87.0,-23.0,Melo,15,12,55.56,22.0
89.0,New,GS | SubTails,11,6,64.71,21.0
89.0,New,E,11,5,68.75,21.0
91.0,37.0,PW | Vincessant,10,5,66.67,20.0
91.0,28.0,yingling,10,4,71.43,20.0
91.0,-25.0,Jkiller,0,2,0.0,20.0
91.0,-25.0,ZimD00D,10,7,58.82,20.0
91.0,5.0,actually hmhh | LionTimeMachine,13,17,43.33,20.0
91.0,-25.0,Vish,10,3,76.92,20.0
97.0,38.0,SKY | Matwood,13,13,50.0,19.0
97.0,147.0,PurpleZ,8,5,61.54,19.0
97.0,New,Buttlet,9,4,69.23,19.0
97.0,-28.0,totally butts,9,5,64.29,19.0
97.0,-28.0,Maruf,9,5,64.29,19.0
97.0,-28.0,Not_DuduTsai,9,5,64.29,19.0
103.0,-7.0,MessiSTL,12,13,48.0,18.0
103.0,51.0,Hell'sLabyrinth,11,15,42.31,18.0
103.0,32.0,RedX,11,13,45.83,18.0
103.0,-31.0,Nebulous | Jib,8,6,57.14,18.0
103.0,-2.0,SquidTheCat,12,10,54.55,18.0
103.0,New,Higgins,8,2,80.0,18.0
109.0,-36.0,Aura,6,2,75.0,17.0
109.0,New,NJ | Tommy,7,2,77.78,17.0
109.0,-36.0,Jun,11,12,47.83,17.0
109.0,-36.0,Help,11,13,45.83,17.0
109.0,New,Zab,12,11,52.17,17.0
109.0,-36.0,redpandamaster,7,4,63.64,17.0
109.0,-36.0,Tuesday,7,1,87.5,17.0
109.0,36.0,DadsAkimbo,15,20,42.86,17.0
109.0,-13.0,Chompy,10,14,41.67,17.0
109.0,26.0,GSP,11,14,44.0,17.0
119.0,16.0,Soltrain,6,3,66.67,16.0
119.0,New,RC,6,1,85.71,16.0
119.0,-39.0,Weeg,6,1,85.71,16.0
119.0,-39.0,LG | Louis,6,1,85.71,16.0
123.0,-41.0,Trail,5,1,83.33,15.0
123.0,-41.0,Mova,9,9,50.0,15.0
123.0,-41.0,Chadwicc,10,7,58.82,15.0
123.0,-41.0,Hulka,5,0,100.0,15.0
123.0,-41.0,jeddo,10,13,43.48,15.0
123.0,31.0,Holy | key,9,10,47.37,15.0
123.0,-14.0,mexico629,9,7,56.25,15.0
123.0,-41.0,Mootook,10,10,50.0,15.0
123.0,New,Hell Kaiser,10,9,52.63,15.0
123.0,New,cockbread,10,9,52.63,15.0
123.0,-41.0,lochist,5,0,100.0,15.0
123.0,12.0,RustyTrombone,13,14,48.15,15.0
135.0,-45.0,DiMaria,8,8,50.0,14.0
135.0,-45.0,OtES,8,8,50.0,14.0
135.0,-16.0,BuenasRetas | Cobs,11,15,42.31,14.0
135.0,-45.0,Vianny,9,6,60.0,14.0
135.0,-45.0,G,9,7,56.25,14.0
135.0,New,Navjyot Sandhu | Connect4Master,9,6,60.0,14.0
135.0,New,PML | Die222,9,10,47.37,14.0
135.0,-45.0,Cowbell,9,7,56.25,14.0
135.0,New,Oferton,9,8,52.94,14.0
144.0,New,Chuchaka2112,8,8,50.0,13.0
144.0,-48.0,Electroman,7,8,46.67,13.0
144.0,-48.0,Erica,8,8,50.0,13.0
144.0,-43.0,Ribboned Ace,6,7,46.15,13.0
144.0,-25.0,Lamb's Ear,10,14,41.67,13.0
144.0,1.0,shoelegend88,10,17,37.04,13.0
150.0,-49.0,PRIN$E,7,3,70.0,12.0
150.0,-49.0,ClintStevensTV | HungryboxFan304,7,5,58.33,12.0
150.0,-49.0,JitteryInChurch,7,5,58.33,12.0
150.0,New,Notorious,7,5,58.33,12.0
150.0,-49.0,Good1ife,7,5,58.33,12.0
155.0,-46.0,EWA | ERGonomics,6,4,60.0,11.0
155.0,-27.0,charmell0,8,25,24.24,11.0
155.0,New,BokchoyBoy,6,4,60.0,11.0
155.0,-46.0,Schnurb,6,4,60.0,11.0
155.0,-46.0,CS | Faust,6,3,66.67,11.0
155.0,New,Habi,6,5,54.55,11.0
155.0,-1.0,CowCowCowCowCow,8,12,40.0,11.0
155.0,-46.0,TTV/Aceflight,6,3,66.67,11.0
155.0,New,TGL | Shamunt,6,3,66.67,11.0
155.0,New,slowtai,6,5,54.55,11.0
155.0,New,WU | nerodero,6,7,46.15,11.0
155.0,New,Banger,6,4,60.0,11.0
155.0,-46.0,Dr. Lame,6,4,60.0,11.0
155.0,-46.0,Jakespeare,6,2,75.0,11.0
169.0,-50.0,Otto_Zone,5,4,55.56,10.0
169.0,-50.0,BKB! | stocmoney,7,11,38.89,10.0
169.0,New,vampa,5,3,62.5,10.0
169.0,New,Elders React | Third Strongest,5,2,71.43,10.0
169.0,5.0,ArcaneFox,8,19,29.63,10.0
169.0,-50.0,Chem,5,3,62.5,10.0
169.0,-50.0,aujory,7,13,35.0,10.0
169.0,New,Pena,5,3,62.5,10.0
169.0,New,Beck,5,3,62.5,10.0
169.0,-50.0,Kerblamu,5,3,62.5,10.0
169.0,-50.0,thicceon,5,3,62.5,10.0
180.0,New,maxhoney,4,3,57.14,9.0
180.0,-6.0,KaiKwonDo,7,10,41.18,9.0
180.0,-52.0,Wōlī,4,3,57.14,9.0
180.0,-52.0,Tanooki,4,1,80.0,9.0
180.0,36.0,U.S Marine,7,19,26.92,9.0
180.0,New,Zamorota,4,3,57.14,9.0
180.0,-52.0,Ghost Rider,4,3,57.14,9.0
187.0,-26.0,Layer,6,16,27.27,8.0
187.0,New,Vigilance,3,1,75.0,8.0
187.0,New,Rive,7,9,43.75,8.0
187.0,New,Zolof,7,11,38.89,8.0
187.0,57.0,Boalisk,6,13,31.58,8.0
187.0,-52.0,SadSack,7,16,30.43,8.0
187.0,New,Fredrick,7,11,38.89,8.0
187.0,-52.0,Triple Cake Dance,6,9,40.0,8.0
187.0,-52.0,Maelstrom,6,7,46.15,8.0
187.0,-52.0,mikey,3,0,100.0,8.0
187.0,-52.0,MDF | Amor,3,0,100.0,8.0
198.0,-53.0,jerma985,2,0,100.0,7.0
198.0,-53.0,GUG | K�rv,2,1,66.67,7.0
198.0,New,2ndLaw,6,15,28.57,7.0
198.0,-53.0,Anjel,5,8,38.46,7.0
198.0,-53.0,STLTS,6,11,35.29,7.0
198.0,New,Kyler,2,1,66.67,7.0
198.0,-53.0,Forrest,2,1,66.67,7.0
198.0,-4.0,3OutChange,5,37,11.9,7.0
198.0,-53.0,WFL | ABC,5,6,45.45,7.0
198.0,-53.0,GAS,2,1,66.67,7.0
198.0,-37.0,gsm | Pound,3,9,25.0,7.0
198.0,-24.0,Kandayo,5,8,38.46,7.0
198.0,New,K.H.D | REIGN,2,1,66.67,7.0
211.0,-17.0,hHerb,4,12,25.0,6.0
211.0,-50.0,rice,3,15,16.67,6.0
211.0,-57.0,EWA | Gorgonzola,5,11,31.25,6.0
211.0,-37.0,Dusky,4,17,19.05,6.0
211.0,-17.0,SUPERUNKNOWN,3,10,23.08,6.0
211.0,New,Kaz,5,15,25.0,6.0
211.0,-57.0,diddylonglegs,4,10,28.57,6.0
211.0,-57.0,LewdCelebs4Free,5,6,45.45,6.0
211.0,-37.0,TourGuide,4,10,28.57,6.0
211.0,New,YBBT | leroydankins,5,6,45.45,6.0
211.0,-57.0,MIT | unlucky,5,4,55.56,6.0
211.0,New,QTT | Yeyo,5,6,45.45,6.0
211.0,-37.0,CableKnit,4,5,44.44,6.0
224.0,-63.0,BeanBurrito-San,4,16,20.0,5.0
224.0,20.0,probably high,3,6,33.33,5.0
224.0,-63.0,Kr1meM45ter2517A,4,8,33.33,5.0
224.0,-30.0,Navedo,3,6,33.33,5.0
224.0,-63.0,Marvelboy,4,8,33.33,5.0
224.0,-63.0,Zhāoshù,4,6,40.0,5.0
224.0,-63.0,Axis,4,5,44.44,5.0
224.0,-63.0,NattyIce,2,18,10.0,5.0
224.0,New,Silkylaroux,4,5,44.44,5.0
224.0,-63.0,ight,4,9,30.77,5.0
224.0,-63.0,Pi2z,4,5,44.44,5.0
224.0,New,Pilgrim,4,5,44.44,5.0
224.0,New,Usernamejpg,4,13,23.53,5.0
224.0,New,Butternust,4,16,20.0,5.0
224.0,New,Muffin,4,5,44.44,5.0
224.0,-63.0,Analog,3,9,25.0,5.0
224.0,New,BoffTarget,4,7,36.36,5.0
224.0,New,Red,4,7,36.36,5.0
224.0,New,Creature,4,4,50.0,5.0
