Rank,Tag,Wins,Losses,Win%,Bankroll Bills
1.0,S2J,5,0,100.0,215.0
2.0,LG | Ginger,5,2,71.43,190.0
3.0,CG | Peppi | Pappi,11,2,84.62,171.0
4.0,CG | Jflex,3,2,60.0,138.0
5.0,404 YC | Salt,15,4,78.95,120.0
6.0,KoDoRiN,3,2,60.0,108.0
7.0,Blues Clues,12,5,70.59,97.0
8.0,Bbatts,11,2,84.62,96.0
9.0,PALS | Jello,13,4,76.47,73.0
9.0,Azel,13,3,81.25,73.0
11.0,ZOOK | Suezo,10,3,76.92,65.0
12.0,IMP | Ben,1,2,33.33,56.0
13.0,Arcadia,9,4,69.23,44.0
13.0,GGS,9,3,75.0,44.0
13.0,Neenor,9,4,69.23,44.0
16.0,I'm Michael BTW,13,6,68.42,38.0
16.0,Wassabi,13,5,72.22,38.0
16.0,Dawson,13,5,72.22,38.0
19.0,GUG | Kurv,1,2,33.33,36.0
20.0,Mud,11,6,64.71,31.0
21.0,Justus,8,5,61.54,28.0
21.0,AB | Anjo,8,3,72.73,28.0
23.0,Aura,7,4,63.64,27.0
24.0,Melo,12,9,57.14,22.0
25.0,PEPIS | Noire,11,3,78.57,21.0
26.0,Tristan's Rule,10,4,71.43,20.0
26.0,Darrell,10,4,71.43,20.0
26.0,Younger,0,2,0.0,20.0
26.0,a-on,10,6,62.5,20.0
26.0,LFTG | Logos,10,2,83.33,20.0
26.0,Mr. Butterfly,10,4,71.43,20.0
32.0,Keo,14,14,50.0,19.0
33.0,Dirty Lasagna,8,3,72.73,18.0
34.0,veil,12,12,50.0,17.0
34.0,CV Aceflight,12,14,46.15,17.0
34.0,RU | Midnight Blue,7,2,77.78,17.0
34.0,PEP | Sp1nda,7,3,70.0,17.0
38.0,Golden,6,2,75.0,16.0
38.0,Trail,6,1,85.71,16.0
40.0,mikey,5,0,100.0,15.0
41.0,SKY | Matwood,9,8,52.94,14.0
41.0,yingling,9,6,60.0,14.0
43.0,NathanSandwich,8,7,53.33,13.0
43.0,PML | Die222,8,7,53.33,13.0
45.0,Ahmad,7,4,63.64,12.0
45.0,Flow | Stark,7,5,58.33,12.0
45.0,emy,7,6,53.85,12.0
45.0,Frap,7,7,50.0,12.0
49.0,Phantom Airline,6,6,50.0,11.0
49.0,Chem,6,4,60.0,11.0
49.0,Pena,6,4,60.0,11.0
49.0,Flow | ESPONJA,6,2,75.0,11.0
49.0,PRIN$E,6,3,66.67,11.0
49.0,Cow,6,4,60.0,11.0
55.0,cockbread,5,5,50.0,10.0
55.0,TPN,5,2,71.43,10.0
55.0,Chompy,5,6,45.45,10.0
55.0,Joe(y) Bats,9,8,52.94,10.0
55.0,Boy,5,3,62.5,10.0
55.0,Ding Hing,5,5,50.0,10.0
61.0,Zeeker,4,3,57.14,9.0
61.0,TurboThot,4,4,50.0,9.0
61.0,3OutChange,8,12,40.0,9.0
61.0,RedX,8,8,50.0,9.0
61.0,zilo,4,1,80.0,9.0
61.0,Nard Dawg,4,3,57.14,9.0
61.0,shoelegend88,4,4,50.0,9.0
61.0,Lime,4,3,57.14,9.0
61.0,FKA Minerali,4,2,66.67,9.0
70.0,Spiral Cafe | Krudo,3,0,100.0,8.0
70.0,Zab,7,9,43.75,8.0
70.0,DenverDaDestroyer,3,2,60.0,8.0
73.0,EWA | ERGonomics,6,8,42.86,7.0
73.0,IWI | Marrgasm,6,7,46.15,7.0
73.0,Winx Club | Siddward,2,1,66.67,7.0
73.0,diddylonglegs,6,5,54.55,7.0
77.0,LordTourettes,5,8,38.46,6.0
77.0,ArcaneFox,5,7,41.67,6.0
77.0,SquidTheCat,5,6,45.45,6.0
77.0,Sakm,5,9,35.71,6.0
77.0,p3achyjr,5,7,41.67,6.0
77.0,PYR,5,6,45.45,6.0
77.0,Chiefn_,5,6,45.45,6.0
84.0,EWA | Gorgonzola,4,6,40.0,5.0
84.0,Bobakanoosh,4,12,25.0,5.0
84.0,Kombeze Ataie,4,6,40.0,5.0
84.0,Pulch,4,5,44.44,5.0
84.0,BoffTarget,4,4,50.0,5.0
84.0,QTT | Pelon,4,12,25.0,5.0
84.0,Poopy Ass,4,9,30.77,5.0
91.0,Kuzon,3,6,33.33,4.0
91.0,Dr. Dipper,3,12,20.0,4.0
91.0,LilTayNastyTay,3,3,50.0,4.0
91.0,S.O.D.A,3,4,42.86,4.0
91.0,Beck,3,5,37.5,4.0
91.0,enterthekiwi,3,5,37.5,4.0
91.0,BowserDad1964,3,4,42.86,4.0
91.0,Frumentarii,3,4,42.86,4.0
91.0,YBBT | leroydankins,3,5,37.5,4.0
91.0,Marvelboy,3,4,42.86,4.0
91.0,Robert Flambe,3,4,42.86,4.0
91.0,Fern,3,6,33.33,4.0
91.0,Dream,3,3,50.0,4.0
104.0,QTT | Yeyo,2,3,40.0,3.0
104.0,Solomon,2,4,33.33,3.0
104.0,N8v,2,2,50.0,3.0
104.0,doctahdylan,2,5,28.57,3.0
104.0,Hamburglar,2,4,33.33,3.0
104.0,BuenasRetas | Cobs,2,5,28.57,3.0
104.0,MessiSTL,2,8,20.0,3.0
104.0,LoneCubone,2,4,33.33,3.0
104.0,Essey,2,22,8.33,3.0
113.0,Paladin,1,2,33.33,2.0
113.0,Axis,1,1,50.0,2.0
