Rank,RankChange,Tag,Wins,Losses,Win%,Bankroll Bills
1.0,-,IMP | Ben,26,12,68.42,1066.0
2.0,-,KoDoRiN,36,18,66.67,946.0
3.0,1.0,S2J,20,1,95.24,860.0
4.0,-1.0,CG | Jflex,20,16,55.56,800.0
5.0,-,SANS | Blues Clues,58,22,72.5,553.0
6.0,1.0,bobby big ballz,19,8,70.37,494.0
7.0,-1.0,GG | n0ne,8,2,80.0,378.0
8.0,3.0,DarkHero,40,11,78.43,370.0
9.0,-1.0,GUG | Kurv,39,13,75.0,369.0
10.0,-1.0,Younger,68,28,70.83,338.0
11.0,4.0,K8A,71,32,68.93,321.0
12.0,-2.0,CG | Peppi | Pappi,30,7,81.08,315.0
13.0,-1.0,Revenge | Gahtzu,6,4,60.0,296.0
14.0,-1.0,404 YC | Salt,35,12,74.47,280.0
15.0,-1.0,PEPIS | Noire,49,14,77.78,254.0
16.0,-1.0,Liquid | Hungrybox,5,4,55.56,225.0
17.0,-,Bbatts,47,15,75.81,217.0
18.0,New,OkayP.,20,4,83.33,210.0
19.0,6.0,I'm Michael BTW,55,24,69.62,205.0
20.0,-2.0,Golden,26,8,76.47,196.0
21.0,-2.0,LG | Ginger,5,2,71.43,190.0
22.0,-2.0,BLE | SluG,12,2,85.71,177.0
23.0,-2.0,rocky,15,4,78.95,175.0
24.0,-2.0,GHQ | Zamu,18,3,85.71,163.0
25.0,2.0,Azel,32,6,84.21,162.0
26.0,-3.0,TG | Mot$,15,5,75.0,155.0
27.0,-3.0,LAG,26,11,70.27,151.0
28.0,-3.0,Joey Donuts,35,17,67.31,150.0
29.0,-2.0,LSD,9,2,81.82,144.0
30.0,-1.0,DD,32,11,74.42,143.0
31.0,-1.0,ycz6,20,6,76.92,135.0
32.0,-,Winx Club | Siddward,44,26,62.86,134.0
33.0,-2.0,The_Hat123 | Anjo,50,26,65.79,130.0
34.0,-1.0,Typhoon,24,8,75.0,124.0
35.0,-1.0,ZOOK | Suezo,23,9,71.88,123.0
36.0,-1.0,Umarth,11,2,84.62,121.0
37.0,4.0,Darrell,58,30,65.91,119.0
38.0,-2.0,Epoodle,30,18,62.5,117.0
39.0,8.0,Arcadia,31,14,68.89,116.0
39.0,-2.0,MT,11,3,78.57,116.0
39.0,244.0,Forrest,6,3,66.67,116.0
42.0,-4.0,Dawson,27,9,75.0,112.0
43.0,-4.0,GGS,18,6,75.0,108.0
44.0,-4.0,WKDA | Shroomed,2,2,50.0,107.0
45.0,-3.0,LG | Yu,14,4,77.78,104.0
46.0,-3.0,Dream,13,7,65.0,99.0
47.0,28.0,Redcoat,37,24,60.66,98.0
48.0,2.0,Notorious,40,21,65.57,95.0
49.0,-5.0,The Leaf,8,4,66.67,93.0
50.0,12.0,TBD,42,21,66.67,92.0
50.0,-5.0,a-on,50,34,59.52,92.0
52.0,-6.0,Joe(y) Bats,55,48,53.4,91.0
53.0,-5.0,NathanSandwich,41,20,67.21,86.0
54.0,-5.0,Ahmad,30,14,68.18,85.0
55.0,31.0,Khryke,24,10,70.59,84.0
55.0,-5.0,Paladin,33,18,64.71,84.0
57.0,-5.0,Cow,32,28,53.33,83.0
57.0,-5.0,soccermom69,23,12,65.71,83.0
59.0,49.0,SubTails,28,16,63.64,78.0
60.0,-6.0,LFTG | Logos,27,10,72.97,77.0
61.0,New,HS | Den,16,4,80.0,76.0
61.0,-6.0,TPN,16,6,72.73,76.0
61.0,-6.0,PRIN$E,26,12,68.42,76.0
64.0,-,Melo,47,38,55.29,75.0
64.0,-7.0,prof,15,7,68.18,75.0
66.0,-8.0,LFG | PanterA,24,12,66.67,74.0
67.0,-8.0,Ringler,13,4,76.47,73.0
67.0,-8.0,jacket,23,9,71.88,73.0
67.0,-8.0,PALS | Jello,13,4,76.47,73.0
70.0,New,Far!,12,4,75.0,72.0
70.0,1.0,Chiefn_,44,53,45.36,72.0
72.0,4.0,PML | Die222,45,49,47.87,71.0
73.0,-8.0,Frap,39,34,53.42,70.0
73.0,-10.0,Crescent | JSalt,10,2,83.33,70.0
75.0,10.0,Yamasaki,36,27,57.14,68.0
76.0,-11.0,Flow | Stark,36,23,61.02,67.0
77.0,-10.0,Wassabi,30,14,68.18,66.0
77.0,-5.0,Ghost Rider,21,12,63.64,66.0
77.0,-10.0,Inky,11,5,68.75,66.0
80.0,-11.0,MGFC | bootichief,43,41,51.19,64.0
81.0,-11.0,Nintendude,8,3,72.73,63.0
82.0,31.0,Ben Snape,26,19,57.78,61.0
83.0,19.0,Zab,38,35,52.05,59.0
83.0,-11.0,Mud,29,22,56.86,59.0
85.0,-11.0,Jpeg | RC,22,11,66.67,57.0
86.0,-10.0,Ellis,30,19,61.22,55.0
86.0,-10.0,NEU | Shmeeli,15,7,68.18,55.0
86.0,-10.0,Light,20,8,71.43,55.0
89.0,-9.0,Fankriss,14,5,73.68,54.0
89.0,-9.0,Slowking,14,6,70.0,54.0
91.0,-9.0,Rei,13,3,81.25,53.0
91.0,-9.0,Erik,13,5,72.22,53.0
93.0,-9.0,DannyPhantom,11,3,78.57,51.0
93.0,3.0,Buttlet,26,11,70.27,51.0
93.0,18.0,Phantom Airline,25,20,55.56,51.0
96.0,-10.0,Aura,17,12,58.62,49.0
96.0,211.0,FM | Cilan,12,13,48.0,49.0
96.0,9.0,LFG | Fist Mexico,32,33,49.23,49.0
96.0,-10.0,Neenor,13,10,56.52,49.0
100.0,-11.0,Rocket,13,6,68.42,48.0
101.0,-11.0,RU | Midnight Blue,21,10,67.74,46.0
101.0,-11.0,Musashi,11,7,61.11,46.0
101.0,-3.0,Keo,30,30,50.0,46.0
104.0,-12.0,cockbread,25,28,47.17,45.0
104.0,-12.0,Sodabro,9,3,75.0,45.0
104.0,-12.0,Maruf,15,9,62.5,45.0
107.0,-12.0,Flow | ESPONJA,24,16,60.0,44.0
108.0,-10.0,RedX,28,34,45.16,43.0
109.0,-13.0,Solomon,15,12,55.56,42.0
109.0,17.0,FreeHops,27,27,50.0,42.0
111.0,-6.0,Ding Hing,25,23,52.08,41.0
112.0,-14.0,CV Aceflight,25,21,54.35,40.0
112.0,-14.0,SKY | Matwood,28,31,47.46,40.0
114.0,39.0,Mr. Butterfly,19,8,70.37,39.0
114.0,-12.0,TGL | Shamunt,19,8,70.37,39.0
114.0,-12.0,Anchovy,19,9,67.86,39.0
117.0,-4.0,jams,20,15,57.14,37.0
117.0,-12.0,Fern,27,39,40.91,37.0
119.0,16.0,emy,21,16,56.76,36.0
120.0,-12.0,Lime,10,7,58.82,35.0
120.0,-12.0,PEP | Sp1nda,15,6,71.43,35.0
122.0,-,ArcaneFox,28,42,40.0,34.0
122.0,-11.0,yingling,19,10,65.52,34.0
124.0,2.0,SquidTheCat,24,25,48.98,33.0
124.0,-2.0,gaeming | HaxMoneyHulkHogan,22,30,42.31,33.0
124.0,-11.0,shoelegend88,20,25,44.44,33.0
127.0,-11.0,Nard Dawg,16,13,55.17,32.0
127.0,-11.0,CW | rabit!,10,9,52.63,32.0
129.0,59.0,OtES,19,19,50.0,31.0
129.0,-11.0,RULES | Strazz,17,18,48.57,31.0
129.0,-11.0,YungWaff,11,5,68.75,31.0
129.0,-11.0,Trail,11,2,84.62,31.0
133.0,-12.0,Chompy,17,25,40.48,30.0
133.0,1.0,RustyTrombone,22,24,47.83,30.0
135.0,14.0,veil,18,16,52.94,29.0
135.0,-13.0,Elk G | Ivayne,13,5,72.22,29.0
135.0,-,Sakm,17,18,48.57,29.0
135.0,New,SKY | Cob,14,3,82.35,29.0
135.0,-13.0,Brainless  | FLiiNcHy,9,5,64.29,29.0
140.0,-14.0,Justus,8,5,61.54,28.0
140.0,-14.0,Furniture,8,6,57.14,28.0
140.0,61.0,Oferton,18,17,51.43,28.0
140.0,-14.0,El Link,17,11,60.71,28.0
140.0,-14.0,Khoron | Oreo,13,10,56.52,28.0
145.0,-13.0,FendrickLamar,7,3,70.0,27.0
145.0,-3.0,Maelstrom,18,25,41.86,27.0
145.0,New,Zamorita,7,3,70.0,27.0
145.0,-13.0,BoffTarget,19,25,43.18,27.0
149.0,New,Axis,6,4,60.0,26.0
149.0,52.0,Frumentarii,15,11,57.69,26.0
149.0,-14.0,Soltrain,10,7,58.82,26.0
152.0,-8.0,BuenasRetas | Cobs,18,31,36.73,25.0
152.0,-13.0,Beck,12,13,48.0,25.0
152.0,-17.0,Pena,14,10,58.33,25.0
155.0,-6.0,MessiSTL,16,24,40.0,24.0
155.0,-16.0,Arctic,14,12,53.85,24.0
155.0,-16.0,Reesch,14,8,63.64,24.0
158.0,-16.0,mikey,8,0,100.0,23.0
158.0,17.0,Rockin,17,18,48.57,23.0
160.0,-16.0,Hell'sLabyrinth,14,17,45.16,22.0
160.0,-16.0,G,12,7,63.16,22.0
160.0,-16.0,Vianny,12,8,60.0,22.0
160.0,-16.0,YoungHanSolo,11,10,52.38,22.0
160.0,147.0,AR0,16,11,59.26,22.0
165.0,-16.0,E,11,5,68.75,21.0
165.0,New,Yung Silver,6,4,60.0,21.0
165.0,-16.0,Chem,11,7,61.11,21.0
168.0,-15.0,Zephyr,10,5,66.67,20.0
168.0,-15.0,Vish,10,3,76.92,20.0
168.0,-15.0,FKA Minerali,10,6,62.5,20.0
168.0,-15.0,PW | Vincessant,10,5,66.67,20.0
168.0,15.0,charmell0,15,43,25.86,20.0
168.0,-15.0,ZimD00D,10,7,58.82,20.0
168.0,-15.0,Jkiller,0,2,0.0,20.0
168.0,-15.0,Tristan's Rule,10,4,71.43,20.0
176.0,-15.0,PurpleZ,8,5,61.54,19.0
176.0,-15.0,vampa,9,6,60.0,19.0
176.0,-15.0,Sicca,9,5,64.29,19.0
176.0,-15.0,2ndLaw,13,21,38.24,19.0
176.0,-15.0,DadsAkimbo,16,23,41.03,19.0
176.0,-15.0,totally butts,9,5,64.29,19.0
176.0,-15.0,Panda,9,4,69.23,19.0
176.0,-15.0,Not_DuduTsai,9,5,64.29,19.0
184.0,-15.0,Higgins,8,2,80.0,18.0
184.0,-15.0,aujory,10,15,40.0,18.0
184.0,-15.0,EWA | ERGonomics,12,12,50.0,18.0
184.0,-15.0,Nebulous | Jib,8,6,57.14,18.0
184.0,New,NeuroDivergent,13,14,48.15,18.0
184.0,-15.0,Kandayo,9,11,45.0,18.0
184.0,-15.0,Dirty Lasagna,8,3,72.73,18.0
191.0,-16.0,Goosekhan,7,0,100.0,17.0
191.0,-16.0,Help,11,13,45.83,17.0
191.0,-16.0,Tuesday,7,1,87.5,17.0
191.0,-16.0,redpandamaster,7,4,63.64,17.0
191.0,-16.0,Jun,11,12,47.83,17.0
