Rank,Tag,Wins,Losses,Win%,Bankroll Bills
1.0,S2J,5,0,100.0,215.0
2.0,IMP | Ben,6,2,75.0,191.0
3.0,DarkHero,15,4,78.95,180.0
4.0,GHQ | Zamu,18,3,85.71,163.0
5.0,bobby big ballz,2,2,50.0,107.0
5.0,WKDA | Shroomed,2,2,50.0,107.0
7.0,GUG | Kurv,13,5,72.22,103.0
8.0,404 YC | Salt,12,5,70.59,97.0
9.0,Dawson,14,4,77.78,74.0
10.0,Azel,11,2,84.62,71.0
11.0,TPN,11,4,73.33,66.0
12.0,K8A,9,3,75.0,64.0
13.0,Notorious,15,9,62.5,50.0
14.0,Musashi,11,7,61.11,46.0
15.0,PRIN$E,8,5,61.54,43.0
16.0,The_Hat123 | Anjo,15,8,65.22,40.0
17.0,CG | Jflex,1,2,33.33,36.0
18.0,NathanSandwich,16,6,72.73,31.0
19.0,Furniture,8,6,57.14,28.0
19.0,Ahmad,8,3,72.73,28.0
19.0,CG | Peppi | Pappi,8,2,80.0,28.0
22.0,FendrickLamar,7,3,70.0,27.0
23.0,Bbatts,11,3,78.57,26.0
24.0,Ghost Rider,8,5,61.54,23.0
24.0,Younger,8,6,57.14,23.0
26.0,Dhar Mann | Ben Snape,12,8,60.0,22.0
27.0,Keo,11,9,55.0,21.0
28.0,Zephyr,10,5,66.67,20.0
28.0,Darrell,10,6,62.5,20.0
30.0,Panda,9,4,69.23,19.0
31.0,a-on,8,3,72.73,18.0
32.0,Goosekhan,7,0,100.0,17.0
32.0,Rockin,12,12,50.0,17.0
34.0,Joe(y) Bats,8,5,61.54,13.0
34.0,emy,8,7,53.33,13.0
34.0,Townes,8,4,66.67,13.0
37.0,Melo,7,5,58.33,12.0
37.0,BoffTarget,7,8,46.67,12.0
37.0,CV Aceflight,7,4,63.64,12.0
37.0,Alex18+,7,8,46.67,12.0
41.0,Ding Hing,6,6,50.0,11.0
41.0,MIOM | Toph,6,3,66.67,11.0
41.0,shoelegend88,6,4,60.0,11.0
41.0,Yamasaki,6,3,66.67,11.0
41.0,Zoma,6,5,54.55,11.0
41.0,Chiefn_,6,4,60.0,11.0
41.0,SHwang,6,8,42.86,11.0
41.0,Flow | Stark,6,3,66.67,11.0
41.0,Top Shelf | Dulbasaur,10,10,50.0,11.0
50.0,Frumentarii,5,3,62.5,10.0
50.0,RPG,5,5,50.0,10.0
50.0,John,5,5,50.0,10.0
50.0,TGL | Shamunt,5,2,71.43,10.0
54.0,Robot,8,9,47.06,9.0
54.0,Hexjo,4,3,57.14,9.0
54.0,Winx Club | Siddward,4,4,50.0,9.0
54.0,Zellpree,4,4,50.0,9.0
54.0,Soltrain,4,2,66.67,9.0
54.0,Maelstrom,4,4,50.0,9.0
54.0,Sakm,4,2,66.67,9.0
54.0,mangine,8,14,36.36,9.0
54.0,Paran,4,3,57.14,9.0
63.0,aujory,3,2,60.0,8.0
63.0,Frap,3,3,50.0,8.0
63.0,G,3,0,100.0,8.0
63.0,Kanye Rest,3,2,60.0,8.0
67.0,SHRD#209 | Shredder,2,1,66.67,7.0
67.0,Bonn Esports | CarlHank,6,6,50.0,7.0
67.0,Beck,2,0,100.0,7.0
67.0,Epoodle,2,0,100.0,7.0
67.0,Chummi,2,1,66.67,7.0
67.0,ArcaneFox,6,6,50.0,7.0
67.0,PML | Die222,6,14,30.0,7.0
67.0,Kandayo,2,0,100.0,7.0
75.0,doby,5,5,50.0,6.0
75.0,DPMZ,5,5,50.0,6.0
75.0,AR0,5,4,55.56,6.0
75.0,Big Pivot,5,18,21.74,6.0
79.0,gsm | Pound,4,4,50.0,5.0
79.0,hermionecraft,4,12,25.0,5.0
79.0,HOT TUB | signifyisdumb,4,6,40.0,5.0
79.0,MrDrBoi,4,6,40.0,5.0
79.0,Gingerham,4,5,44.44,5.0
79.0,Aura,4,6,40.0,5.0
85.0,Peyton,3,6,33.33,4.0
85.0,QTT | Yeyo,3,4,42.86,4.0
85.0,Fern,3,3,50.0,4.0
85.0,Obsidian,3,7,30.0,4.0
85.0,Opportunity,3,4,42.86,4.0
85.0,SquidTheCat,3,5,37.5,4.0
85.0,CS | Amity,3,13,18.75,4.0
85.0,Jangu,3,9,25.0,4.0
93.0,davidparkpark,2,1,66.67,3.0
93.0,MIB | handsofgnatz,2,9,18.18,3.0
93.0,scmu,2,16,11.11,3.0
93.0,twitch.tv | emu50,2,1,66.67,3.0
93.0,FM | Cilan,2,6,25.0,3.0
93.0,CILLGOD,2,11,15.38,3.0
93.0,FreeHops,2,3,40.0,3.0
93.0,rice,2,7,22.22,3.0
93.0,actually hmhh | LionTimeMachine,2,2,50.0,3.0
93.0,Zhaoshu,2,4,33.33,3.0
93.0,RedX,2,7,22.22,3.0
93.0,Blitzkrieg,2,6,25.0,3.0
105.0,Malcolm X,1,8,11.11,2.0
105.0,boip,1,1,50.0,2.0
105.0,Guhbs,1,4,20.0,2.0
105.0,Flame,1,3,25.0,2.0
105.0,tpyo,1,2,33.33,2.0
105.0,jatpuan,1,2,33.33,2.0
105.0,H20,1,6,14.29,2.0
105.0,DadsAkimbo,1,3,25.0,2.0
105.0,Mono,1,2,33.33,2.0
105.0,Ashley,1,3,25.0,2.0
105.0,Lama,1,1,50.0,2.0
116.0,BuenasRetas | Cobs,0,4,0.0,1.0
116.0,SS | Julio,0,1,0.0,1.0
116.0,DJAN,0,4,0.0,1.0
116.0,RULES | Strazz,0,1,0.0,1.0
116.0,Schweppes,0,5,0.0,1.0
116.0,SmashMouthEgg,0,3,0.0,1.0
116.0,Fruitility,0,12,0.0,1.0
116.0,JoffDuchar,0,4,0.0,1.0
116.0,butterfli,0,4,0.0,1.0
116.0,JMONEY,0,3,0.0,1.0
116.0,Solomon,0,1,0.0,1.0
116.0,ledgefiend,0,2,0.0,1.0
116.0,Special K,0,4,0.0,1.0
116.0,UNCO | Neur0n,0,1,0.0,1.0
116.0,PierreLuk,0,7,0.0,1.0
116.0,Essey,0,4,0.0,1.0
116.0,deep_cuts,0,9,0.0,1.0
116.0,markrevival,0,9,0.0,1.0
