Rank,Tag,Wins,Losses,Win%,Bankroll Bills
1.0,GG | n0ne,5,0,100.0,215.0
2.0,KoDoRiN,4,2,66.67,189.0
3.0,rocky,15,4,78.95,175.0
4.0,CG | Jflex,4,2,66.67,139.0
5.0,MT,11,3,78.57,116.0
6.0,bobby big ballz,7,2,77.78,112.0
7.0,Typhoon,15,5,75.0,105.0
8.0,IMP | Ben,2,2,50.0,87.0
9.0,SANS | Blues Clues,11,2,84.62,71.0
10.0,Joey Donuts,11,4,73.33,66.0
10.0,PEPIS | Noire,11,3,78.57,66.0
12.0,Golden,9,4,69.23,64.0
13.0,Slowking,14,6,70.0,54.0
14.0,K8A,12,5,70.59,52.0
15.0,Fankriss,11,5,68.75,46.0
16.0,Anjo,13,6,68.42,38.0
17.0,Younger,12,5,70.59,37.0
18.0,Liquid | Hungrybox,1,2,33.33,36.0
19.0,YungWaff,11,5,68.75,31.0
20.0,Ahmad,7,4,63.64,27.0
20.0,Epoodle,7,3,70.0,27.0
22.0,Redcoat,12,8,60.0,22.0
22.0,Ellis,12,7,63.16,22.0
22.0,LFG | PanterA,12,8,60.0,22.0
25.0,Vish,10,3,76.92,20.0
25.0,Jkiller,0,2,0.0,20.0
27.0,I'm Michael BTW,9,3,75.0,19.0
27.0,Darrell,9,4,69.23,19.0
27.0,Maruf,9,5,64.29,19.0
30.0,Anchovy,8,3,72.73,18.0
30.0,Joe(y) Bats,8,6,57.14,18.0
32.0,DD,7,1,87.5,17.0
32.0,RU | Midnight Blue,7,3,70.0,17.0
34.0,Weeg,6,1,85.71,16.0
35.0,Chadwicc,10,7,58.82,15.0
36.0,Vianny,9,6,60.0,14.0
36.0,Frap,9,8,52.94,14.0
36.0,MGFC | JorDank,9,9,50.0,14.0
36.0,G,9,7,56.25,14.0
36.0,Flow | ESPONJA,9,6,60.0,14.0
41.0,MessiSTL,8,7,53.33,13.0
41.0,Chiefn_,8,6,57.14,13.0
41.0,Paladin,8,5,61.54,13.0
41.0,LFG | Fist Mexico,8,7,53.33,13.0
45.0,actually hmhh | LionTimeMachine,7,6,53.85,12.0
45.0,Mud,7,4,63.64,12.0
45.0,Good1ife,7,5,58.33,12.0
45.0,SquidTheCat,7,4,63.64,12.0
45.0,JitteryInChurch,7,5,58.33,12.0
45.0,Bbatts,7,4,63.64,12.0
45.0,ClintStevensTV | HungryboxFan304,7,5,58.33,12.0
45.0,Mova,7,6,53.85,12.0
45.0,Winx Club | Siddward,7,6,53.85,12.0
54.0,LAG,6,4,60.0,11.0
54.0,TTV/Aceflight,6,3,66.67,11.0
54.0,jams,6,4,60.0,11.0
54.0,Khoron | Oreo,6,6,50.0,11.0
54.0,Flow | Stark,6,4,60.0,11.0
54.0,Elk G | Ivayne,6,2,75.0,11.0
54.0,CS | Faust,6,3,66.67,11.0
54.0,Schnurb,6,4,60.0,11.0
54.0,mexico629,6,4,60.0,11.0
63.0,Yamasaki,5,4,55.56,10.0
63.0,thicceon,5,3,62.5,10.0
65.0,Arctic,4,3,57.14,9.0
65.0,YoungHanSolo,4,4,50.0,9.0
65.0,Wōlī,4,3,57.14,9.0
65.0,a-on,8,9,47.06,9.0
65.0,OtES,4,2,66.67,9.0
65.0,Nebulous | Jib,4,4,50.0,9.0
71.0,SKY | Matwood,7,7,50.0,8.0
71.0,MDF | Amor,3,0,100.0,8.0
71.0,GSP,7,10,41.18,8.0
71.0,RustyTrombone,7,8,46.67,8.0
75.0,jerma985,2,0,100.0,7.0
75.0,Aura,2,1,66.67,7.0
75.0,DadsAkimbo,6,9,40.0,7.0
78.0,El Link,5,5,50.0,6.0
78.0,MIT | unlucky,5,4,55.56,6.0
78.0,Lamb's Ear,5,7,41.67,6.0
78.0,Melo,5,5,50.0,6.0
78.0,BuenasRetas | Cobs,5,6,45.45,6.0
78.0,DiMaria,5,7,41.67,6.0
84.0,Layer,4,11,26.67,5.0
84.0,Help,4,7,36.36,5.0
84.0,Fern,4,6,40.0,5.0
84.0,WFL | ABC,4,4,50.0,5.0
84.0,Hell'sLabyrinth,4,5,44.44,5.0
84.0,shoelegend88,4,5,44.44,5.0
84.0,Kr1meM45ter2517A,4,8,33.33,5.0
91.0,Hood,3,12,20.0,4.0
91.0,CableKnit,3,4,42.86,4.0
91.0,ArcaneFox,3,12,20.0,4.0
91.0,tpyo,3,9,25.0,4.0
91.0,BKB! | stocmoney,3,4,42.86,4.0
91.0,Leyo,3,4,42.86,4.0
91.0,Baja,3,4,42.86,4.0
91.0,Anjel,3,4,42.86,4.0
91.0,aujory,3,5,37.5,4.0
91.0,Dusky,3,8,27.27,4.0
91.0,lol | Hero,3,8,27.27,4.0
91.0,Chompy,3,10,23.08,4.0
91.0,CW | rabit!,3,4,42.86,4.0
104.0,diddylonglegs,2,4,33.33,3.0
104.0,Night,2,4,33.33,3.0
104.0,Navedo,2,4,33.33,3.0
104.0,FreeHops,2,4,33.33,3.0
104.0,Opportunity,2,1,66.67,3.0
104.0,Electroman,2,7,22.22,3.0
104.0,Beiker,2,2,50.0,3.0
104.0,fssong,2,8,20.0,3.0
104.0,RULES | Strazz,2,5,28.57,3.0
104.0,Anjel,2,4,33.33,3.0
104.0,SmashMouthEgg,2,4,33.33,3.0
104.0,3OutChange,2,17,10.53,3.0
104.0,RedX,2,4,33.33,3.0
104.0,hHerb,2,6,25.0,3.0
104.0,maxi,2,2,50.0,3.0
119.0,BK_Rib,1,11,8.33,2.0
119.0,Floods,1,8,11.11,2.0
119.0,SFOP,1,0,100.0,2.0
119.0,Nard Dawg,1,1,50.0,2.0
119.0,Ratt,1,2,33.33,2.0
119.0,Power Kevin,1,4,20.0,2.0
119.0,Shlorp,1,10,9.09,2.0
119.0,ruco,1,8,11.11,2.0
119.0,gsm | Pound,1,1,50.0,2.0
119.0,magnumgunn3r,1,1,50.0,2.0
119.0,Sodabro,1,0,100.0,2.0
119.0,CowCowCowCowCow,1,3,25.0,2.0
119.0,Maelstrom,1,1,50.0,2.0
119.0,rice,1,5,16.67,2.0
119.0,SIMP | Vagab0nd,1,1,50.0,2.0
119.0,[r] | U.S Marine,1,11,8.33,2.0
135.0,GThree,0,2,0.0,1.0
135.0,Dorian uwu,0,3,0.0,1.0
135.0,NattyIce,0,4,0.0,1.0
135.0,Barry Allen,0,1,0.0,1.0
135.0,markrevival,0,1,0.0,1.0
135.0,Boalisk,0,7,0.0,1.0
135.0,Special K,0,5,0.0,1.0
135.0,Honey Nut Cheerios,0,3,0.0,1.0
135.0,Dolfo,0,5,0.0,1.0
135.0,Analog,0,3,0.0,1.0
135.0,Schwifty | Sirjaxism,0,15,0.0,1.0
135.0,Mp drago,0,7,0.0,1.0
135.0,djweav2k,0,1,0.0,1.0
135.0,JustRhett,0,3,0.0,1.0
135.0,$W@6 | rocketf20,0,8,0.0,1.0
