Rank,RankChange,Tag,Wins,Losses,Win%,Bankroll Bills
1.0,-,IMP | Ben,28,14,66.67,1173.0
2.0,-,KoDoRiN,40,20,66.67,1135.0
3.0,-,S2J,26,2,92.86,1076.0
4.0,-,CG | Jflex,22,18,55.0,887.0
5.0,-,SANS | Blues Clues,60,24,71.43,590.0
6.0,-,bobby big ballz,30,13,69.77,520.0
7.0,1.0,DarkHero,53,13,80.3,473.0
8.0,1.0,Kurv,42,17,71.19,468.0
9.0,2.0,K8A,82,36,69.49,387.0
10.0,-3.0,GG | n0ne,8,2,80.0,378.0
11.0,-1.0,Younger,68,28,70.83,338.0
12.0,-,CG | Peppi | Pappi,30,7,81.08,315.0
13.0,10.0,rocky,18,6,75.0,313.0
14.0,-1.0,Revenge | Gahtzu,6,4,60.0,296.0
15.0,-1.0,404 YC | Salt,35,12,74.47,280.0
16.0,-1.0,PEPIS | Noire,49,14,77.78,254.0
17.0,-1.0,Liquid | Hungrybox,5,4,55.56,225.0
18.0,-1.0,Bbatts,49,21,70.0,220.0
19.0,-1.0,OkayP.,20,4,83.33,210.0
20.0,-1.0,I'm Michael BTW,55,24,69.62,205.0
21.0,-1.0,Golden,26,8,76.47,196.0
22.0,-1.0,LG | Ginger,5,2,71.43,190.0
23.0,11.0,Typhoon,34,11,75.56,189.0
24.0,New,Dacky,15,3,83.33,180.0
25.0,-3.0,BLE | SluG,12,2,85.71,177.0
26.0,10.0,Umarth,22,4,84.62,172.0
27.0,-3.0,GHQ | Zamu,18,3,85.71,163.0
28.0,-3.0,Azel,32,6,84.21,162.0
29.0,-3.0,TG | Mot$,15,5,75.0,155.0
30.0,-,DD,35,13,72.92,151.0
30.0,-3.0,LAG,26,11,70.27,151.0
32.0,-4.0,Joey Donuts,35,17,67.31,150.0
33.0,2.0,ZOOK | Suezo,29,13,69.05,149.0
34.0,-5.0,LSD,9,2,81.82,144.0
35.0,12.0,Redcoat,46,27,63.01,142.0
36.0,19.0,Paladin,47,23,67.14,138.0
37.0,-6.0,ycz6,20,6,76.92,135.0
37.0,-5.0,Winx Club | Siddward,44,28,61.11,135.0
39.0,-6.0,The_Hat123 | Anjo,50,26,65.79,130.0
40.0,10.0,TBD,49,24,67.12,119.0
40.0,-3.0,Darrell,58,30,65.91,119.0
42.0,-4.0,Epoodle,30,18,62.5,117.0
43.0,-4.0,Forrest,6,3,66.67,116.0
43.0,-4.0,Arcadia,31,14,68.89,116.0
43.0,-4.0,MT,11,3,78.57,116.0
46.0,-4.0,Dawson,27,9,75.0,112.0
47.0,-4.0,GGS,18,6,75.0,108.0
48.0,-4.0,WKDA | Shroomed,2,2,50.0,107.0
49.0,-4.0,LG | Yu,14,4,77.78,104.0
49.0,3.0,Joe(y) Bats,63,57,52.5,104.0
51.0,-5.0,Dream,13,7,65.0,99.0
52.0,-4.0,Notorious,40,21,65.57,95.0
