Rank,RankChange,Tag,Wins,Losses,Win%,Bankroll Bills
1.0,1.0,KoDoRiN,25,10,71.43,730.0
2.0,-1.0,IMP | Ben,16,6,72.73,656.0
3.0,-,CG | Jflex,14,10,58.33,539.0
4.0,1.0,SANS | Blues Clues,45,15,75.0,400.0
5.0,-1.0,GG | n0ne,8,2,80.0,378.0
6.0,-,Revenge | Gahtzu,6,4,60.0,296.0
7.0,-,Younger,60,20,75.0,295.0
8.0,14.0,bobby big ballz,10,4,71.43,250.0
9.0,5.0,PEPIS | Noire,38,11,77.55,233.0
10.0,-2.0,Liquid | Hungrybox,5,4,55.56,225.0
11.0,New,S2J,5,0,100.0,215.0
12.0,186.0,GUG | Kurv,18,3,85.71,213.0
13.0,25.0,Golden,20,6,76.92,180.0
14.0,New,BLE | SluG,12,2,85.71,177.0
15.0,-6.0,rocky,15,4,78.95,175.0
16.0,-2.0,K8A,51,26,66.23,161.0
17.0,-7.0,TG | Mot$,15,5,75.0,155.0
18.0,-7.0,LAG,26,11,70.27,151.0
19.0,-2.0,Joey Donuts,35,17,67.31,150.0
20.0,-8.0,LSD,9,2,81.82,144.0
21.0,-8.0,DD,30,9,76.92,140.0
22.0,13.0,ycz6,20,6,76.92,135.0
23.0,-7.0,Typhoon,24,8,75.0,124.0
24.0,-6.0,Umarth,11,2,84.62,121.0
25.0,-6.0,DarkHero,12,3,80.0,117.0
26.0,-6.0,MT,11,3,78.57,116.0
26.0,-6.0,YC | Peppi | | Pappi,11,3,78.57,116.0
28.0,-6.0,I'm Michael BTW,27,12,69.23,112.0
29.0,-5.0,Epoodle,28,18,60.87,110.0
30.0,-4.0,Winx Club | Siddward,34,18,65.38,109.0
31.0,-6.0,LG | Yu,14,4,77.78,104.0
32.0,-5.0,Bbatts,25,10,71.43,95.0
32.0,-5.0,Dream,10,4,71.43,95.0
34.0,-5.0,The Leaf,8,4,66.67,93.0
35.0,22.0,soccermom69,23,12,65.71,83.0
36.0,-6.0,Paladin,32,16,66.67,82.0
37.0,-6.0,prof,15,7,68.18,75.0
38.0,-6.0,LFG | PanterA,24,12,66.67,74.0
39.0,New,Ringler,13,4,76.47,73.0
39.0,-6.0,jacket,23,9,71.88,73.0
41.0,-7.0,TBD,32,17,65.31,72.0
41.0,27.0,Cow,26,24,52.0,72.0
43.0,-7.0,Crescent | JSalt,10,2,83.33,70.0
44.0,-2.0,Joe(y) Bats,38,35,52.05,68.0
45.0,-8.0,Inky,11,5,68.75,66.0
45.0,5.0,Darrell,30,14,68.18,66.0
47.0,5.0,MGFC | bootichief,43,41,51.19,64.0
47.0,New,GGS,9,3,75.0,64.0
49.0,-10.0,Nintendude,8,3,72.73,63.0
49.0,New,404 YC | Salt,8,3,72.73,63.0
51.0,-11.0,Anjo,27,15,64.29,62.0
52.0,2.0,ZOOK | Suezo,13,6,68.42,58.0
53.0,66.0,Jpeg | RC,22,11,66.67,57.0
53.0,-12.0,LFTG | Logos,17,8,68.0,57.0
55.0,-9.0,Redcoat,30,20,60.0,56.0
56.0,-13.0,NEU | Shmeeli,15,7,68.18,55.0
56.0,-1.0,Ellis,30,19,61.22,55.0
56.0,5.0,Light,20,8,71.43,55.0
59.0,4.0,a-on,32,25,56.14,54.0
59.0,-15.0,Slowking,14,6,70.0,54.0
59.0,-8.0,Fankriss,14,5,73.68,54.0
62.0,New,Rei,13,3,81.25,53.0
62.0,-17.0,Erik,13,5,72.22,53.0
64.0,-18.0,DannyPhantom,11,3,78.57,51.0
65.0,-17.0,Khryke,14,8,63.64,49.0
66.0,-17.0,Rocket,13,6,68.42,48.0
67.0,-9.0,Frap,27,21,56.25,47.0
68.0,-16.0,Sodabro,9,3,75.0,45.0
68.0,9.0,Ahmad,15,7,68.18,45.0
68.0,29.0,Maruf,15,9,62.5,45.0
68.0,9.0,Arcadia,15,7,68.18,45.0
72.0,10.0,Flow | Stark,23,15,60.53,44.0
73.0,-13.0,Chiefn_,26,39,40.0,43.0
74.0,-19.0,NathanSandwich,17,7,70.83,42.0
74.0,23.0,Buttlet,22,10,68.75,42.0
76.0,-18.0,Anchovy,19,9,67.86,39.0
76.0,-15.0,Yamasaki,22,21,51.16,39.0
78.0,-10.0,Solomon,13,7,65.0,38.0
79.0,-12.0,LFG | Fist Mexico,25,29,46.3,37.0
80.0,100.0,Ghost Rider,11,6,64.71,36.0
81.0,8.0,GS | SubTails,20,13,60.61,35.0
81.0,54.0,PML | Die222,20,17,54.05,35.0
81.0,42.0,cockbread,20,23,46.51,35.0
84.0,66.0,Notorious,19,10,65.52,34.0
84.0,3.0,Melo,22,18,55.0,34.0
86.0,-22.0,Flow | ESPONJA,18,14,56.25,33.0
