Rank,Tag,Wins,Losses,Win%,Bankroll Bills
1.0,S2J,5,0,100.0,215.0
2.0,GUG | Kurv,16,2,88.89,206.0
3.0,BLE | SluG,12,2,85.71,177.0
4.0,bobby big ballz,3,2,60.0,138.0
5.0,Golden,11,2,84.62,116.0
6.0,KoDoRiN,2,2,50.0,107.0
7.0,PEPIS | Noire,14,4,77.78,99.0
8.0,SANS | Blues Clues,4,2,66.67,89.0
9.0,Ringler,13,4,76.47,73.0
10.0,ycz6,9,3,75.0,64.0
10.0,GGS,9,3,75.0,64.0
12.0,404 YC | Salt,8,3,72.73,63.0
13.0,Rei,13,3,81.25,53.0
14.0,Younger,12,5,70.59,52.0
15.0,Cow,8,3,72.73,43.0
15.0,soccermom69,8,4,66.67,43.0
17.0,Jpeg | RC,16,10,61.54,41.0
18.0,Joey Donuts,7,3,70.0,27.0
18.0,Ghost Rider,7,3,70.0,27.0
18.0,K8A,17,10,62.96,27.0
21.0,Lime,6,4,60.0,26.0
21.0,Maruf,6,4,60.0,26.0
23.0,Reesch,14,8,63.64,24.0
24.0,Buttlet,13,6,68.42,23.0
25.0,Notorious,12,5,70.59,22.0
26.0,PML | Die222,11,7,61.11,21.0
27.0,CG | Jflex,0,2,0.0,20.0
27.0,Flow | Stark,10,4,71.43,20.0
27.0,cockbread,10,14,41.67,20.0
30.0,Sicca,9,5,64.29,19.0
30.0,Darrell,9,4,69.23,19.0
30.0,a-on,9,6,60.0,19.0
30.0,MGFC | bootichief,14,14,50.0,19.0
30.0,Light,9,4,69.23,19.0
35.0,Arcadia,8,4,66.67,18.0
35.0,PEP | Sp1nda,8,3,72.73,18.0
35.0,TGL | Shamunt,8,3,72.73,18.0
35.0,Ahmad,8,3,72.73,18.0
39.0,Ding Hing,11,9,55.0,16.0
40.0,ZOOK | Suezo,5,1,83.33,15.0
41.0,Zab,9,9,50.0,14.0
41.0,GS | SubTails,9,7,56.25,14.0
43.0,Ellis,8,6,57.14,13.0
44.0,2ndLaw,7,6,53.85,12.0
44.0,CVSmashMods | Ripn,7,6,53.85,12.0
44.0,Melo,7,6,53.85,12.0
44.0,Joe(y) Bats,7,8,46.67,12.0
48.0,Seraph,6,2,75.0,11.0
48.0,RustyTrombone,6,6,50.0,11.0
48.0,VDL | Ben Snape,6,6,50.0,11.0
48.0,FKA Minerali,6,4,60.0,11.0
52.0,ÆRO,5,5,50.0,10.0
52.0,Sakm,5,4,55.56,10.0
52.0,RedX,5,4,55.56,10.0
52.0,PRIN$E,5,1,83.33,10.0
56.0,vampa,4,3,57.14,9.0
56.0,Pulch,8,10,44.44,9.0
56.0,Solomon,4,3,57.14,9.0
56.0,Winx Club | Siddward,4,2,66.67,9.0
60.0,PJThePuff,3,2,60.0,8.0
60.0,Vianny,3,2,60.0,8.0
60.0,UCLA | Suvir,3,2,60.0,8.0
60.0,Fankriss,3,0,100.0,8.0
60.0,TheYoungMC,3,2,60.0,8.0
60.0,Frap,3,2,60.0,8.0
66.0,Bonn Esports | CarlHank,6,10,37.5,7.0
66.0,Reiky,6,7,46.15,7.0
66.0,LFG | Fist Mexico,6,7,46.15,7.0
66.0,SKY | Matwood,6,10,37.5,7.0
70.0,purpp,5,10,33.33,6.0
70.0,Trill Jake,5,6,45.45,6.0
70.0,enterthekiwi,5,6,45.45,6.0
70.0,ArcaneFox,5,7,41.67,6.0
70.0,Maelstrom,5,9,35.71,6.0
70.0,KayB,5,10,33.33,6.0
76.0,actually hmhh | LionTimeMachine,4,6,40.0,5.0
76.0,Neenor,4,6,40.0,5.0
76.0,charmell0,4,11,26.67,5.0
76.0,BoffTarget,4,6,40.0,5.0
76.0,Redcoat,4,4,50.0,5.0
76.0,Butternust,4,10,28.57,5.0
76.0,Banger,4,4,50.0,5.0
76.0,PEPIS | lagoonies,4,20,16.67,5.0
76.0,jams,4,6,40.0,5.0
76.0,Funktrocious,4,16,20.0,5.0
76.0,YBBT | leroydankins,4,11,26.67,5.0
76.0,Chiefn_,4,5,44.44,5.0
88.0,Fern,3,5,37.5,4.0
88.0,Sol | | Saturn,3,5,37.5,4.0
88.0,BuenasRetas | Cobs,3,4,42.86,4.0
88.0,Hell'sLabyrinth,3,2,60.0,4.0
88.0,Pena,3,3,50.0,4.0
88.0,veil,3,3,50.0,4.0
88.0,RULES | Strazz,3,4,42.86,4.0
95.0,QTT | Pelon,2,6,25.0,3.0
95.0,Drewski,2,4,33.33,3.0
95.0,Floods,2,4,33.33,3.0
95.0,S.O.D.A,2,6,25.0,3.0
95.0,Beck,2,3,40.0,3.0
95.0,niimo,2,3,40.0,3.0
95.0,Chompy,2,5,28.57,3.0
95.0,Vent,2,1,66.67,3.0
95.0,bunnygirlsenpai,2,3,40.0,3.0
95.0,Yamasaki,2,3,40.0,3.0
95.0,N8v,2,1,66.67,3.0
95.0,LEVO | Mento,2,2,50.0,3.0
107.0,KatBot,1,2,33.33,2.0
107.0,MR. SCAM,1,2,33.33,2.0
107.0,t0tal90,1,2,33.33,2.0
107.0,Flame,1,8,11.11,2.0
107.0,icecream,1,1,50.0,2.0
107.0,NattyIce,1,4,20.0,2.0
107.0,MK | RedSoul,1,2,33.33,2.0
107.0,Kr1meM45ter2517A,1,1,50.0,2.0
107.0,CyAn,1,2,33.33,2.0
107.0,Special K,1,6,14.29,2.0
107.0,rickey_kc,1,3,25.0,2.0
107.0,Lamb's Ear,1,1,50.0,2.0
107.0,Kandayo,1,2,33.33,2.0
107.0,TSBO | HateSauce,1,3,25.0,2.0
107.0,Schwifty | Sirjaxism,1,5,16.67,2.0
122.0,Canoe,0,8,0.0,1.0
122.0,OtES,0,3,0.0,1.0
122.0,boys,0,7,0.0,1.0
122.0,DJAN,0,1,0.0,1.0
122.0,fssong,0,1,0.0,1.0
122.0,DERT | Petra,0,8,0.0,1.0
122.0,Marvelboy,0,2,0.0,1.0
122.0,PotusTheGoatus,0,6,0.0,1.0
122.0,NAIR | Pablo,0,5,0.0,1.0
122.0,deep_cuts,0,4,0.0,1.0
122.0,BKB! | stocmoney,0,2,0.0,1.0
122.0,CW | rabit!,0,2,0.0,1.0
122.0,Supreme.Noobs | Edicus,0,3,0.0,1.0
122.0,Teva,0,4,0.0,1.0
122.0,BrophyT,0,2,0.0,1.0
122.0,Essey,0,20,0.0,1.0
122.0,Venus,0,4,0.0,1.0
122.0,boip,0,2,0.0,1.0
122.0,Smeedot,0,2,0.0,1.0
