Rank,Tag,Wins,Losses,Win%,Bankroll Bills
1.0,S2J,5,1,83.33,215.0
2.0,OkayP.,20,4,83.33,210.0
3.0,IMP | Ben,3,2,60.0,163.0
4.0,bobby big ballz,7,2,77.78,137.0
5.0,Forrest,4,2,66.67,109.0
6.0,KoDoRiN,8,6,57.14,108.0
7.0,K8A,11,3,78.57,96.0
8.0,CG | Jflex,2,2,50.0,87.0
9.0,HS | Den,16,4,80.0,76.0
10.0,DarkHero,13,4,76.47,73.0
11.0,Far!,12,4,75.0,72.0
12.0,SANS | Blues Clues,1,2,33.33,56.0
13.0,I'm Michael BTW,15,6,71.43,55.0
14.0,SubTails,8,3,72.73,43.0
14.0,FM | Cilan,8,4,66.67,43.0
16.0,Redcoat,7,4,63.64,42.0
17.0,Khryke,10,2,83.33,35.0
18.0,SKY | Cob,14,3,82.35,29.0
19.0,Ben Snape,8,5,61.54,28.0
20.0,Zamorita,7,3,70.0,27.0
20.0,Arcadia,7,3,70.0,27.0
22.0,Axis,6,4,60.0,26.0
23.0,Yung Silver,6,4,60.0,21.0
24.0,Zab,10,6,62.5,20.0
24.0,TBD,10,4,71.43,20.0
26.0,Mr. Butterfly,9,4,69.23,19.0
27.0,Azel,8,1,88.89,18.0
27.0,Yamasaki,8,3,72.73,18.0
27.0,NeuroDivergent,13,14,48.15,18.0
30.0,Phantom Airline,7,4,63.64,17.0
30.0,GUG | Kurv,7,3,70.0,17.0
32.0,PML | Die222,11,11,50.0,16.0
32.0,AR0,11,7,61.11,16.0
32.0,OtES,11,8,57.89,16.0
35.0,Oaty,5,0,100.0,15.0
36.0,Easy,9,6,60.0,14.0
36.0,FreeHops,9,8,52.94,14.0
36.0,Oferton,9,9,50.0,14.0
39.0,Hua,8,6,57.14,13.0
39.0,Darrell,8,6,57.14,13.0
39.0,NAM,8,9,47.06,13.0
42.0,Chiefn_,7,4,63.64,12.0
42.0,LFG | Fist Mexico,7,4,63.64,12.0
42.0,Frumentarii,7,4,63.64,12.0
45.0,emy,6,3,66.67,11.0
45.0,62-bit | Hero,6,5,54.55,11.0
45.0,Notorious,6,2,75.0,11.0
45.0,GUILD | ghettowarmachine420,6,4,60.0,11.0
49.0,Fire,5,4,55.56,10.0
49.0,0kay,5,4,55.56,10.0
49.0,AG | KU | Shimkoko,5,4,55.56,10.0
49.0,PotatoRice,5,4,55.56,10.0
53.0,Buttlet,4,1,80.0,9.0
53.0,Winx Club | Siddward,4,3,57.14,9.0
53.0,Qanic,4,3,57.14,9.0
56.0,veil,3,1,75.0,8.0
57.0,Kanye Rest,2,1,66.67,7.0
57.0,Melo,6,6,50.0,7.0
57.0,Ghost Rider,2,1,66.67,7.0
57.0,Karin Dreijer,6,9,40.0,7.0
57.0,MTM | chickncup,6,10,37.5,7.0
62.0,Keo,5,7,41.67,6.0
62.0,Rockin,5,6,45.45,6.0
62.0,Pi2z,5,8,38.46,6.0
65.0,K.H.D | REIGN,4,4,50.0,5.0
65.0,markrevival,4,8,33.33,5.0
65.0,SquidTheCat,4,4,50.0,5.0
65.0,Zellpree,4,3,57.14,5.0
65.0,ArcaneFox,4,3,57.14,5.0
65.0,Coinee,4,5,44.44,5.0
65.0,H0LL0W,4,13,23.53,5.0
72.0,gaeming | HaxMoneyHulkHogan,3,3,50.0,4.0
72.0,Ding Hing,3,3,50.0,4.0
72.0,Maelstrom,3,5,37.5,4.0
72.0,charmell0,3,7,30.0,4.0
72.0,Obsidian,3,7,30.0,4.0
72.0,NoobyMcCheese,3,3,50.0,4.0
72.0,jams,3,3,50.0,4.0
72.0,Sakm,3,3,50.0,4.0
72.0,RustyTrombone,3,4,42.86,4.0
72.0,Kev,3,12,20.0,4.0
82.0,JoffDuchar,2,4,33.33,3.0
82.0,KatBot,2,3,40.0,3.0
82.0,alexpenguin,2,7,22.22,3.0
82.0,Kuzon,2,5,28.57,3.0
82.0,poog,2,7,22.22,3.0
82.0,Mp drago,2,6,25.0,3.0
82.0,Venus,2,18,10.0,3.0
82.0,EWA | Gorgonzola,2,4,33.33,3.0
82.0,hHerb,2,6,25.0,3.0
82.0,CowCowCowCowCow,2,1,66.67,3.0
82.0,ZBopp,2,6,25.0,3.0
82.0,Layer,2,5,28.57,3.0
82.0,DERT | Petra,2,8,20.0,3.0
82.0,icecream,2,4,33.33,3.0
82.0,TitusMelee,2,4,33.33,3.0
82.0,DD,2,2,50.0,3.0
82.0,Saturn,2,8,20.0,3.0
82.0,Frap,2,3,40.0,3.0
82.0,BuenasRetas | Cobs,2,3,40.0,3.0
82.0,RedX,2,2,50.0,3.0
82.0,MessiSTL,2,3,40.0,3.0
103.0,LordTourettes,1,1,50.0,2.0
103.0,Gingerham,1,3,25.0,2.0
103.0,Big Pivot,1,18,5.26,2.0
103.0,CATii,1,2,33.33,2.0
103.0,Puff,1,3,25.0,2.0
103.0,Floods,1,7,12.5,2.0
103.0,MIB | handsofgnatz,1,6,14.29,2.0
103.0,SHRD#209 | Shredder,1,2,33.33,2.0
103.0,CILLGOD,1,5,16.67,2.0
103.0,Dusky,1,3,25.0,2.0
113.0,zaubermaus,0,1,0.0,1.0
113.0,c_,0,4,0.0,1.0
113.0,Reapr,0,8,0.0,1.0
113.0,Udon,0,10,0.0,1.0
113.0,rocketf20,0,7,0.0,1.0
113.0,Beck,0,2,0.0,1.0
113.0,YB | BirdPerson,0,3,0.0,1.0
113.0,Pocodudeface,0,4,0.0,1.0
113.0,CableKnit,0,2,0.0,1.0
113.0,Soltrain,0,2,0.0,1.0
113.0,Schweppes,0,2,0.0,1.0
113.0,JustnThundrLigr,0,8,0.0,1.0
