Rank,ChangeInRank,SmashTag,Wins,Losses,Win%,BankRoll Bills
1.0,++ 4.0,S2J,28,5,84.85,693.0
2.0,-,LSD,45,8,84.91,690.0
3.0,++ 3.0,CLG. | SFAT,31,11,73.81,626.0
4.0,-- 1.0,bobby big ballz,36,15,70.59,611.0
5.0,++ 2.0,KoDoRiN,31,11,73.81,591.0
6.0,-- 5.0,Ginger,27,8,77.14,587.0
7.0,-- 3.0,Revenge | Gahtzu,16,4,80.0,491.0
8.0,-,Fiction,18,6,75.0,293.0
9.0,-,SANS | Blues Clues,40,17,70.18,275.0
10.0,++ 3.0,JCubez,31,11,73.81,206.0
11.0,-,DD,50,27,64.94,200.0
12.0,-- 2.0,306 | Amrak,38,16,70.37,188.0
13.0,++ 3.0,ANTIFA CEO | Quiggles,67,58,53.6,153.0
14.0,-- 2.0,Null,19,5,79.17,149.0
15.0,++ 3.0,cliché,52,38,57.78,142.0
16.0,-- 2.0,Fizz,26,16,61.9,136.0
17.0,-- 2.0,EP | Justus,27,16,62.79,132.0
18.0,++ 46.0,Bones,17,4,80.95,127.0
19.0,New,Ben,13,3,81.25,123.0
20.0,New,RG | Far!,12,2,85.71,122.0
21.0,++ 7.0,S.C.E. | Erik,40,20,66.67,120.0
21.0,-- 4.0,Twisty,15,8,65.22,120.0
23.0,-- 4.0,Android 0,11,2,84.62,116.0
24.0,-- 4.0,NOOT,20,8,71.43,115.0
25.0,-- 4.0,.Ðempt,29,22,56.86,114.0
26.0,-- 4.0,Mango's Friend | Lucky,3,2,60.0,108.0
27.0,++ 22.0,GUG | Kürv,23,10,69.7,103.0
28.0,-- 5.0,Dom,14,6,70.0,99.0
29.0,++ 2.0,GLR | JAM,39,19,67.24,94.0
30.0,++ 21.0,Neologism,26,11,70.27,86.0
31.0,-- 7.0,Westballz,18,3,85.71,83.0
32.0,++ 10.0,Pipe,39,40,49.37,79.0
33.0,-- 8.0,FM | Cilan,23,14,62.16,78.0
34.0,-- 8.0,Spiral Cafe | Krudo,14,3,82.35,74.0
35.0,-- 8.0,yingling,27,24,52.94,72.0
36.0,++ 9.0,Marrgasm,26,15,63.41,71.0
37.0,New,404 YC | Salt,11,4,73.33,66.0
38.0,-- 9.0,GHQ | Zamu,10,5,66.67,65.0
39.0,-- 9.0,SDJ,9,3,75.0,64.0
40.0,-- 9.0,Bonn Esports | Question,33,21,61.11,63.0
40.0,-- 9.0,The Leaf,8,2,80.0,63.0
40.0,-- 9.0,Golden,8,3,72.73,63.0
43.0,++ 8.0,ight,33,37,47.14,59.0
44.0,++ 1.0,Megaman,26,26,50.0,56.0
44.0,-- 9.0,Trail,21,11,65.62,56.0
46.0,-- 10.0,TG NBR | Panos,15,10,60.0,55.0
47.0,-- 10.0,GST | Ryobeat,14,4,77.78,54.0
47.0,-- 10.0,TBD,24,12,66.67,54.0
49.0,-- 10.0,Ghost Rider,16,8,66.67,51.0
50.0,-- 10.0,Trock,15,9,62.5,50.0
51.0,-- 10.0,Chem,13,10,56.52,48.0
52.0,-- 10.0,soccermom69,12,5,70.59,47.0
52.0,-- 10.0,Captain G,12,10,54.55,47.0
54.0,New,Maher,9,3,75.0,44.0
55.0,++ 46.0,snacklepackle,22,26,45.83,43.0
56.0,++ 15.0,LAG,27,19,58.7,42.0
57.0,-- 10.0,DarkGenex,26,18,59.09,41.0
58.0,-- 10.0,CowCowCowCowCow,15,14,51.72,40.0
59.0,-- 10.0,Cowbell,24,17,58.54,39.0
60.0,++ 13.0,QoT | Cruelscotty,24,24,50.0,34.0
60.0,-- 7.0,Panda,9,2,81.82,34.0
62.0,-- 8.0,Light,12,6,66.67,32.0
63.0,-- 8.0,GEM | CrossFitJesus,11,5,68.75,31.0
64.0,-- 8.0,Crispy | Chango,9,3,75.0,29.0
64.0,New,HWY | ybot,9,6,60.0,29.0
64.0,-- 8.0,Hulka,9,6,60.0,29.0
67.0,-- 9.0,306 | Polo,8,3,72.73,28.0
67.0,-- 9.0,MIOM | Toph,8,5,61.54,28.0
67.0,-- 9.0,ABG | salami,8,5,61.54,28.0
67.0,++ 23.0,Travy,22,29,43.14,28.0
67.0,-- 9.0,billybopeep,8,6,57.14,28.0
72.0,-- 10.0,Pappi,7,2,77.78,27.0
72.0,-- 10.0,Musashi,12,9,57.14,27.0
74.0,++ 14.0,Alex18+,19,28,40.43,26.0
74.0,-- 10.0,CG | Firebolt,16,13,55.17,26.0
