Rank,Tag,Wins,Losses,Win%,Bankroll Bills
1.0,CLG. | SFAT,5,0,100.0,215.0
2.0,bobby big ballz,6,2,75.0,191.0
3.0,GUG | Kürv,11,3,78.57,171.0
4.0,IMP | Ben,3,2,60.0,138.0
5.0,Erik,16,6,72.73,126.0
6.0,YC | Pappi,13,3,81.25,118.0
7.0,LFG | Eddy Mexico,12,3,80.0,102.0
8.0,Golden,9,3,75.0,94.0
9.0,Bones,11,3,78.57,71.0
10.0,NGG | Jflex,13,4,76.47,68.0
11.0,SANS | Blues Clues,10,6,62.5,65.0
12.0,KoDoRiN,1,2,33.33,56.0
13.0,Higgins,14,7,66.67,49.0
13.0,TPN,14,10,58.33,49.0
15.0,NOOT,13,6,68.42,48.0
16.0,Typhoon,8,3,72.73,43.0
17.0,NoFuxGiven,13,6,68.42,38.0
18.0,PEP | LSD,11,4,73.33,36.0
19.0,JCubez,13,8,61.9,33.0
20.0,DD,10,5,66.67,30.0
21.0,Mahik,9,6,60.0,29.0
22.0,LAG,8,3,72.73,28.0
23.0,Maruf,7,4,63.64,27.0
24.0,ScrubUp,13,10,56.52,23.0
25.0,PQ2 | CPU0,12,9,57.14,22.0
25.0,Boy,12,8,60.0,22.0
25.0,Pipe,12,10,54.55,22.0
28.0,cliché,9,3,75.0,19.0
29.0,Cowbell,8,3,72.73,18.0
30.0,ight,12,8,60.0,17.0
31.0,ANTIFA CEO | Quiggles,11,10,52.38,16.0
31.0,shoelegend88,11,8,57.89,16.0
33.0,Nyte,10,8,55.56,15.0
33.0,RedX,10,8,55.56,15.0
33.0,Dandy,10,11,47.62,15.0
36.0,MordecaiPielord,13,14,48.15,14.0
36.0,Help,9,8,52.94,14.0
36.0,OtES,9,10,47.37,14.0
39.0,Gaz333,8,4,66.67,13.0
39.0,CowCowCowCowCow,8,5,61.54,13.0
39.0,Enrique Iglesias,8,6,57.14,13.0
39.0,Kaptinkillem,8,7,53.33,13.0
43.0,Gaz,7,5,58.33,12.0
43.0,ParkedInTraffic | Commas,7,5,58.33,12.0
45.0,Jolf,10,15,40.0,11.0
46.0,CardsNG,5,3,62.5,10.0
46.0,Rive,9,10,47.37,10.0
46.0,Divine Senator Kelly,5,4,55.56,10.0
46.0,Mono,5,2,71.43,10.0
46.0,Tammerath,5,3,62.5,10.0
51.0,ushi,4,2,66.67,9.0
52.0,jtetter,7,10,41.18,8.0
52.0,STP,7,13,35.0,8.0
52.0,LewdCelebs4Free,7,19,26.92,8.0
55.0,Spi,6,12,33.33,7.0
55.0,Rome0,6,15,28.57,7.0
57.0,dabt,5,12,29.41,6.0
57.0,CAPTwheatroll,5,20,20.0,6.0
57.0,Acuna,5,14,26.32,6.0
60.0,Blanks,3,5,37.5,4.0
60.0,lavalamp,3,13,18.75,4.0
60.0,Bug Juice | Snorlaxative,3,9,25.0,4.0
63.0,Den,2,5,28.57,3.0
63.0,ImYourDade,2,11,15.38,3.0
63.0,YBBT | leroydankins,2,6,25.0,3.0
63.0,Yamasaki,2,5,28.57,3.0
67.0,ASAPferq,1,15,6.25,2.0
67.0,Pawn,1,9,10.0,2.0
67.0,Xad,1,4,20.0,2.0
67.0,peenlover,1,3,25.0,2.0
67.0,foxmcchicken,1,9,10.0,2.0
67.0,melatonin,1,4,20.0,2.0
67.0,BEBO,1,17,5.56,2.0
74.0,Night,0,1,0.0,1.0
74.0,Funktrocious,0,5,0.0,1.0
74.0,Yuki08,0,6,0.0,1.0
74.0,snek,0,6,0.0,1.0
74.0,Kettering,0,6,0.0,1.0
