Rank,SmashTag,Wins,Losses,Win%,BankRoll Bills
1.0,S2J,5,0,100.0,215.0
2.0,KoDoRiN,12,2,85.71,197.0
3.0,CLG. | SFAT,13,3,81.25,178.0
4.0,LSD,3,2,60.0,138.0
5.0,Ben,13,3,81.25,123.0
6.0,RG | Far!,12,2,85.71,122.0
7.0,Bones,11,2,84.62,101.0
8.0,bobby big ballz,2,2,50.0,87.0
9.0,JCubez,14,6,70.0,69.0
10.0,404 YC | Salt,11,4,73.33,66.0
11.0,SANS | Blues Clues,10,4,71.43,65.0
12.0,GUG | Kürv,9,3,75.0,64.0
13.0,S.C.E. | Erik,14,5,73.68,54.0
14.0,Neologism,14,6,70.0,49.0
15.0,Maher,9,3,75.0,44.0
15.0,DD,9,5,64.29,44.0
17.0,snacklepackle,13,10,56.52,33.0
18.0,Pipe,12,9,57.14,32.0
19.0,GLR | JAM,11,5,68.75,31.0
20.0,HWY | ybot,9,6,60.0,29.0
21.0,Marrgasm,8,3,72.73,28.0
22.0,ANTIFA CEO | Quiggles,15,9,62.5,25.0
23.0,cliché,14,10,58.33,24.0
23.0,LAG,14,8,63.64,24.0
25.0,WW | Lemonjuices,12,7,63.16,22.0
25.0,ight,12,11,52.17,22.0
27.0,Rive,13,16,44.83,18.0
28.0,Arctic,12,10,54.55,17.0
28.0,QoT | Cruelscotty,12,10,54.55,17.0
30.0,RedX,11,9,55.0,16.0
30.0,Travy,11,12,47.83,16.0
32.0,Alex18+,8,9,47.06,13.0
32.0,Jakespeare,8,7,53.33,13.0
32.0,Megaman,8,7,53.33,13.0
35.0,CSR | Tezlik,7,9,43.75,12.0
35.0,Den,7,7,50.0,12.0
37.0,CB,6,5,54.55,11.0
37.0,Denzill,6,6,50.0,11.0
37.0,Maruf,6,3,66.67,11.0
40.0,FISA | JoJo,5,2,71.43,10.0
40.0,olé,5,1,83.33,10.0
40.0,Help,9,12,42.86,10.0
40.0,Phantom Airline,5,2,71.43,10.0
44.0,Soltrain,4,4,50.0,9.0
44.0,STP,8,9,47.06,9.0
46.0,YoungHanSolo,3,0,100.0,8.0
46.0,SDJ | SudoJoe,7,10,41.18,8.0
46.0,Elk G | Ivayne,3,2,60.0,8.0
46.0,bird | unlucky,7,14,33.33,8.0
46.0,Talen,3,0,100.0,8.0
46.0,Chewy,7,9,43.75,8.0
52.0,BCM | veggies,6,11,35.29,7.0
53.0,KaiKwonDo,5,8,38.46,6.0
54.0,100 Days Of Solitude,4,4,50.0,5.0
54.0,CSB | ushi,4,9,30.77,5.0
54.0,Kettering,4,9,30.77,5.0
57.0,markrevival,3,5,37.5,4.0
57.0,Pawn,3,6,33.33,4.0
57.0,CID,3,17,15.0,4.0
57.0,Futz,3,8,27.27,4.0
57.0,Miranda,3,10,23.08,4.0
57.0,HorseGirl420,3,9,25.0,4.0
63.0,pointykitty,2,11,15.38,3.0
63.0,Special K,2,6,25.0,3.0
63.0,K.H.D | Reign,2,3,40.0,3.0
66.0,TT | Dair,1,7,12.5,2.0
66.0,Melos,1,3,25.0,2.0
68.0,Snickerdoodle,0,15,0.0,1.0
68.0,$W@6 | rocketf20,0,10,0.0,1.0
68.0,WOMB#619 | Wombat,0,6,0.0,1.0
68.0,LVD | Super,0,12,0.0,1.0
68.0,snek,0,20,0.0,1.0
68.0,Ahung,0,1,0.0,1.0
68.0,Daddy Icey,0,1,0.0,1.0
68.0,ACAB | Mugen,0,11,0.0,1.0
68.0,Sax,0,4,0.0,1.0
