Rank,RankChange,Tag,Wins,Losses,Win%,Bankroll Bills
1.0,1.0,bobby big ballz,79,27,74.53,1454.0
2.0,-1.0,CLG. | SFAT,48,15,76.19,1408.0
3.0,-,KoDoRiN,46,20,69.7,976.0
4.0,-,S2J,31,7,81.58,856.0
5.0,-,Ginger,33,10,76.74,778.0
6.0,-,PEP | LSD,56,12,82.35,726.0
7.0,1.0,Erik,101,45,69.18,656.0
8.0,-1.0,IMP | Ben,32,11,74.42,627.0
9.0,-,SANS | Blues Clues,107,53,66.88,617.0
10.0,1.0,GUG | Kürv,73,27,73.0,548.0
11.0,-1.0,Revenge | Gahtzu,16,4,80.0,491.0
12.0,4.0,SFOP,36,11,76.6,416.0
13.0,-1.0,JCubez,52,22,70.27,332.0
14.0,6.0,NGG | Jflex,47,15,75.81,302.0
15.0,-2.0,Fiction,18,6,75.0,293.0
16.0,-1.0,RadicalLiberal | Quiggles,127,100,55.95,288.0
17.0,-3.0,Mango's Friend | Lucky,28,18,60.87,278.0
18.0,-1.0,DD,62,35,63.92,233.0
19.0,New,rocky,15,4,78.95,205.0
20.0,-2.0,Bones,28,7,80.0,198.0
21.0,-2.0,306 | Amrak,38,16,70.37,188.0
22.0,-1.0,cliché,69,47,59.48,174.0
23.0,-1.0,YC | Pappi,32,12,72.73,167.0
23.0,-1.0,CowCowCowCowCow,57,40,58.76,167.0
25.0,-1.0,NOOT,33,14,70.21,163.0
26.0,4.0,LAG,57,30,65.52,157.0
26.0,-1.0,RG | Far!,22,5,81.48,157.0
26.0,-1.0,Golden,17,6,73.91,157.0
29.0,-2.0,Null,19,5,79.17,149.0
30.0,-2.0,EP | Justus,33,17,66.0,148.0
31.0,2.0,Cowbell,62,43,59.05,147.0
32.0,3.0,Pipe,80,73,52.29,146.0
33.0,3.0,K8A,29,12,70.73,144.0
34.0,-5.0,GLR | JAM,51,25,67.11,141.0
35.0,-4.0,Young,26,10,72.22,136.0
35.0,-4.0,Fizz,26,16,61.9,136.0
37.0,-3.0,yingling,52,41,55.91,127.0
38.0,-1.0,Twisty,15,8,65.22,120.0
38.0,24.0,404 YC | Salt,25,10,71.43,120.0
40.0,-2.0,Android 0,11,2,84.62,116.0
41.0,-2.0,.Ðempt,29,22,56.86,114.0
42.0,-2.0,Dawson,22,13,62.86,112.0
43.0,-2.0,Typhoon,40,26,60.61,111.0
44.0,New,Winx Club | Siddward,18,9,66.67,108.0
44.0,-2.0,DontTestMe,3,2,60.0,108.0
46.0,-3.0,GOL | JSalt,13,2,86.67,103.0
47.0,-3.0,LFG | Eddy Mexico,12,3,80.0,102.0
48.0,-3.0,FM | Cilan,36,24,60.0,101.0
49.0,-3.0,Dom,14,6,70.0,99.0
50.0,6.0,IWI | Marrgasm,39,26,60.0,95.0
51.0,18.0,Crispy | Chango,29,11,72.5,94.0
52.0,1.0,ight,53,54,49.53,89.0
52.0,-2.0,Megaman,48,44,52.17,89.0
54.0,-3.0,Ghost Rider,28,13,68.29,88.0
55.0,-8.0,Neologism,26,11,70.27,86.0
56.0,-8.0,TBD,33,16,67.35,83.0
56.0,-8.0,Westballz,18,3,85.71,83.0
58.0,-7.0,LFG | PanterA,18,7,72.0,78.0
59.0,New,Fankriss,15,6,71.43,75.0
60.0,-6.0,Lotfy,14,6,70.0,74.0
60.0,-6.0,Spiral Cafe | Krudo,14,3,82.35,74.0
62.0,New,TNS | Asashi,13,4,76.47,73.0
62.0,New,Connor,13,5,72.22,73.0
62.0,43.0,RB | Cum Fox,18,10,64.29,73.0
65.0,-9.0,TG | Mot$,12,3,80.0,72.0
66.0,-8.0,Hulka,16,10,61.54,71.0
66.0,-8.0,AlyJ,11,3,78.57,71.0
