Rank,RankChange,Tag,Wins,Losses,Win%,Bankroll Bills
1.0,-,CLG. | SFAT,48,15,76.19,1408.0
2.0,-,bobby big ballz,74,27,73.27,1239.0
3.0,1.0,KoDoRiN,46,20,69.7,976.0
4.0,-1.0,S2J,31,7,81.58,856.0
5.0,1.0,Ginger,33,10,76.74,778.0
6.0,-1.0,PEP | LSD,56,12,82.35,726.0
7.0,-,IMP | Ben,32,11,74.42,627.0
8.0,2.0,Erik,98,43,69.5,548.0
9.0,-,SANS | Blues Clues,90,42,68.18,515.0
10.0,-2.0,Revenge | Gahtzu,16,4,80.0,491.0
11.0,1.0,GUG | Kürv,59,24,71.08,394.0
12.0,-1.0,JCubez,52,22,70.27,332.0
13.0,-,Fiction,18,6,75.0,293.0
14.0,-,Mango's Friend | Lucky,28,18,60.87,278.0
15.0,1.0,ANTIFA CEO | Quiggles,112,93,54.63,263.0
16.0,15.0,TLOC | SFOP,32,9,78.05,252.0
17.0,-2.0,DD,62,35,63.92,233.0
18.0,-1.0,Bones,28,7,80.0,198.0
19.0,-1.0,306 | Amrak,38,16,70.37,188.0
20.0,1.0,NGG | Jflex,35,13,72.92,180.0
21.0,-2.0,cliché,69,47,59.48,174.0
22.0,-2.0,YC | Pappi,32,12,72.73,167.0
22.0,8.0,CowCowCowCowCow,57,40,58.76,167.0
24.0,-2.0,NOOT,33,14,70.21,163.0
25.0,-2.0,Golden,17,6,73.91,157.0
25.0,-2.0,RG | Far!,22,5,81.48,157.0
27.0,-2.0,Null,19,5,79.17,149.0
28.0,-2.0,EP | Justus,33,17,66.0,148.0
29.0,-2.0,GLR | JAM,51,25,67.11,141.0
30.0,-2.0,LAG,47,26,64.38,137.0
31.0,-2.0,Fizz,26,16,61.9,136.0
31.0,4.0,Young,26,10,72.22,136.0
33.0,21.0,Cowbell,52,35,59.77,132.0
34.0,9.0,yingling,52,41,55.91,127.0
35.0,-,Pipe,69,66,51.11,125.0
36.0,New,K8A,16,7,69.57,121.0
37.0,-5.0,Twisty,15,8,65.22,120.0
38.0,-5.0,Android 0,11,2,84.62,116.0
39.0,-5.0,.Ðempt,29,22,56.86,114.0
40.0,118.0,Dawson,22,13,62.86,112.0
41.0,1.0,Typhoon,39,24,61.9,109.0
42.0,-7.0,DontTestMe,3,2,60.0,108.0
43.0,-5.0,GOL | JSalt,13,2,86.67,103.0
44.0,-5.0,LFG | Eddy Mexico,12,3,80.0,102.0
45.0,-5.0,FM | Cilan,36,24,60.0,101.0
46.0,-5.0,Dom,14,6,70.0,99.0
47.0,-3.0,Neologism,26,11,70.27,86.0
48.0,-3.0,TBD,33,16,67.35,83.0
48.0,-3.0,Westballz,18,3,85.71,83.0
50.0,-3.0,Megaman,41,35,53.95,81.0
51.0,-3.0,Ghost Rider,23,11,67.65,78.0
51.0,-3.0,LFG | PanterA,18,7,72.0,78.0
53.0,-3.0,ight,45,45,50.0,76.0
54.0,-3.0,Spiral Cafe | Krudo,14,3,82.35,74.0
54.0,-3.0,Lotfy,14,6,70.0,74.0
56.0,New,TG | Mot$,12,3,80.0,72.0
56.0,-3.0,Marrgasm,26,17,60.47,72.0
58.0,-4.0,AlyJ,11,3,78.57,71.0
58.0,-4.0,Hulka,16,10,61.54,71.0
60.0,51.0,Chummi,25,14,64.1,70.0
61.0,-4.0,ePG | Chevy,12,6,66.67,67.0
