Rank,SmashTag,Wins,Losses,Win%,BankRoll Bills
1.0,bobby big ballz,7,1,87.5,217.0
2.0,CLG. | SFAT,4,2,66.67,189.0
3.0,S2J,3,2,60.0,163.0
4.0,Ben,11,2,84.62,146.0
5.0,S.C.E. | Erik,15,6,71.43,125.0
6.0,KoDoRiN,9,6,60.0,114.0
7.0,Young,18,7,72.0,108.0
8.0,JCubez,8,3,72.73,93.0
9.0,AlyJ,11,3,78.57,71.0
10.0,ePG | Chevy,12,6,66.67,67.0
10.0,LAG,12,4,75.0,67.0
12.0,SANS | Blues Clues,11,5,68.75,66.0
13.0,CowCowCowCowCow,11,3,78.57,51.0
14.0,Vish,10,6,62.5,45.0
15.0,Hulka,7,4,63.64,42.0
16.0,USF | Quadae,10,9,52.63,40.0
17.0,RG | Far!,10,3,76.92,35.0
18.0,ANTIFA CEO | Quiggles,13,9,59.09,33.0
19.0,TBD,9,4,69.23,29.0
20.0,Ghost Rider,7,3,70.0,27.0
21.0,Elk G | Ivayne,15,6,71.43,25.0
22.0,Typhoon,13,7,65.0,23.0
22.0,FM | Cilan,13,10,56.52,23.0
24.0,Elysian,12,8,60.0,22.0
24.0,Pappi,12,7,63.16,22.0
24.0,yingling,12,8,60.0,22.0
27.0,8-bit | dansdaman,8,4,66.67,18.0
27.0,Phantom Airline,8,2,80.0,18.0
29.0,snacklepackle,12,10,54.55,17.0
29.0,Gaz,7,4,63.64,17.0
31.0,noChill,11,8,57.89,16.0
32.0,thesiscat,10,6,62.5,15.0
32.0,KaiKwonDo,10,7,58.82,15.0
34.0,cliché,8,6,57.14,13.0
35.0,STP,11,12,47.83,12.0
35.0,Zave,7,11,38.89,12.0
35.0,Phorox,7,5,58.33,12.0
35.0,RedX,7,6,53.85,12.0
39.0,YBBT | leroydankins,6,7,46.15,11.0
39.0,Arctic,6,6,50.0,11.0
39.0,ericiscool.net,6,4,60.0,11.0
42.0,Chewy,5,4,55.56,10.0
42.0,Rozu,5,14,26.32,10.0
44.0,John,8,9,47.06,9.0
45.0,hHerb,7,10,41.18,8.0
45.0,ManRay,3,2,60.0,8.0
45.0,Big Pivot,7,14,33.33,8.0
48.0,Hamburglar,6,10,37.5,7.0
48.0,Help,6,6,50.0,7.0
48.0,Penguis,6,8,42.86,7.0
48.0,Pipe,6,6,50.0,7.0
52.0,Pawn,5,9,35.71,6.0
52.0,Drewski,5,9,35.71,6.0
54.0,markrevival,4,8,33.33,5.0
54.0,Bobakanoosh,4,8,33.33,5.0
54.0,pointykitty,4,5,44.44,5.0
54.0,Talen,4,6,40.0,5.0
54.0,Thad <3,4,4,50.0,5.0
54.0,Eastwood,4,6,40.0,5.0
60.0,gbio,3,15,16.67,4.0
60.0,jtetter,3,12,20.0,4.0
60.0,Silkylaroux,3,7,30.0,4.0
60.0,SLO | GrizzlyBair,3,3,50.0,4.0
60.0,SRN | Soulrifle211,3,6,33.33,4.0
65.0,DD,2,3,40.0,3.0
65.0,radvillainy,2,6,25.0,3.0
65.0,ushi,2,4,33.33,3.0
65.0,Soltrain,2,2,50.0,3.0
65.0,Night,2,9,18.18,3.0
70.0,JCobbs,1,6,14.29,2.0
70.0,ButterRoyaleTV,1,14,6.67,2.0
70.0,HorseGirl420,1,13,7.14,2.0
70.0,Ahung,1,2,33.33,2.0
70.0,BEBO,1,24,4.0,2.0
75.0,Special K,0,9,0.0,1.0
75.0,Snoos,0,6,0.0,1.0
75.0,Kettering,0,11,0.0,1.0
