Rank,SmashTag,Wins,Losses,Win%,BankRoll Bills
1.0,Revenge | Gahtzu,6,0,100.0,216.0
2.0,Ginger,4,2,66.67,189.0
3.0,CLG. | SFAT,4,2,66.67,164.0
4.0,bobby big ballz,11,3,78.57,146.0
5.0,Android 0,11,2,84.62,116.0
6.0,S2J,2,2,50.0,107.0
7.0,SANS | Blues Clues,13,4,76.47,98.0
8.0,KoDoRiN,4,2,66.67,89.0
9.0,.Ðempt,18,11,62.07,73.0
9.0,Fizz,18,13,58.06,73.0
11.0,Twisty,10,4,71.43,65.0
12.0,The Leaf,8,2,80.0,63.0
13.0,Trock,15,9,62.5,50.0
13.0,306 | Amrak,15,7,68.18,50.0
15.0,DD,13,8,61.9,48.0
16.0,soccermom69,12,5,70.59,47.0
17.0,GLR | JAM,17,7,70.83,42.0
18.0,Question,17,10,62.96,37.0
18.0,S.C.E. | Erik,12,7,63.16,37.0
20.0,TBD,14,9,60.87,34.0
21.0,FM | Cilan,13,8,61.9,33.0
22.0,Light,12,6,66.67,32.0
23.0,Marrgasm,11,9,55.0,31.0
24.0,cliché,13,11,54.17,28.0
25.0,ANTIFA CEO | Quiggles,13,12,52.0,23.0
26.0,SonOfJ,8,8,50.0,18.0
26.0,CowCowCowCowCow,8,8,50.0,18.0
28.0,Musashi,6,4,60.0,16.0
28.0,Megaman,11,14,44.0,16.0
30.0,Pipe,9,10,47.37,14.0
31.0,Shy,7,4,63.64,12.0
32.0,Alex18+,9,11,45.0,10.0
33.0,Tourist,4,3,57.14,9.0
34.0,Uncle Pete,3,6,33.33,8.0
35.0,Thad <3,5,5,50.0,6.0
35.0,Rigo Bigo,5,11,31.25,6.0
35.0,Pawn,5,8,38.46,6.0
38.0,Strazz,4,5,44.44,5.0
39.0,kippu,3,5,37.5,4.0
39.0,GS | TreyTheTrashman,3,4,42.86,4.0
39.0,2Framez,3,4,42.86,4.0
39.0,JustJoshin,3,4,42.86,4.0
39.0,CVSmashMods | Ripn,3,3,50.0,4.0
39.0,Nico,3,8,27.27,4.0
45.0,KaiKwonDo,2,6,25.0,3.0
45.0,glum oinkin',2,4,33.33,3.0
45.0,Doctor Dank,2,13,13.33,3.0
45.0,K.H.D | Reign,2,15,11.76,3.0
49.0,pointykitty,1,19,5.0,2.0
49.0,TurboThot,1,3,25.0,2.0
49.0,Luppi,1,7,12.5,2.0
49.0,3OutChange,1,11,8.33,2.0
53.0,Abhi,0,15,0.0,1.0
53.0,Big Pivot,0,27,0.0,1.0
