Rank,Tag,Wins,Losses,Win%,Bankroll Bills
1.0,KoDoRiN,5,1,83.33,215.0
2.0,Ginger,6,2,75.0,191.0
3.0,CLG. | SFAT,3,2,60.0,163.0
4.0,bobby big ballz,8,4,66.67,138.0
5.0,TLOC | SFOP,15,5,75.0,125.0
6.0,K8A,16,7,69.57,121.0
7.0,Erik,13,4,76.47,103.0
8.0,Dawson,13,5,72.22,98.0
9.0,TG | Mot$,12,3,80.0,72.0
10.0,GUG | Kürv,9,3,75.0,64.0
11.0,Cowbell,11,8,57.89,61.0
12.0,IMP | Ben,1,2,33.33,56.0
13.0,OAK | Spacepigeon,17,10,62.96,52.0
14.0,Nard Dawg,11,6,64.71,46.0
15.0,oh,9,5,64.29,44.0
15.0,Chummi,9,4,69.23,44.0
17.0,SANS | Blues Clues,14,10,58.33,34.0
18.0,CowCowCowCowCow,13,11,54.17,33.0
18.0,yingling,13,9,59.09,33.0
18.0,ANTIFA CEO | Quiggles,13,12,52.0,33.0
21.0,Crispy | Chango,8,3,72.73,28.0
21.0,Young,8,3,72.73,28.0
23.0,Porkaye,6,4,60.0,26.0
24.0,Mango's Friend | Lucky,10,5,66.67,20.0
25.0,LFTG | Logos,9,2,81.82,19.0
26.0,Pipe,12,10,54.55,17.0
27.0,Sodabro,5,1,83.33,15.0
28.0,Crow,9,9,50.0,14.0
28.0,NGG | Jflex,9,6,60.0,14.0
28.0,Typhoon,9,7,56.25,14.0
31.0,LanTurN,8,8,50.0,13.0
31.0,Joey Donuts,8,7,53.33,13.0
31.0,bliutwo,8,7,53.33,13.0
34.0,Neck,6,5,54.55,11.0
35.0,Sparky,5,4,55.56,10.0
36.0,OtES,8,12,40.0,9.0
36.0,bobby big ballz,4,1,80.0,9.0
38.0,2five3 | Templar,3,1,75.0,8.0
38.0,Strazz,7,8,46.67,8.0
40.0,RedX,6,9,40.0,7.0
41.0,deluxe,5,11,31.25,6.0
41.0,MP3,5,8,38.46,6.0
41.0,STP,5,10,33.33,6.0
44.0,Galen The Wise,4,6,40.0,5.0
44.0,Melo,4,4,50.0,5.0
44.0,jtetter,4,12,25.0,5.0
44.0,JB,4,9,30.77,5.0
44.0,MikeDrop,4,10,28.57,5.0
49.0,91,3,10,23.08,4.0
50.0,markrevival,2,10,16.67,3.0
50.0,BEBO,2,11,15.38,3.0
50.0,ushi,2,4,33.33,3.0
50.0,PSai,2,3,40.0,3.0
54.0,ASH | Oig,1,6,14.29,2.0
54.0,mello,1,23,4.17,2.0
54.0,Oz,1,10,9.09,2.0
54.0,pinecone22,1,2,33.33,2.0
58.0,SlickSiwik,0,3,0.0,1.0
58.0,Maljo,0,4,0.0,1.0
58.0,Pawn,0,6,0.0,1.0
58.0,volt.,0,6,0.0,1.0
58.0,Big Pivot,0,12,0.0,1.0
58.0,K.H.D | Reign,0,3,0.0,1.0
58.0,pem$,0,1,0.0,1.0
