Rank,ChangeInRank,SmashTag,Wins,Losses,Win%,BankRoll Bills
1.0,-,Ginger,24,6,80.0,424.0
2.0,-,Revenge | Gahtzu,14,2,87.5,384.0
3.0,++ 2.0,bobby big ballz,28,11,71.79,383.0
4.0,++ 4.0,LSD,37,4,90.24,362.0
5.0,-- 2.0,CLG. | SFAT,16,6,72.73,361.0
6.0,-,KoDoRiN,15,7,68.18,340.0
7.0,++ 3.0,Fiction,18,6,75.0,293.0
8.0,-- 4.0,S2J,6,4,60.0,246.0
9.0,-- 2.0,SANS | Blues Clues,30,13,69.77,210.0
10.0,++ 10.0,306 | Amrak,38,16,70.37,188.0
11.0,++ 2.0,DD,31,18,63.27,136.0
12.0,++ 18.0,EP | Justus,27,16,62.79,132.0
13.0,++ 3.0,Twisty,15,8,65.22,120.0
14.0,-- 5.0,Android 0,11,2,84.62,116.0
15.0,-- 1.0,.Ðempt,29,22,56.86,114.0
16.0,New,,8,2,80.0,113.0
17.0,++ 12.0,ANTIFA CEO | Quiggles,37,37,50.0,103.0
18.0,-- 7.0,Dom,14,6,70.0,99.0
19.0,-- 7.0,cliché,25,18,58.14,95.0
20.0,New,JCubez,8,2,80.0,93.0
21.0,++ 11.0,FM | Cilan,23,14,62.16,78.0
22.0,-- 8.0,Fizz,18,13,58.06,73.0
23.0,++ 21.0,yingling,27,24,52.94,72.0
24.0,-- 8.0,GHQ | Zamu,10,5,66.67,65.0
25.0,New,SDJ,9,3,75.0,64.0
26.0,-- 8.0,The Leaf,8,2,80.0,63.0
26.0,-- 8.0,Golden,8,3,72.73,63.0
28.0,-- 7.0,Trock,15,9,62.5,50.0
29.0,-- 7.0,Chem,13,10,56.52,48.0
30.0,-- 7.0,Captain G,12,10,54.55,47.0
30.0,-- 7.0,soccermom69,12,5,70.59,47.0
32.0,-- 7.0,Marrgasm,18,12,60.0,43.0
32.0,++ 12.0,Megaman,18,19,48.65,43.0
34.0,-- 8.0,GLR | JAM,17,7,70.83,42.0
35.0,++ 6.0,CowCowCowCowCow,15,14,51.72,40.0
36.0,-- 9.0,Question,17,10,62.96,37.0
36.0,-- 9.0,S.C.E. | Erik,12,7,63.16,37.0
38.0,-- 8.0,TBD,14,9,60.87,34.0
39.0,-- 6.0,Light,12,6,66.67,32.0
40.0,New,Trail,10,7,58.82,30.0
41.0,-- 7.0,Hulka,9,6,60.0,29.0
42.0,-- 7.0,ABG | salami,8,5,61.54,28.0
42.0,-- 7.0,billybopeep,8,6,57.14,28.0
42.0,-- 7.0,306 | Polo,8,3,72.73,28.0
42.0,-- 7.0,MIOM | Toph,8,5,61.54,28.0
46.0,-- 7.0,Musashi,12,9,57.14,27.0
47.0,-- 7.0,Pipe,15,23,39.47,25.0
48.0,New,ight,8,13,38.1,19.0
49.0,New,Cowbell,13,10,56.52,18.0
49.0,-- 8.0,SonOfJ,8,8,50.0,18.0
51.0,-- 8.0,Hunybear,12,9,57.14,17.0
