Rank,RankChange,Tag,Wins,Losses,Win%,Bankroll Bills
1.0,-,CLG. | SFAT,45,13,77.59,1245.0
2.0,-,bobby big ballz,62,22,73.81,1217.0
3.0,-,S2J,31,7,81.58,856.0
4.0,-,KoDoRiN,41,19,68.33,761.0
5.0,-,PEP | LSD,56,12,82.35,726.0
6.0,-,Ginger,27,8,77.14,587.0
7.0,1.0,IMP | Ben,31,9,77.5,571.0
8.0,-1.0,Revenge | Gahtzu,16,4,80.0,491.0
9.0,-,SANS | Blues Clues,76,32,70.37,481.0
10.0,-,Erik,85,39,68.55,445.0
11.0,-,JCubez,52,22,70.27,332.0
12.0,1.0,GUG | Kürv,50,21,70.42,330.0
13.0,-1.0,Fiction,18,6,75.0,293.0
14.0,16.0,Mango's Friend | Lucky,18,13,58.06,258.0
15.0,-1.0,DD,62,35,63.92,233.0
16.0,-1.0,ANTIFA CEO | Quiggles,99,81,55.0,230.0
17.0,-1.0,Bones,28,7,80.0,198.0
18.0,-1.0,306 | Amrak,38,16,70.37,188.0
19.0,-1.0,cliché,69,47,59.48,174.0
20.0,-1.0,YC | Pappi,32,12,72.73,167.0
21.0,27.0,NGG | Jflex,26,7,78.79,166.0
22.0,-2.0,NOOT,33,14,70.21,163.0
23.0,-2.0,Golden,17,6,73.91,157.0
23.0,-2.0,RG | Far!,22,5,81.48,157.0
25.0,-2.0,Null,19,5,79.17,149.0
26.0,-,EP | Justus,33,17,66.0,148.0
27.0,10.0,GLR | JAM,51,25,67.11,141.0
28.0,-4.0,LAG,47,26,64.38,137.0
29.0,-4.0,Fizz,26,16,61.9,136.0
30.0,3.0,CowCowCowCowCow,44,29,60.27,134.0
31.0,New,SFOP,17,4,80.95,127.0
32.0,-5.0,Twisty,15,8,65.22,120.0
33.0,-5.0,Android 0,11,2,84.62,116.0
34.0,-5.0,.Ðempt,29,22,56.86,114.0
35.0,-5.0,Young,18,7,72.0,108.0
35.0,New,DontTestMe,3,2,60.0,108.0
35.0,-5.0,Pipe,57,56,50.44,108.0
38.0,New,GOL | JSalt,13,2,86.67,103.0
39.0,-5.0,LFG | Eddy Mexico,12,3,80.0,102.0
40.0,-5.0,FM | Cilan,36,24,60.0,101.0
41.0,-5.0,Dom,14,6,70.0,99.0
42.0,8.0,Typhoon,30,17,63.83,95.0
43.0,-6.0,yingling,39,32,54.93,94.0
44.0,-5.0,Neologism,26,11,70.27,86.0
45.0,-5.0,TBD,33,16,67.35,83.0
45.0,-5.0,Westballz,18,3,85.71,83.0
47.0,11.0,Megaman,41,35,53.95,81.0
48.0,-6.0,Ghost Rider,23,11,67.65,78.0
48.0,New,LFG | PanterA,18,7,72.0,78.0
50.0,-7.0,ight,45,45,50.0,76.0
51.0,-7.0,Spiral Cafe | Krudo,14,3,82.35,74.0
51.0,New,Lotfy,14,6,70.0,74.0
53.0,-8.0,Marrgasm,26,17,60.47,72.0
54.0,-9.0,Hulka,16,10,61.54,71.0
54.0,3.0,Cowbell,41,27,60.29,71.0
54.0,-9.0,AlyJ,11,3,78.57,71.0
57.0,-8.0,ePG | Chevy,12,6,66.67,67.0
58.0,-8.0,404 YC | Salt,11,4,73.33,66.0
59.0,-7.0,GHQ | Zamu,10,5,66.67,65.0
60.0,-7.0,SDJ,9,3,75.0,64.0
61.0,-7.0,The Leaf,8,2,80.0,63.0
61.0,-7.0,Bonn Esports | Question,33,21,61.11,63.0
63.0,-7.0,snacklepackle,34,36,48.57,60.0
