Rank,ChangeInRank,SmashTag,Wins,Losses,Win%,BankRoll Bills
1.0,-,Ginger,27,8,77.14,587.0
2.0,++ 2.0,LSD,42,6,87.5,552.0
3.0,-,bobby big ballz,34,13,72.34,524.0
4.0,-- 2.0,Revenge | Gahtzu,16,4,80.0,491.0
5.0,++ 3.0,S2J,23,5,82.14,478.0
6.0,-- 1.0,CLG. | SFAT,18,8,69.23,448.0
7.0,-- 1.0,KoDoRiN,19,9,67.86,394.0
8.0,-- 1.0,Fiction,18,6,75.0,293.0
9.0,-,SANS | Blues Clues,30,13,69.77,210.0
10.0,-,306 | Amrak,38,16,70.37,188.0
11.0,-,DD,41,22,65.08,156.0
12.0,++ 4.0,,19,5,79.17,149.0
13.0,++ 7.0,JCubez,17,5,77.27,137.0
14.0,++ 8.0,Fizz,26,16,61.9,136.0
15.0,-- 3.0,EP | Justus,27,16,62.79,132.0
16.0,++ 1.0,ANTIFA CEO | Quiggles,52,49,51.49,128.0
17.0,-- 4.0,Twisty,15,8,65.22,120.0
18.0,++ 1.0,cliché,38,28,57.58,118.0
19.0,-- 5.0,Android 0,11,2,84.62,116.0
20.0,++ 49.0,NOOT,20,8,71.43,115.0
21.0,-- 6.0,.Ðempt,29,22,56.86,114.0
22.0,New,Mango's Friend | Lucky,3,2,60.0,108.0
23.0,-- 5.0,Dom,14,6,70.0,99.0
24.0,New,Westballz,18,3,85.71,83.0
25.0,-- 4.0,FM | Cilan,23,14,62.16,78.0
26.0,New,Spiral Cafe | Krudo,14,3,82.35,74.0
27.0,-- 4.0,yingling,27,24,52.94,72.0
28.0,++ 8.0,S.C.E. | Erik,26,15,63.41,66.0
29.0,-- 5.0,GHQ | Zamu,10,5,66.67,65.0
30.0,-- 5.0,SDJ,9,3,75.0,64.0
31.0,++ 5.0,Bonn Esports | Question,33,21,61.11,63.0
31.0,-- 5.0,Golden,8,3,72.73,63.0
31.0,-- 5.0,The Leaf,8,2,80.0,63.0
31.0,++ 3.0,GLR | JAM,28,14,66.67,63.0
35.0,++ 5.0,Trail,21,11,65.62,56.0
36.0,++ 33.0,TG NBR | Panos,15,10,60.0,55.0
37.0,++ 25.0,GST | Ryobeat,14,4,77.78,54.0
37.0,++ 1.0,TBD,24,12,66.67,54.0
39.0,New,Ghost Rider,16,8,66.67,51.0
40.0,-- 12.0,Trock,15,9,62.5,50.0
41.0,-- 12.0,Chem,13,10,56.52,48.0
42.0,-- 12.0,Captain G,12,10,54.55,47.0
42.0,++ 5.0,Pipe,27,31,46.55,47.0
42.0,-- 12.0,soccermom69,12,5,70.59,47.0
45.0,-- 13.0,Marrgasm,18,12,60.0,43.0
45.0,-- 13.0,Megaman,18,19,48.65,43.0
47.0,++ 5.0,DarkGenex,26,18,59.09,41.0
48.0,-- 13.0,CowCowCowCowCow,15,14,51.72,40.0
49.0,New,GUG | Kürv,14,7,66.67,39.0
49.0,-,Cowbell,24,17,58.54,39.0
51.0,New,Neologism,12,5,70.59,37.0
51.0,-- 3.0,ight,21,26,44.68,37.0
53.0,New,Panda,9,2,81.82,34.0
54.0,-- 15.0,Light,12,6,66.67,32.0
55.0,New,GEM | CrossFitJesus,11,5,68.75,31.0
56.0,-- 15.0,Hulka,9,6,60.0,29.0
56.0,New,Crispy | Chango,9,3,75.0,29.0
58.0,-- 16.0,MIOM | Toph,8,5,61.54,28.0
58.0,-- 16.0,306 | Polo,8,3,72.73,28.0
58.0,-- 16.0,ABG | salami,8,5,61.54,28.0
58.0,-- 16.0,billybopeep,8,6,57.14,28.0
62.0,New,Pappi,7,2,77.78,27.0
62.0,-- 16.0,Musashi,12,9,57.14,27.0
64.0,New,CG | Firebolt,16,13,55.17,26.0
64.0,New,Bones,6,2,75.0,26.0
66.0,-- 1.0,LanTurN,16,21,43.24,22.0
67.0,New,ycz6,11,4,73.33,21.0
67.0,New,darkwizard123,11,7,61.11,21.0
67.0,-- 15.0,Thad <3,14,13,51.85,21.0
70.0,New,ROFL,14,11,56.0,19.0
71.0,-- 22.0,SonOfJ,8,8,50.0,18.0
