Rank,SmashTag,Wins,Losses,Win%,BankRoll Bills
1.0,LSD,23,0,100.0,238.0
2.0,Fiction,4,2,66.67,189.0
3.0,bobby big ballz,4,2,66.67,164.0
4.0,KoDoRiN,3,2,60.0,138.0
5.0,306 | Amrak,17,5,77.27,127.0
6.0,,8,2,80.0,113.0
7.0,EP | Justus,13,7,65.0,98.0
8.0,JCubez,8,2,80.0,93.0
9.0,ANTIFA CEO | Quiggles,13,10,56.52,68.0
10.0,SDJ,9,3,75.0,64.0
11.0,SANS | Blues Clues,2,2,50.0,57.0
12.0,yingling,16,9,64.0,56.0
13.0,Twisty,5,4,55.56,55.0
14.0,DD,11,6,64.71,46.0
15.0,FM | Cilan,10,6,62.5,45.0
16.0,.Ðempt,11,11,50.0,41.0
17.0,Trail,10,7,58.82,30.0
18.0,Megaman,7,5,58.33,27.0
19.0,CowCowCowCowCow,7,6,53.85,22.0
20.0,ight,8,13,38.1,19.0
21.0,Cowbell,13,10,56.52,18.0
22.0,ericiscool.net,1,6,14.29,12.0
23.0,Kaptinkillem,6,4,60.0,11.0
24.0,LanTurN,9,14,39.13,10.0
24.0,John,5,1,83.33,10.0
26.0,JustJoshin,8,9,47.06,9.0
27.0,moscow mich,7,10,41.18,8.0
27.0,TurboThot,7,8,46.67,8.0
29.0,eh | sickø,5,6,45.45,6.0
30.0,Theftz,3,7,30.0,4.0
30.0,YBBT | leroydankins,3,5,37.5,4.0
30.0,WOMB#619 | Wombat,3,7,30.0,4.0
30.0,Jakespeare,3,17,15.0,4.0
34.0,ZUTH | Zuthane,2,2,50.0,3.0
34.0,Pawn,2,11,15.38,3.0
34.0,RB | V$,2,5,28.57,3.0
34.0,kippu,2,4,33.33,3.0
38.0,markrevival,1,7,12.5,2.0
38.0,bensw,1,5,16.67,2.0
38.0,LUNK#783 | dom,1,1,50.0,2.0
38.0,DCG | Spots,1,8,11.11,2.0
38.0,Blue Jay,1,2,33.33,2.0
38.0,Strazz,1,6,14.29,2.0
44.0,Big Pivot,0,13,0.0,1.0
44.0,Tomz,0,1,0.0,1.0
44.0,LoneCubone,0,3,0.0,1.0
