Rank,Tag,Wins,Losses,Win%,Bankroll Bills
1,S2J,5,0,100,215
2,lluZ | PEP | LSD,15,2,88.24,205
3,bobby big ballz,11,3,78.57,171
4,Ginger,3,2,60,138
5,Medz,13,2,86.67,123
6,Soonsay,4,2,66.67,109
7,Revenge | Gahtzu,11,2,84.62,101
8,Egg$,12,4,75,97
9,Quaff,15,5,75,75
10,Vish,10,4,71.43,65
11,IMP | Ben,3,2,60,58
12,KoDoRiN,5,5,50,55
13,CW | Skittles,12,3,80,52
14,Joey Donuts,14,6,70,49
15,R3 | $limChang,11,4,73.33,46
15,GUG | Kürv,11,4,73.33,46
17,Zhyrri,13,5,72.22,38
17,akir,13,5,72.22,38
17,K8A,13,6,68.42,38
20,htwa,12,4,75,37
21,NGG | Jflex,12,6,66.67,32
22,Arcadia,11,5,68.75,31
23,SFOP,8,3,72.73,28
24,Dash,15,10,60,25
25,Dream,14,9,60.87,24
26,Willy P,13,10,56.52,23
26,jeff | raid shadow legends,13,7,65,23
26,sad | UwUMysticalGirl,13,9,59.09,23
29,yingling,11,6,64.71,21
29,Flow | ESPONJA,11,5,68.75,21
29,SANS | Blues Clues,6,5,54.55,21
29,LAG,11,7,61.11,21
33,Vino,10,5,66.67,20
33,Trail,10,2,83.33,20
33,Winx Club | Siddward,10,5,66.67,20
36,TBD,8,5,61.54,18
36,Neck,13,11,54.17,18
38,Higgins,11,9,55,16
39,Miranda,10,11,47.62,15
40,Krizski,8,6,57.14,13
40,UL | Dirty Lasagna,8,7,53.33,13
40,Cowbell,8,6,57.14,13
40,Phantom Airline,8,6,57.14,13
40,Logan,8,7,53.33,13
45,Saatvik,7,5,58.33,12
45,Pulch,7,8,46.67,12
45,:) | Koints,7,10,41.18,12
45,119 | Fabio,7,5,58.33,12
45,Heatedchaos,7,7,50,12
45,Nard Dawg,7,5,58.33,12
45,Pipe,7,5,58.33,12
52,KL | Kid,6,5,54.55,11
52,NS | Frog,6,4,60,11
52,Yamasaki,6,6,50,11
52,Aura,6,2,75,11
52,24 | Mamba!,10,11,47.62,11
52,Jzhu,10,11,47.62,11
52,GUILD | ghettowarmachine420,6,5,54.55,11
52,Help,6,8,42.86,11
60,CowCowCowCowCow,5,4,55.56,10
60,AR0,5,2,71.43,10
60,Syched,5,1,83.33,10
60,codetoilet,9,10,47.37,10
60,Elders React | Third Strongest,5,5,50,10
60,Flow | Stark,5,6,45.45,10
60,GG | DontRestMe,0,2,0,10
60,NeedLesFestival,5,4,55.56,10
68,jeddo,4,3,57.14,9
68,Dusk,4,2,66.67,9
68,jtetter,4,5,44.44,9
68,K.H.D | Reign,4,3,57.14,9
68,SmashBob SquarePants,4,2,66.67,9
68,Captain G,4,4,50,9
68,ight,8,11,42.11,9
68,YC | Pappi,4,0,100,9
68,winismine,4,3,57.14,9
77,QoT | Cruelscotty,7,10,41.18,8
77,ash6,3,2,60,8
77,Joemama,3,2,60,8
77,Good1ife,3,4,42.86,8
77,Shredder,3,3,50,8
77,Dog,7,8,46.67,8
77,Egsid,3,2,60,8
84,donk,6,11,35.29,7
84,Ratt,2,0,100,7
84,Kombeze Ataie,6,11,35.29,7
84,QTT | Marco,6,7,46.15,7
84,BuenasRetas | Cobs,6,11,35.29,7
84,Reaver_King,6,11,35.29,7
84,ItsDad,6,8,42.86,7
84,thesiscat,6,8,42.86,7
92,JustJoshin,5,8,38.46,6
92,Peña,5,6,45.45,6
92,Axis,5,11,31.25,6
92,RU | Midnight Blue,5,8,38.46,6
92,TheRed,5,9,35.71,6
92,MordecaiPielord,5,5,50,6
92,RedX,5,5,50,6
92,DD,5,6,45.45,6
100,Dog,4,7,36.36,5
100,SlickSiwik,4,6,40,5
100,jatpuan,4,6,40,5
100,Aidanafoo,4,8,33.33,5
100,Sor,4,3,57.14,5
100,119 | pyro,4,7,36.36,5
106,620 | Megacaat,3,16,15.79,4
106,roadkill,3,3,50,4
106,D3WDify,3,4,42.86,4
106,YBBT | leroydankins,3,12,20,4
106,Kanye Rest,3,4,42.86,4
106,CSTR#106 | Strazz,3,8,27.27,4
106,Mucho Man Randy Passion,3,6,33.33,4
106,Zura,3,4,42.86,4
106,Top Shelf | Dulbasaur,3,2,60,4
106,Fraud,3,6,33.33,4
106,IS | Bisfo,3,4,42.86,4
117,LewdCelebs4Free,2,1,66.67,3
117,DirtyDan | Sigh,2,5,28.57,3
117,Liquid,2,2,50,3
117,20PcMcnugget,2,14,12.5,3
117,BKB! | stocmoney,2,2,50,3
117,Ponchy | Corkey,2,5,28.57,3
117,Elk_G | Karm,2,2,50,3
117,Profanity,2,2,50,3
117,Floods,2,8,20,3
117,Lechero,2,4,33.33,3
117,RadicalLiberal | Quiggles,2,2,50,3
117,Velos,2,6,25,3
117,BOG | bioPhile,2,6,25,3
117,LilTayNastyTay,2,1,66.67,3
117,Wiza,2,6,25,3
117,RCS | Chi,2,2,50,3
117,Big Pivot,2,10,16.67,3
117,Wumbo,2,6,25,3
135,Spi,1,2,33.33,2
135,Nudepenguin,1,12,7.69,2
135,LoneCubone,1,2,33.33,2
135,ImYourDade,1,3,25,2
135,SUPERUNKNOWN,1,3,25,2
135,barcode,1,2,33.33,2
135,Albuh,1,7,12.5,2
135,Edicus,1,11,8.33,2
135,Anime Tiddies | Asuka,1,7,12.5,2
135,Dhir,1,2,33.33,2
135,ushi,1,2,33.33,2
135,Gerbungis,1,5,16.67,2
135,Jeffthecheff,1,0,100,2
135,YungFlexxer,1,2,33.33,2
135,BEBO,1,5,16.67,2
150,Nanami,0,1,0,1
150,Special K,0,8,0,1
150,pongo,0,12,0,1
150,xavier,0,1,0,1
150,Tancascade,0,3,0,1
150,Flowers,0,2,0,1
150,afx,0,7,0,1
150,Fathom,0,2,0,1
150,Yosemite Dabbs,0,1,0,1
150,Kettering,0,7,0,1
150,eee,0,2,0,1
150,MK | RedSoul,0,8,0,1
