SmasherID,SmashTag,RWeek1,ChangeInRank
1077,Revenge | Gahtzu,2.0,New
3665,Younger,17.0,New
3734,Hulka,29.0,New
3772,Arcadia,20.0,New
4176,NathanSandwich,33.0,New
4205,a-on,59.0,New
4390,CG | Jflex,6.0,New
5630,BKB! | stocmoney,59.0,New
5724,Wassabi,78.0,New
5869,Joey Bats,41.0,New
7277,Crescent | JSalt,11.0,New
10485,DD,7.0,New
10529,The Leaf,8.0,New
10971,Brainless  | FLiiNcHy,18.0,New
11458,Tuesday,24.0,New
12023,El Link,41.0,New
12048,K8A,26.0,New
12137,yingling,45.0,New
12365,PW | Vincessant,47.0,New
18652,LFTG | Logos,19.0,New
21405,Fire,98.0,New
22088,Nebulous | Jib,47.0,New
22458,Kandayo,67.0,New
22595,Aura,47.0,New
23501,Ratt,98.0,New
23995,Forrest,54.0,New
25351,Hell'sLabyrinth,98.0,New
25810,Melee Stats | Pikachu942,87.0,New
25916,redpandamaster,24.0,New
26387,Phantom Airline,67.0,New
26750,KoDoRiN,1.0,New
26920,Trash,98.0,New
29840,TBD,21.0,New
30804,Frap,33.0,New
31487,Winx Club | Siddward,36.0,New
32691,Blitzkrieg,87.0,New
34694,flthd | flatline,87.0,New
34902,Tanooki,47.0,New
37116,GUG | Kürv,54.0,New
38643,RedX,59.0,New
40793,MGFC | JorDank,67.0,New
41055,jacket,13.0,New
47650,shoelegend88,87.0,New
50937,Wumbo,87.0,New
51076,Power Kevin,98.0,New
51373,prof,10.0,New
60696,FM | Cilan,78.0,New
61570,YC | Peppi | | Pappi,5.0,New
64692,SANS | Blues Clues,9.0,New
103305,Dr. Lame,41.0,New
129363,Flow | ESPONJA,36.0,New
132938,RU | Midnight Blue,36.0,New
151360,Inky,12.0,New
158213,LG | Louis,26.0,New
159198,Pi2z,59.0,New
183677,Yamasaki,67.0,New
211440,Darrell,78.0,New
213297,Chompy,47.0,New
224897,AWaveDash,98.0,New
226595,TourGuide,67.0,New
232193,Chiefn_,41.0,New
232446,ash6,87.0,New
233059,Ribboned Ace,67.0,New
245346,SIMP | Vagab0nd,98.0,New
267849,TG | Mot$,4.0,New
268767,markrevival,98.0,New
269238,91,67.0,New
279107,Khryke,14.0,New
327350,lochist,29.0,New
328736,SadSack,53.0,New
466221,Melo,36.0,New
472971,yBaS | MaxJacks,98.0,New
512704,Axis,59.0,New
519985,Marvelboy,59.0,New
542693,Bbatts,23.0,New
581039,I'm Michael BTW,16.0,New
657175,Bobakanoosh,67.0,New
657711,PurpleZ,98.0,New
694497,IMP | Ben,3.0,New
709843,Chem,45.0,New
725014,charmell0,78.0,New
725016,Dolfo,98.0,New
834231,Jun,36.0,New
836691,BeanBurrito-San,59.0,New
875354,Penguin,98.0,New
928066,Kelpo,67.0,New
945542,KOA | youngbool,98.0,New
1077796,FreeHops,67.0,New
1149773,ali_,87.0,New
1194651,gsm | Pound,87.0,New
1248621,Anzeray,98.0,New
1278457,Rocket,15.0,New
1375808,Epoodle,57.0,New
1432189,nunoodle,98.0,New
1451042,Deeb,67.0,New
1598204,YoungHanSolo,78.0,New
1640788,Special K,98.0,New
1723399,jeddo,29.0,New
1871538,Not_DuduTsai,22.0,New
1940854,JoffDuchar,78.0,New
1944467,SUPERUNKNOWN,87.0,New
1957918,Cow,32.0,New
1966716,LewdCelebs4Free,57.0,New
1974127,aujory,87.0,New
1974143,Jeem,98.0,New
2029721,Ghost Rider,47.0,New
2041350,2rk | Turok,78.0,New
2084281,Keykey,78.0,New
2093540,RitzyCheese,78.0,New
2140092,Jet,87.0,New
2146437,HaxMoneyHulkHogan,98.0,New
2160161,GAS,54.0,New
2170469,Golf,59.0,New
2179108,Mud,26.0,New
2192126,NattyIce,98.0,New
2242538,Erica,33.0,New
