SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RWeek4,RWeek5,RWeek6,RWeek7,RWeek8,RWeek9,RWeek10,ChangeInRank
1004,Liquid | Hungrybox,NAN,NAN,47.0,8.0,10.0,13.0,15.0,16.0,17.0,18.0,-1.0
1013,WKDA | Shroomed,NAN,NAN,NAN,NAN,NAN,NAN,40.0,44.0,48.0,56.0,-8.0
1017,S2J,NAN,NAN,NAN,NAN,11.0,5.0,4.0,3.0,3.0,3.0,0.0
1023,Nintendude,NAN,22,30.0,39.0,49.0,59.0,70.0,81.0,89.0,98.0,-9.0
1077,Revenge | Gahtzu,2,3,5.0,6.0,6.0,8.0,12.0,13.0,14.0,8.0,6.0
1601,FendrickLamar,NAN,NAN,NAN,NAN,NAN,NAN,132.0,145.0,152.0,162.0,-10.0
2088,ycz6,NAN,19,24.0,35.0,22.0,27.0,30.0,31.0,37.0,41.0,-4.0
3299,Vish,NAN,NAN,66.0,91.0,116.0,138.0,153.0,168.0,184.0,70.0,114.0
3499,Boy,NAN,NAN,NAN,NAN,NAN,216.0,237.0,260.0,279.0,296.0,-17.0
3561,LG | Ginger,NAN,NAN,NAN,NAN,NAN,16.0,19.0,21.0,22.0,22.0,0.0
3602,JLo,NAN,115,174.0,244.0,281.0,315.0,353.0,384.0,410.0,432.0,-22.0
3665,Younger,17,8,8.0,7.0,7.0,7.0,9.0,10.0,11.0,12.0,-1.0
3734,Hulka,29,57,82.0,123.0,149.0,171.0,188.0,203.0,222.0,237.0,-15.0
3772,Arcadia,20,34,59.0,77.0,68.0,40.0,47.0,39.0,43.0,48.0,-5.0
3899,rom,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,33.0,NAN
3936,GUILD | ghettowarmachine420,NAN,NAN,NAN,NAN,NAN,NAN,NAN,241.0,177.0,193.0,-16.0
3954,YungWaff,NAN,NAN,51.0,65.0,89.0,108.0,118.0,129.0,103.0,112.0,-9.0
3977,Sicca,NAN,NAN,NAN,NAN,122.0,145.0,161.0,176.0,193.0,41.0,152.0
4107,GG | n0ne,NAN,5,3.0,4.0,5.0,6.0,6.0,7.0,10.0,11.0,-1.0
4127,MIOM | Toph,NAN,NAN,NAN,NAN,NAN,NAN,220.0,241.0,125.0,131.0,-6.0
4176,NathanSandwich,33,30,42.0,55.0,74.0,67.0,48.0,53.0,56.0,69.0,-13.0
4205,a-on,59,46,62.0,63.0,59.0,48.0,45.0,50.0,54.0,59.0,-5.0
4215,rocky,NAN,NAN,6.0,9.0,15.0,19.0,21.0,23.0,13.0,15.0,-2.0
4317,Solomon,NAN,NAN,NAN,68.0,78.0,88.0,96.0,109.0,118.0,124.0,-6.0
4390,CG | Jflex,6,4,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,0.0
4614,Notorious,NAN,NAN,NAN,150.0,84.0,100.0,50.0,48.0,52.0,61.0,-9.0
4845,GG | SnooSnoo,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,311.0,NAN
4864,Theftz,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,188.0,NAN
4996,MR. SCAM,NAN,NAN,NAN,NAN,334.0,367.0,413.0,443.0,469.0,490.0,-21.0
5126,Rabbit,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,237.0,NAN
5618,CRACKSHACK | CBD Quiggles,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,202.0,216.0,-14.0
5630,BKB! | stocmoney,59,99,119.0,169.0,178.0,201.0,220.0,241.0,255.0,273.0,-18.0
5724,Wassabi,78,131,194.0,72.0,96.0,56.0,67.0,77.0,82.0,92.0,-10.0
5869,Joe(y) Bats,41,35,40.0,42.0,44.0,45.0,46.0,52.0,49.0,48.0,1.0
6176,Mova,NAN,131,82.0,123.0,149.0,171.0,188.0,203.0,222.0,237.0,-15.0
7068,mikey,NAN,89,135.0,187.0,212.0,127.0,142.0,158.0,167.0,183.0,-16.0
7149,Trail,NAN,57,82.0,123.0,149.0,108.0,118.0,129.0,138.0,150.0,-12.0
7194,Gingerham,NAN,NAN,NAN,NAN,NAN,NAN,328.0,316.0,338.0,357.0,-19.0
7199,TGL | Shamunt,NAN,NAN,NAN,155.0,92.0,112.0,102.0,114.0,86.0,96.0,-10.0
7277,Crescent | JSalt,11,20,25.0,36.0,43.0,55.0,63.0,73.0,78.0,90.0,-12.0
7495,Townes,NAN,NAN,NAN,NAN,NAN,NAN,208.0,227.0,130.0,138.0,-8.0
7634,MT,NAN,NAN,13.0,20.0,26.0,32.0,37.0,39.0,43.0,48.0,-5.0
7654,Schnurb,NAN,NAN,109.0,155.0,178.0,201.0,220.0,241.0,177.0,193.0,-16.0
7676,MrDrBoi,NAN,NAN,NAN,NAN,NAN,NAN,328.0,358.0,378.0,332.0,46.0
7693,Kanye Rest,NAN,NAN,NAN,NAN,NAN,NAN,264.0,203.0,222.0,237.0,-15.0
7764,sfy | Fizz,NAN,NAN,NAN,NAN,NAN,367.0,413.0,443.0,469.0,490.0,-21.0
7977,BokchoyBoy,NAN,NAN,NAN,155.0,178.0,201.0,220.0,241.0,262.0,278.0,-16.0
9884,HS | Den,NAN,NAN,NAN,NAN,NAN,NAN,NAN,61.0,67.0,78.0,-11.0
10067,icecream,NAN,NAN,NAN,267.0,259.0,293.0,328.0,297.0,316.0,332.0,-16.0
10228,Flow | Stark,NAN,131,90.0,82.0,72.0,64.0,65.0,76.0,81.0,88.0,-7.0
10362,Elk G | Ivayne,NAN,NAN,109.0,77.0,101.0,112.0,122.0,135.0,143.0,155.0,-12.0
10468,Reesch,NAN,NAN,NAN,NAN,106.0,124.0,139.0,155.0,165.0,138.0,27.0
10485,DD,7,10,12.0,13.0,21.0,26.0,29.0,30.0,30.0,34.0,-4.0
10520,G,NAN,NAN,90.0,135.0,162.0,185.0,144.0,160.0,171.0,188.0,-17.0
10529,The Leaf,8,13,21.0,29.0,34.0,38.0,44.0,49.0,53.0,62.0,-9.0
10562,SFOP,NAN,NAN,216.0,294.0,334.0,367.0,413.0,443.0,469.0,490.0,-21.0
10971,Brainless  | FLiiNcHy,18,33,53.0,68.0,92.0,112.0,122.0,135.0,143.0,155.0,-12.0
11458,Tuesday,24,46,73.0,109.0,134.0,156.0,175.0,191.0,211.0,226.0,-15.0
11490,Dash,NAN,147,216.0,294.0,334.0,367.0,413.0,443.0,469.0,490.0,-21.0
11590,Rickeye_rick,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,378.0,398.0,-20.0
11603,Arctic,NAN,NAN,128.0,82.0,106.0,124.0,139.0,155.0,165.0,179.0,-14.0
11606,Elk_G | Karm,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,316.0,332.0,-16.0
11945,RULES | Strazz,NAN,99,128.0,80.0,91.0,110.0,118.0,129.0,138.0,150.0,-12.0
12023,El Link,41,37,55.0,72.0,96.0,115.0,126.0,140.0,121.0,127.0,-6.0
12048,K8A,26,53,26.0,14.0,16.0,20.0,15.0,11.0,9.0,10.0,-1.0
12137,yingling,45,74,119.0,91.0,116.0,100.0,111.0,122.0,130.0,138.0,-8.0
12365,PW | Vincessant,47,82,128.0,91.0,116.0,138.0,153.0,168.0,184.0,199.0,-15.0
12817,WU | nerodero,NAN,NAN,NAN,155.0,178.0,201.0,220.0,241.0,262.0,278.0,-16.0
13639,21! | Ronan,NAN,131,194.0,267.0,305.0,340.0,385.0,414.0,442.0,461.0,-19.0
13746,Baja,NAN,NAN,174.0,244.0,281.0,315.0,353.0,384.0,410.0,432.0,-22.0
13765,Help,NAN,65,73.0,109.0,134.0,156.0,175.0,191.0,152.0,162.0,-10.0
14305,Nard Dawg,NAN,74,101.0,84.0,108.0,106.0,116.0,127.0,136.0,148.0,-12.0
14514,Howdy,NAN,NAN,NAN,323.0,369.0,406.0,458.0,490.0,523.0,546.0,-23.0
14592,ZOOK | Suezo,NAN,29,41.0,54.0,52.0,29.0,34.0,35.0,33.0,37.0,-4.0
14734,SUEZO | Zook,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,211.0,226.0,-15.0
15298,Cowbell,NAN,63,90.0,135.0,162.0,185.0,201.0,218.0,152.0,168.0,-16.0
15447,Jkiller,NAN,NAN,66.0,91.0,116.0,138.0,153.0,168.0,184.0,199.0,-15.0
15504,Umarth,NAN,NAN,NAN,18.0,24.0,30.0,35.0,36.0,26.0,27.0,-1.0
15586,The_Hat123 | Anjo,NAN,NAN,46.0,40.0,51.0,39.0,31.0,33.0,39.0,45.0,-6.0
15856,Dolla bill Bill,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,296.0,NAN
15927,jedi093,NAN,NAN,NAN,244.0,281.0,315.0,353.0,384.0,410.0,432.0,-22.0
15989,DarkHero,NAN,NAN,NAN,19.0,25.0,31.0,11.0,8.0,7.0,9.0,-2.0
16023,soccermom69,NAN,NAN,NAN,57.0,35.0,43.0,52.0,57.0,60.0,73.0,-13.0
16182,Obsidian,NAN,NAN,NAN,NAN,NAN,NAN,353.0,297.0,316.0,332.0,-16.0
16393,Higgins,NAN,NAN,NAN,103.0,128.0,152.0,169.0,184.0,202.0,216.0,-14.0
16468,CV Aceflight,NAN,NAN,109.0,155.0,178.0,115.0,98.0,112.0,120.0,126.0,-6.0
16478,Anjel,NAN,NAN,145.0,198.0,225.0,254.0,283.0,316.0,338.0,357.0,-19.0
18652,LFTG | Logos,19,23,31.0,41.0,53.0,46.0,54.0,60.0,65.0,76.0,-11.0
18722,K.H.D | REIGN,NAN,NAN,NAN,198.0,225.0,254.0,283.0,236.0,222.0,226.0,-4.0
19346,mexico629,NAN,NAN,109.0,123.0,149.0,171.0,188.0,203.0,222.0,237.0,-15.0
19979,Sammy,NAN,NAN,NAN,NAN,NAN,406.0,458.0,490.0,523.0,546.0,-23.0
20991,0kay,NAN,NAN,NAN,NAN,NAN,NAN,NAN,260.0,177.0,138.0,39.0
21081,Opportunity,NAN,NAN,194.0,267.0,305.0,340.0,283.0,316.0,338.0,357.0,-19.0
21405,Fire,98,167,244.0,244.0,281.0,315.0,353.0,218.0,240.0,256.0,-16.0
22088,Nebulous | Jib,47,82,72.0,103.0,128.0,152.0,169.0,184.0,202.0,216.0,-14.0
22140,NeMo,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,311.0,NAN
22333,Redcoat,NAN,70,49.0,46.0,55.0,64.0,75.0,47.0,35.0,39.0,-4.0
22458,Kandayo,67,115,174.0,198.0,204.0,201.0,169.0,184.0,171.0,179.0,-8.0
22479,Rei,NAN,NAN,NAN,NAN,62.0,73.0,82.0,91.0,96.0,105.0,-9.0
22595,Aura,47,74,73.0,109.0,134.0,85.0,86.0,96.0,104.0,113.0,-9.0
23207,veil,NAN,NAN,NAN,NAN,281.0,133.0,149.0,135.0,143.0,155.0,-12.0
