SmasherID,SmashTag,Coast,Wins,Losses,LimitLadderWins,Prospect,Rookie,Pro,AllStar,HallOfFame,Floated,Points,Rank
1004,Liquid | Hungrybox,EC,5,4,0,0,0,0,0,0,2,225,15
1013,WKDA | Shroomed,WC,2,2,0,0,0,0,0,0,1,107,40
1017,S2J,WC,15,0,0,0,0,0,0,0,3,645,4
1023,Nintendude,WC,8,3,0,0,0,1,0,0,0,63,70
1077,Revenge | Gahtzu,EC,6,4,0,0,0,0,0,0,2,296,12
1601,FendrickLamar,EC,7,3,0,0,0,1,0,0,0,27,132
2088,ycz6,WC,20,6,0,0,0,1,1,0,0,135,30
3299,Vish,WC,10,3,0,0,0,1,0,0,0,20,153
3499,Boy,WC,5,3,0,0,1,0,0,0,0,10,237
3561,LG | Ginger,EC,5,2,0,0,0,0,0,0,1,190,19
3602,JLo,EC,3,5,0,1,0,0,0,0,0,4,353
3665,Younger,EC,68,28,0,0,1,1,4,0,1,338,9
3734,Hulka,WC,5,0,0,0,0,1,0,0,0,15,188
3772,Arcadia,WC,24,11,0,0,0,3,0,0,0,89,47
3954,YungWaff,WC,11,5,0,0,0,1,0,0,0,31,118
3977,Sicca,EC,9,5,0,0,0,1,0,0,0,19,161
4107,GG | n0ne,EC,8,2,0,0,0,0,0,0,2,378,6
4127,MIOM | Toph,WC,6,3,0,0,1,0,0,0,0,11,220
4176,NathanSandwich,WC,41,20,0,0,2,1,1,0,0,86,48
4205,a-on,WC,50,34,0,2,2,3,0,0,0,92,45
4215,rocky,WC,15,4,0,0,0,1,0,0,0,175,21
4317,Solomon,WC,15,12,0,2,1,1,0,0,0,42,96
4390,CG | Jflex,EC,18,14,0,0,0,0,0,0,7,713,3
4614,Notorious,WC,34,19,0,0,1,2,0,0,0,84,50
4996,MR. SCAM,EC,1,2,0,1,0,0,0,0,0,2,413
5630,BKB! | stocmoney,EC,7,13,0,4,0,0,0,0,0,11,220
5724,Wassabi,WC,30,14,0,1,0,1,1,0,0,66,67
5869,Joe(y) Bats,EC,55,48,0,1,5,1,0,0,0,91,46
6176,Mova,WC,9,9,0,1,1,0,0,0,0,15,188
7068,mikey,WC,8,0,0,0,1,1,0,0,0,23,142
7149,Trail,EC,11,2,0,0,0,2,0,0,0,31,118
7194,Gingerham,EC,4,5,0,1,0,0,0,0,0,5,328
7199,TGL | Shamunt,EC,19,8,0,0,2,1,0,0,0,39,102
7277,Crescent | JSalt,EC,10,2,0,0,0,0,1,0,0,70,63
7495,Townes,EC,8,4,0,0,1,0,0,0,0,13,208
7634,MT,WC,11,3,0,0,0,1,0,0,0,116,37
7654,Schnurb,EC,6,4,0,0,1,0,0,0,0,11,220
7676,MrDrBoi,EC,4,6,0,1,0,0,0,0,0,5,328
7693,Kanye Rest,EC,3,2,0,0,1,0,0,0,0,8,264
7764,sfy | Fizz,EC,1,1,0,1,0,0,0,0,0,2,413
7977,BokchoyBoy,WC,6,4,0,0,1,0,0,0,0,11,220
10067,icecream,WC,3,2,0,2,0,0,0,0,0,5,328
10228,Flow | Stark,WC,36,23,0,1,4,1,0,0,0,67,65
10362,Elk G | Ivayne,WC,13,5,0,1,1,1,0,0,0,29,122
10468,Reesch,EC,14,8,0,0,0,1,0,0,0,24,139
10485,DD,WC,30,9,0,0,1,3,0,0,0,140,29
10520,G,WC,12,7,0,0,2,0,0,0,0,22,144
10529,The Leaf,WC,8,4,0,0,0,1,0,0,0,93,44
10562,SFOP,WC,1,0,0,1,0,0,0,0,0,2,413
10971,Brainless  | FLiiNcHy,EC,9,5,0,0,0,1,0,0,0,29,122
11458,Tuesday,WC,7,1,0,0,0,1,0,0,0,17,175
11490,Dash,EC,1,0,0,1,0,0,0,0,0,2,413
11603,Arctic,EC,14,12,0,0,2,0,0,0,0,24,139
11945,RULES | Strazz,EC,17,18,0,4,0,1,0,0,0,31,118
12023,El Link,WC,17,11,0,1,2,0,0,0,0,28,126
12048,K8A,EC,60,29,0,0,1,3,1,0,0,225,15
12137,yingling,WC,19,10,0,0,3,0,0,0,0,34,111
12365,PW | Vincessant,WC,10,5,0,0,2,0,0,0,0,20,153
12817,WU | nerodero,WC,6,7,0,0,1,0,0,0,0,11,220
13639,21! | Ronan,EC,2,2,0,1,0,0,0,0,0,3,385
