SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3,PWeek4,PWeek5,PWeek6,PWeek7,PWeek8,PWeek9
1004,Liquid | Hungrybox,2,2,-2,-2,13,2,-2,-2,-2,-2,-2
1013,WKDA | Shroomed,1,1,-2,-2,-2,-2,-2,-2,5,-2,-2
1017,S2J,5,5,-2,-2,-2,-2,1,1,1,1,1
1023,Nintendude,1,1,-2,9,-2,-2,-2,-2,-2,-2,-2
1077,Revenge | Gahtzu,2,2,2,5,-2,-2,-2,-2,-2,-2,-2
1601,FendrickLamar,1,1,-2,-2,-2,-2,-2,-2,17,-2,-2
2088,ycz6,2,2,-2,9,-2,-2,9,-2,-2,-2,-2
3299,Vish,1,0,-2,-2,-1,-2,-2,-2,-2,-2,-2
3499,Boy,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
3561,LG | Ginger,1,1,-2,-2,-2,-2,-2,2,-2,-2,-2
3602,JLo,1,0,-2,-1,-2,-2,-2,-2,-2,-2,-2
3665,Younger,7,7,17,7,17,9,13,17,17,-2,-2
3734,Hulka,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
3772,Arcadia,4,3,17,-2,-2,-2,-1,13,-2,17,-2
3936,GUILD | ghettowarmachine420,2,0,-2,-2,-2,-2,-2,-2,-2,-1,-1
3954,YungWaff,2,1,-2,-2,17,-2,-2,-2,-2,-2,-1
3977,Sicca,1,0,-2,-2,-2,-2,-1,-2,-2,-2,-2
4107,GG | n0ne,2,2,-2,3,1,-2,-2,-2,-2,-2,-2
4127,MIOM | Toph,2,1,-2,-2,-2,-2,-2,-2,-1,-2,17
4176,NathanSandwich,4,1,-1,17,-2,-2,-2,-1,-1,-2,-2
4205,a-on,7,0,-1,-1,-1,-1,-1,-1,-1,-2,-2
4215,rocky,2,2,-2,-2,3,-2,-2,-2,-2,-2,4
4317,Solomon,4,1,-2,-2,-2,17,-1,-1,-1,-2,-2
4390,CG | Jflex,9,9,5,5,4,3,17,4,13,7,7
4614,Notorious,4,1,-2,-2,-2,-1,-1,-2,13,-1,-2
4996,MR. SCAM,1,0,-2,-2,-2,-2,-1,-2,-2,-2,-2
5618,CRACKSHACK | CBD Quiggles,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
5630,BKB! | stocmoney,5,0,-1,-1,-1,-2,-1,-2,-2,-2,-1
5724,Wassabi,3,1,-1,-2,-2,-1,-2,17,-2,-2,-2
5869,Joe(y) Bats,8,0,-1,-1,-1,-1,-1,-1,-1,-2,-1
6176,Mova,2,0,-2,-1,-1,-2,-2,-2,-2,-2,-2
7068,mikey,2,0,-2,-1,-2,-2,-2,-1,-2,-2,-2
7149,Trail,2,0,-2,-1,-2,-2,-2,-1,-2,-2,-2
7194,Gingerham,2,0,-2,-2,-2,-2,-2,-2,-1,-1,-2
7199,TGL | Shamunt,4,1,-2,-2,-2,-1,-1,-2,-1,-2,17
7277,Crescent | JSalt,1,1,9,-2,-2,-2,-2,-2,-2,-2,-2
7495,Townes,2,0,-2,-2,-2,-2,-2,-2,-1,-2,-1
7634,MT,1,1,-2,-2,5,-2,-2,-2,-2,-2,-2
7654,Schnurb,2,0,-2,-2,-1,-2,-2,-2,-2,-2,-1
7676,MrDrBoi,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
7693,Kanye Rest,2,0,-2,-2,-2,-2,-2,-2,-1,-1,-2
7764,sfy | Fizz,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
7977,BokchoyBoy,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
9884,HS | Den,1,1,-2,-2,-2,-2,-2,-2,-2,9,-2
10067,icecream,3,0,-2,-2,-2,-1,-1,-2,-2,-1,-2
10228,Flow | Stark,6,0,-2,-1,-1,-1,-1,-1,-1,-2,-2
10362,Elk G | Ivayne,3,0,-2,-2,-1,-1,-2,-1,-2,-2,-2
10468,Reesch,1,0,-2,-2,-2,-2,-1,-2,-2,-2,-2
10485,DD,6,1,7,-1,-1,-1,-2,-2,-2,-1,-1
10520,G,2,0,-2,-2,-1,-2,-2,-2,-1,-2,-2
10529,The Leaf,1,1,7,-2,-2,-2,-2,-2,-2,-2,-2
10562,SFOP,1,0,-2,-2,-1,-2,-2,-2,-2,-2,-2
10971,Brainless  | FLiiNcHy,1,1,17,-2,-2,-2,-2,-2,-2,-2,-2
11458,Tuesday,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
11490,Dash,1,0,-2,-1,-2,-2,-2,-2,-2,-2,-2
11590,Rickeye_rick,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
11603,Arctic,2,0,-2,-2,-1,-1,-2,-2,-2,-2,-2
11606,Elk_G | Karm,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
11945,RULES | Strazz,5,0,-2,-1,-1,-1,-1,-2,-1,-2,-2
12023,El Link,4,0,-1,-1,-1,-2,-2,-2,-2,-2,-1
12048,K8A,7,5,-1,-2,13,9,-1,-2,9,7,9
12137,yingling,3,0,-1,-2,-2,-1,-2,-1,-2,-2,-2
12365,PW | Vincessant,2,0,-1,-2,-2,-1,-2,-2,-2,-2,-2
12817,WU | nerodero,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
13639,21! | Ronan,1,0,-2,-1,-2,-2,-2,-2,-2,-2,-2
13746,Baja,1,0,-2,-2,-1,-2,-2,-2,-2,-2,-2
13765,Help,3,0,-2,-1,-1,-2,-2,-2,-2,-2,-1
14305,Nard Dawg,4,0,-2,-1,-1,-1,-2,-1,-2,-2,-2
14514,Howdy,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
14592,ZOOK | Suezo,4,3,-2,13,-2,-2,-1,9,-2,-2,17
14734,SUEZO | Zook,1,1,-2,-2,-2,-2,-2,-2,-2,-2,25
15298,Cowbell,2,0,-2,-1,-2,-2,-2,-2,-2,-2,-1
15447,Jkiller,1,1,-2,-2,17,-2,-2,-2,-2,-2,-2
15504,Umarth,2,2,-2,-2,-2,5,-2,-2,-2,-2,13
15586,The_Hat123 | Anjo,4,3,-2,-2,17,-1,-2,17,17,-2,-2
15927,jedi093,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
15989,DarkHero,4,4,-2,-2,-2,5,-2,-2,3,9,7
16023,soccermom69,2,2,-2,-2,-2,17,13,-2,-2,-2,-2
16182,Obsidian,2,0,-2,-2,-2,-2,-2,-2,-1,-1,-2
16393,Higgins,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
16468,CV Aceflight,3,0,-2,-2,-1,-2,-2,-1,-1,-2,-2
16478,Anjel,1,0,-2,-2,-1,-2,-2,-2,-2,-2,-2
18652,LFTG | Logos,3,2,17,17,-2,-2,-2,-1,-2,-2,-2
18722,K.H.D | REIGN,3,0,-2,-2,-2,-1,-2,-2,-2,-1,-1
19346,mexico629,2,0,-2,-2,-1,-1,-2,-2,-2,-2,-2
19979,Sammy,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
20991,0kay,2,0,-2,-2,-2,-2,-2,-2,-2,-1,-1
21081,Opportunity,2,0,-2,-2,-1,-2,-2,-2,-1,-2,-2
21405,Fire,3,0,-1,-2,-2,-1,-2,-2,-2,-1,-2
22088,Nebulous | Jib,2,0,-1,-2,-1,-2,-2,-2,-2,-2,-2
22333,Redcoat,6,2,-2,-1,-1,-1,-1,-2,-2,13,13
22458,Kandayo,6,0,-1,-2,-2,-1,-1,-1,-1,-2,-1
22479,Rei,1,1,-2,-2,-2,-2,13,-2,-2,-2,-2
22595,Aura,5,1,-1,-1,-1,-2,-2,17,-1,-2,-2
23207,veil,3,0,-2,-2,-2,-2,-1,-1,-2,-1,-2
23422,ZimD00D,1,0,-2,-1,-2,-2,-2,-2,-2,-2,-2
23501,Ratt,2,0,-1,-2,-1,-2,-2,-2,-2,-2,-2
23920,GHQ | Zamu,1,1,-2,-2,-2,-2,-2,-2,4,-2,-2
23995,Forrest,2,1,-1,-2,-2,-2,-2,-2,-2,5,-2
25351,Hell'sLabyrinth,4,0,-1,-2,-1,-1,-1,-2,-2,-2,-2
25463,Creature,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
25478,Maruf,2,1,-2,-2,-1,-2,17,-2,-2,-2,-2
25810,Melee Stats | Pikachu942,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
25916,redpandamaster,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
25975,Pi#374,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
26004,Kyler,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
26187,Slowking,1,1,-2,-2,13,-2,-2,-2,-2,-2,-2
26289,Trill Jake,1,0,-2,-2,-2,-2,-1,-2,-2,-2,-2
26350,SKY | Cob,1,0,-2,-2,-2,-2,-2,-2,-2,-1,-2
26387,Phantom Airline,4,0,-1,-2,-2,-1,-2,-1,-2,-1,-2
26574,NEU | Shmeeli,1,1,-2,-2,-2,13,-2,-2,-2,-2,-2
26750,KoDoRiN,7,7,1,1,2,-2,5,5,-2,5,2
26920,Trash,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
26934,Clay,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
27524,JustRhett,2,0,-2,-2,-1,-1,-2,-2,-2,-2,-2
27527,Megaman,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
27547,TSBO | HateSauce,1,0,-2,-2,-2,-2,-1,-2,-2,-2,-2
27638,Panda,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
27754,Chummi,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
27862,Musashi,1,1,-2,-2,-2,-2,-2,-2,13,-2,-2
28391,Vigilance,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
28720,NB! | Secrets,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
28793,Light,2,1,-2,-2,-2,17,-1,-2,-2,-2,-2
28815,doctahdylan,2,0,-2,-2,-2,-2,-2,-1,-2,-2,-1
28949,BirdPerson,2,0,-2,-2,-2,-2,-2,-2,-2,-1,-1
29103,Hexjo,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
29405,Vianny,3,0,-2,-2,-1,-2,-1,-2,-2,-2,-1
29840,TBD,5,2,-1,17,-2,-1,-2,-2,-2,-1,17
30352,62-bit | Hero,1,0,-2,-2,-2,-2,-2,-2,-2,-1,-2
30804,Frap,7,0,-1,-1,-1,-2,-1,-1,-1,-1,-2
30913,SHwang,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
31487,Winx Club | Siddward,8,1,-1,-2,-1,9,-1,-1,-1,-1,-1
32201,PRIN$E,4,1,-2,-1,-2,-2,-1,-1,13,-2,-2
32691,Blitzkrieg,2,0,-1,-2,-2,-2,-2,-2,-1,-2,-2
33458,RustyTrombone,4,0,-2,-2,-1,-1,-1,-2,-2,-1,-2
34399,BuenasRetas | Cobs,8,0,-2,-1,-1,-1,-1,-1,-1,-1,-1
34694,flthd | flatline,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
34804,Barry Allen,1,0,-2,-2,-1,-2,-2,-2,-2,-2,-2
34893,Zoma,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
34902,Tanooki,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
35192,Robert Flambe,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
35258,LFG | Fist Mexico,5,0,-2,-1,-1,-1,-1,-2,-2,-1,-2
36782,Oaty,1,0,-2,-2,-2,-2,-2,-2,-2,-1,-2
37116,Kurv,6,4,-1,-2,-2,-2,2,13,7,-1,5
37223,PEP | Sp1nda,2,0,-2,-2,-2,-2,-1,-1,-2,-2,-2
37975,Zellpree,3,0,-2,-2,-2,-2,-2,-1,-1,-1,-2
38643,RedX,7,0,-1,-2,-1,-1,-1,-1,-1,-1,-2
38778,Mages | CH | Sunnyknight,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
38979,Tristan's Rule,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
39235,Dream,2,1,-2,7,-2,-2,-2,-1,-2,-2,-2
40399,Elders React | Third Strongest,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
40793,MGFC | bootichief,5,0,-1,-1,-1,-1,-1,-2,-2,-2,-2
41055,jacket,2,1,13,-1,-2,-2,-2,-2,-2,-2,-2
41211,Denzill,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
41374,Anchovy,2,0,-2,-1,-1,-2,-2,-2,-2,-2,-2
41409,PotatoRice,1,0,-2,-2,-2,-2,-2,-2,-2,-1,-2
45236,Lime,2,1,-2,-2,-2,-2,17,-1,-2,-2,-2
45356,OtES,4,0,-2,-1,-1,-2,-1,-2,-2,-1,-2
45444,Kaz,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
45726,CS | Faust,1,0,-2,-2,-1,-2,-2,-2,-2,-2,-2
45951,Dacky,1,1,-2,-2,-2,-2,-2,-2,-2,-2,3
46752,doby,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
47497,Ellis,4,0,-2,-1,-1,-1,-1,-2,-2,-2,-2
47650,shoelegend88,5,0,-1,-2,-1,-1,-2,-1,-1,-2,-2
47752,p3achyjr,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
47866,Erik,1,1,-2,-2,-2,13,-2,-2,-2,-2,-2
48202,Shy Shai,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
48322,Karin Dreijer,2,0,-2,-1,-2,-2,-2,-2,-2,-1,-2
48578,LoneCubone,2,0,-2,-2,-2,-2,-2,-1,-2,-2,-1
48946,E,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
49875,Paladin,5,3,-2,17,-1,17,-2,-1,-2,-2,13
50053,PML | Die222,6,0,-2,-2,-2,-1,-1,-1,-1,-1,-1
50259,BLE | SluG,1,1,-2,-2,-2,-2,3,-2,-2,-2,-2
50937,Wumbo,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
51055,MIT | unlucky,1,0,-2,-2,-1,-2,-2,-2,-2,-2,-2
51076,Power Kevin,2,0,-1,-2,-1,-2,-2,-2,-2,-2,-2
51112,Pilgrim,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
51373,prof,1,1,9,-2,-2,-2,-2,-2,-2,-2,-2
51464,UCLA | Suvir,1,0,-2,-2,-2,-2,-1,-2,-2,-2,-2
53365,Ringler,1,1,-2,-2,-2,-2,9,-2,-2,-2,-2
53839,Poopy Ass,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
54556,KillThePast | bebul,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
55648,Mars,1,1,-2,-2,-2,-2,-2,-2,-2,-2,17
