SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3
1004,Liquid | Hungrybox,1,1,-2,-2,13
1023,Nintendude,1,1,-2,9,-2
1077,Revenge | Gahtzu,2,2,2,5,-2
2088,ycz6,1,1,-2,9,-2
3299,Vish,1,0,-2,-2,-1
3602,JLo,1,0,-2,-1,-2
3665,Younger,3,3,17,7,17
3734,Hulka,1,0,-1,-2,-2
3772,Arcadia,1,1,17,-2,-2
3954,YungWaff,1,1,-2,-2,17
4107,GG | n0ne,2,2,-2,3,1
4176,NathanSandwich,2,1,-1,17,-2
4205,a-on,3,0,-1,-1,-1
4215,rocky,1,1,-2,-2,3
4390,CG | Jflex,3,3,5,5,4
5630,BKB! | stocmoney,3,0,-1,-1,-1
5724,Wassabi,1,0,-1,-2,-2
5869,Joe(y) Bats,3,0,-1,-1,-1
6176,Mova,2,0,-2,-1,-1
7068,mikey,1,0,-2,-1,-2
7149,Trail,1,0,-2,-1,-2
7277,Crescent | JSalt,1,1,9,-2,-2
7634,MT,1,1,-2,-2,5
7654,Schnurb,1,0,-2,-2,-1
10228,Flow | Stark,2,0,-2,-1,-1
10362,Elk G | Ivayne,1,0,-2,-2,-1
10485,DD,3,1,7,-1,-1
10520,G,1,0,-2,-2,-1
10529,The Leaf,1,1,7,-2,-2
10562,SFOP,1,0,-2,-2,-1
10971,Brainless  | FLiiNcHy,1,1,17,-2,-2
11458,Tuesday,1,0,-1,-2,-2
11490,Dash,1,0,-2,-1,-2
11603,Arctic,1,0,-2,-2,-1
11945,RULES | Strazz,2,0,-2,-1,-1
12023,El Link,3,0,-1,-1,-1
12048,K8A,2,1,-1,-2,13
12137,yingling,1,0,-1,-2,-2
12365,PW | Vincessant,1,0,-1,-2,-2
13639,21! | Ronan,1,0,-2,-1,-2
13746,Baja,1,0,-2,-2,-1
13765,Help,2,0,-2,-1,-1
14305,Nard Dawg,2,0,-2,-1,-1
14592,ZOOK | Suezo,1,1,-2,13,-2
15298,Cowbell,1,0,-2,-1,-2
15447,Jkiller,1,1,-2,-2,17
15586,Anjo,1,1,-2,-2,17
16468,TTV/Aceflight,1,0,-2,-2,-1
16478,Anjel,1,0,-2,-2,-1
18652,LFTG | Logos,2,2,17,17,-2
19346,mexico629,1,0,-2,-2,-1
21081,Opportunity,1,0,-2,-2,-1
21405,Fire,1,0,-1,-2,-2
22088,Nebulous | Jib,2,0,-1,-2,-1
22333,Redcoat,2,0,-2,-1,-1
22458,Kandayo,1,0,-1,-2,-2
22595,Aura,3,0,-1,-1,-1
23422,ZimD00D,1,0,-2,-1,-2
23501,Ratt,2,0,-1,-2,-1
23995,Forrest,1,0,-1,-2,-2
25351,Hell'sLabyrinth,2,0,-1,-2,-1
25478,Maruf,1,0,-2,-2,-1
25810,Melee Stats | Pikachu942,1,0,-1,-2,-2
25916,redpandamaster,1,0,-1,-2,-2
26187,Slowking,1,1,-2,-2,13
26387,Phantom Airline,1,0,-1,-2,-2
26750,KoDoRiN,3,3,1,1,2
26920,Trash,1,0,-1,-2,-2
27524,JustRhett,1,0,-2,-2,-1
29405,Vianny,1,0,-2,-2,-1
29840,TBD,2,1,-1,17,-2
30804,Frap,3,0,-1,-1,-1
31487,Winx Club | Siddward,2,0,-1,-2,-1
32201,PRIN$E,1,0,-2,-1,-2
32691,Blitzkrieg,1,0,-1,-2,-2
33458,RustyTrombone,1,0,-2,-2,-1
34399,BuenasRetas | Cobs,2,0,-2,-1,-1
34694,flthd | flatline,1,0,-1,-2,-2
34804,Barry Allen,1,0,-2,-2,-1
34902,Tanooki,1,0,-1,-2,-2
35258,LFG | Fist Mexico,2,0,-2,-1,-1
37116,GUG | K�rv,1,0,-1,-2,-2
38643,RedX,2,0,-1,-2,-1
39235,Dream,1,1,-2,7,-2
40793,MGFC | JorDank,3,0,-1,-1,-1
41055,jacket,2,1,13,-1,-2
41374,Anchovy,2,0,-2,-1,-1
45356,OtES,2,0,-2,-1,-1
45726,CS | Faust,1,0,-2,-2,-1
47497,Ellis,2,0,-2,-1,-1
47650,shoelegend88,2,0,-1,-2,-1
48322,AHHHHH | Climbers Alice,1,0,-2,-1,-2
49875,Paladin,2,1,-2,17,-1
50937,Wumbo,1,0,-1,-2,-2
51055,MIT | unlucky,1,0,-2,-2,-1
51076,Power Kevin,2,0,-1,-2,-1
51373,prof,1,1,9,-2,-2
60696,FM | Cilan,1,0,-1,-2,-2
61570,YC | Peppi | | Pappi,1,1,5,-2,-2
61897,LSD,1,1,-2,4,-2
63581,CableKnit,1,0,-2,-2,-1
63772,Fern,2,0,-2,-1,-1
63940,Weeg,1,0,-2,-2,-1
64692,SANS | Blues Clues,3,2,9,-1,9
65777,bobby big ballz,1,1,-2,-2,5
70458,PEPIS | Noire,1,1,-2,-2,9
103305,Dr. Lame,1,0,-1,-2,-2
127997,CW | rabit!,1,0,-2,-2,-1
128898,Zhāoshù,1,0,-2,-1,-2
129344,totally butts,1,0,-2,-1,-2
129363,Flow | ESPONJA,3,0,-1,-1,-1
130672,Soltrain,1,0,-2,-1,-2
131130,Leyo,1,0,-2,-2,-1
132938,RU | Midnight Blue,2,0,-1,-2,-1
135088,LFG | PanterA,1,0,-2,-2,-1
136990,Holy | key,1,0,-2,-1,-2
138710,Golden,1,1,-2,-2,9
148736,GThree,1,0,-2,-2,-1
149952,Jakespeare,1,0,-2,-1,-2
151360,Inky,1,1,9,-2,-2
152754,Hood,1,0,-2,-2,-1
156503,Beiker,1,0,-2,-2,-1
156775,Chadwicc,1,0,-2,-2,-1
157615,ight,1,0,-2,-1,-2
157632,TurboThot,1,0,-2,-1,-2
158213,LG | Louis,1,0,-1,-2,-2
159198,Pi2z,1,0,-1,-2,-2
171201,Mootook,1,0,-2,-1,-2
173178,LAG,2,1,-2,13,-1
183677,Yamasaki,3,0,-1,-1,-1
184457,MessiSTL,1,0,-2,-2,-1
184637,Joey Donuts,2,2,-2,17,9
185618,Captain G,1,0,-2,-1,-2
211440,Darrell,3,0,-1,-1,-1
213297,Chompy,2,0,-1,-2,-1
219838,Lamb's Ear,2,0,-2,-1,-1
221423,Typhoon,2,1,-2,-1,7
224897,AWaveDash,2,0,-1,-1,-2
226271,SU | wild flower,1,0,-2,-1,-2
226595,TourGuide,1,0,-1,-2,-2
229216,KaiKwonDo,1,0,-2,-1,-2
230537,hHerb,1,0,-2,-2,-1
232193,Chiefn_,3,0,-1,-1,-1
232446,ash6,1,0,-1,-2,-2
233059,Ribboned Ace,2,0,-1,-1,-2
237282,Electroman,2,0,-2,-1,-1
245346,SIMP | Vagab0nd,2,0,-1,-2,-1
252523,Dusky,1,0,-2,-2,-1
254673,Layer,1,0,-2,-2,-1
257324,GSP,1,0,-2,-2,-1
267849,TG | Mot$,1,1,4,-2,-2
268767,markrevival,2,0,-1,-2,-1
269238,91,1,0,-1,-2,-2
269511,SquidTheCat,1,0,-2,-2,-1
275922,Otto_Zone,1,0,-2,-1,-2
276041,Kettering,1,0,-2,-1,-2
278295,DadsAkimbo,1,0,-2,-2,-1
279107,Khryke,1,1,13,-2,-2
283648,MDF | Amor,1,0,-2,-2,-1
288395,jams,1,0,-2,-2,-1
322324,maxi,1,0,-2,-2,-1
327350,lochist,1,0,-1,-2,-2
328736,SadSack,1,0,-1,-2,-2
362459,SeshLord Ozai,1,0,-2,-1,-2
368021,JitteryInChurch,1,0,-2,-2,-1
378512,Khoron | Oreo,2,0,-2,-1,-1
379542,Lee,1,0,-2,-1,-2
423669,Wōlī,1,0,-2,-2,-1
428826,ArcaneFox,1,0,-2,-2,-1
466221,Melo,3,0,-1,-1,-1
472971,yBaS | MaxJacks,1,0,-1,-2,-2
491552,DannyPhantom,1,1,-2,13,-2
512704,Axis,1,0,-1,-2,-2
519985,Marvelboy,1,0,-1,-2,-2
524651,Schwifty | Sirjaxism,1,0,-2,-2,-1
525553,jerma985,1,0,-2,-2,-1
528737,3OutChange,1,0,-2,-2,-1
530964,Heatedchaos,1,0,-2,-1,-2
533918,Maelstrom,2,0,-2,-1,-1
539984,Ahmad,1,1,-2,-2,17
542693,Bbatts,3,1,-1,9,-1
552087,Kerblamu,1,0,-2,-1,-2
581039,I'm Michael BTW,3,2,13,13,-1
581230,SmashMouthEgg,1,0,-2,-2,-1
582190,rice,2,0,-2,-1,-1
585248,magnumgunn3r,1,0,-2,-2,-1
637179,Sodabro,1,0,-2,-2,-1
638273,SKY | Matwood,1,0,-2,-2,-1
654514,probably high,1,0,-2,-1,-2
657175,Bobakanoosh,1,0,-1,-2,-2
657464,CowCowCowCowCow,2,0,-2,-1,-1
657711,PurpleZ,1,0,-1,-2,-2
694497,IMP | Ben,3,3,3,2,7
709843,Chem,1,0,-1,-2,-2
725014,charmell0,2,0,-1,-1,-2
