SmasherID,SmashTag,RWeek1,RWeek2,ChangeInRank
1023,Nintendude,NAN,22,NAN
1077,Revenge | Gahtzu,2,3,-1
2088,ycz6,NAN,19,NAN
3602,JLo,NAN,115,NAN
3665,Younger,17,8,9
3734,Hulka,29,57,-28
3772,Arcadia,20,34,-14
4107,GG | n0ne,NAN,5,NAN
4176,NathanSandwich,33,30,3
4205,a-on,59,46,13
4390,CG | Jflex,6,4,2
5630,BKB! | stocmoney,59,99,-40
5724,Wassabi,78,131,-53
5869,Joey Bats,41,35,6
6176,Mova,NAN,131,NAN
7068,mikey,NAN,89,NAN
7149,Trail,NAN,57,NAN
7277,Crescent | JSalt,11,20,-9
10228,Flow | Stark,NAN,131,NAN
10485,DD,7,10,-3
10529,The Leaf,8,13,-5
10971,Brainless  | FLiiNcHy,18,33,-15
11458,Tuesday,24,46,-22
11490,Dash,NAN,147,NAN
11945,RULES | Strazz,NAN,99,NAN
12023,El Link,41,37,4
12048,K8A,26,53,-27
12137,yingling,45,74,-29
12365,PW | Vincessant,47,82,-35
13639,21! | Ronan,NAN,131,NAN
13765,Help,NAN,65,NAN
14305,Nard Dawg,NAN,74,NAN
14592,ZOOK | Suezo,NAN,29,NAN
15298,Cowbell,NAN,63,NAN
18652,LFTG | Logos,19,23,-4
21405,Fire,98,167,-69
22088,Nebulous | Jib,47,82,-35
22333,Redcoat,NAN,70,NAN
22458,Kandayo,67,115,-48
22595,Aura,47,74,-27
23422,ZimD00D,NAN,39,NAN
23501,Ratt,98,167,-69
23995,Forrest,54,95,-41
25351,Hell'sLabyrinth,98,167,-69
25810,Melee Stats | Pikachu942,87,147,-60
25916,redpandamaster,24,46,-22
26387,Phantom Airline,67,115,-48
26750,KoDoRiN,1,1,0
26920,Trash,98,167,-69
29840,TBD,21,24,-3
30804,Frap,33,36,-3
31487,Winx Club | Siddward,36,65,-29
32201,PRIN$E,NAN,65,NAN
32691,Blitzkrieg,87,147,-60
34399,BuenasRetas | Cobs,NAN,115,NAN
34694,flthd | flatline,87,147,-60
34902,Tanooki,47,82,-35
35258,LFG | Fist Mexico,NAN,115,NAN
37116,GUG | K�rv,54,95,-41
38643,RedX,59,106,-47
39235,Dream,NAN,12,NAN
40793,MGFC | JorDank,67,39,28
41055,jacket,13,18,-5
41374,Anchovy,NAN,38,NAN
45356,OtES,NAN,106,NAN
47497,Ellis,NAN,82,NAN
47650,shoelegend88,87,147,-60
48322,AHHHHH | Climbers Alice,NAN,147,NAN
49875,Paladin,NAN,31,NAN
50937,Wumbo,87,147,-60
51076,Power Kevin,98,167,-69
51373,prof,10,17,-7
60696,FM | Cilan,78,131,-53
61570,YC | Peppi | | Pappi,5,9,-4
61897,LSD,NAN,7,NAN
63772,Fern,NAN,74,NAN
64692,SANS | Blues Clues,9,11,-2
103305,Dr. Lame,41,70,-29
128898,Zhāoshù,NAN,106,NAN
129344,totally butts,NAN,42,NAN
129363,Flow | ESPONJA,36,42,-6
130672,Soltrain,NAN,89,NAN
132938,RU | Midnight Blue,36,65,-29
136990,Holy | key,NAN,99,NAN
149952,Jakespeare,NAN,70,NAN
151360,Inky,12,21,-9
157615,ight,NAN,106,NAN
157632,TurboThot,NAN,147,NAN
158213,LG | Louis,26,53,-27
159198,Pi2z,59,106,-47
171201,Mootook,NAN,57,NAN
173178,LAG,NAN,28,NAN
183677,Yamasaki,67,46,21
184637,Joey Donuts,NAN,32,NAN
185618,Captain G,NAN,147,NAN
211440,Darrell,78,39,39
213297,Chompy,47,82,-35
219838,Lamb's Ear,NAN,115,NAN
221423,Typhoon,NAN,42,NAN
224897,AWaveDash,98,147,-49
226271,SU | wild flower,NAN,167,NAN
226595,TourGuide,67,115,-48
229216,KaiKwonDo,NAN,115,NAN
232193,Chiefn_,41,57,-16
232446,ash6,87,147,-60
233059,Ribboned Ace,67,65,2
237282,Electroman,NAN,74,NAN
245346,SIMP | Vagab0nd,98,167,-69
267849,TG | Mot$,4,6,-2
268767,markrevival,98,167,-69
269238,91,67,115,-48
275922,Otto_Zone,NAN,74,NAN
276041,Kettering,NAN,167,NAN
279107,Khryke,14,26,-12
327350,lochist,29,57,-28
328736,SadSack,53,89,-36
362459,SeshLord Ozai,NAN,106,NAN
378512,Khoron | Oreo,NAN,46,NAN
379542,Lee,NAN,167,NAN
466221,Melo,36,53,-17
472971,yBaS | MaxJacks,98,167,-69
491552,DannyPhantom,NAN,25,NAN
512704,Axis,59,106,-47
519985,Marvelboy,59,106,-47
530964,Heatedchaos,NAN,147,NAN
533918,Maelstrom,NAN,99,NAN
542693,Bbatts,23,15,8
552087,Kerblamu,NAN,74,NAN
581039,I'm Michael BTW,16,14,2
582190,rice,NAN,131,NAN
654514,probably high,NAN,167,NAN
657175,Bobakanoosh,67,115,-48
657464,CowCowCowCowCow,NAN,115,NAN
657711,PurpleZ,98,167,-69
694497,IMP | Ben,3,2,1
709843,Chem,45,74,-29
725014,charmell0,78,82,-4
725016,Dolfo,98,167,-69
735376,CVSmashMods | Ripn,NAN,131,NAN
748365,ledgefiend,NAN,147,NAN
764680,STLTS,NAN,95,NAN
776417,GSG,NAN,167,NAN
834231,Jun,36,46,-10
836691,BeanBurrito-San,59,106,-47
875354,Penguin,98,167,-69
928066,Kelpo,67,115,-48
945542,KOA | youngbool,98,167,-69
950362,EWA | ERGonomics,NAN,70,NAN
1013413,WFL | ABC,NAN,147,NAN
1053202,diddylonglegs,NAN,131,NAN
1077796,FreeHops,67,89,-22
1081722,kaiyon,NAN,131,NAN
1149773,ali_,87,147,-60
1194651,gsm | Pound,87,131,-44
1248621,Anzeray,98,167,-69
1278457,Rocket,15,27,-12
1375808,Epoodle,57,16,41
1432189,nunoodle,98,167,-69
1442352,BK_Rib,NAN,147,NAN
1451042,Deeb,67,115,-48
1500084,Ariz,NAN,147,NAN
1562196,EagleOne,NAN,167,NAN
1598204,YoungHanSolo,78,131,-53
1619463,Arctic,NAN,167,NAN
1640788,Special K,98,167,-69
1658777,CrazyColtCory,NAN,147,NAN
1723399,jeddo,29,57,-28
1796764,Mp drago,NAN,167,NAN
1871538,Not_DuduTsai,22,42,-20
1918686,Analog,NAN,115,NAN
1918774,EWA | Gorgonzola,NAN,99,NAN
1940854,JoffDuchar,78,131,-53
1944467,SUPERUNKNOWN,87,131,-44
1946855,PRD | JMi,NAN,167,NAN
1957918,Cow,32,46,-14
1966716,LewdCelebs4Free,57,99,-42
1974127,aujory,87,99,-12
1974143,Jeem,98,167,-69
1989729,Nips,NAN,167,NAN
2004464,Rama,NAN,147,NAN
2029721,Ghost Rider,47,82,-35
2041350,2rk | Turok,78,131,-53
2084281,Keykey,78,131,-53
2085246,kippu,NAN,115,NAN
2093540,RitzyCheese,78,131,-53
2140092,Jet,87,147,-60
2146437,HaxMoneyHulkHogan,98,167,-69
2160161,GAS,54,95,-41
2170469,Triple Cake Dance,59,89,-30
2179108,Mud,26,53,-27
2192126,NattyIce,98,115,-17
