SmasherID,SmashTag,BWeek1,BWeek2,BWeek3,BWeek4,BWeek5
237282,Electroman,NAN,10,13.0,13.0,13.0
245346,SIMP | Vagab0nd,1,1,3.0,3.0,3.0
245795,TR | H,NAN,NAN,NAN,4.0,4.0
252523,Dusky,NAN,NAN,4.0,6.0,6.0
252543,LG | Yu,NAN,NAN,NAN,104.0,104.0
252656,DERT | Petra,NAN,NAN,NAN,NAN,1.0
254673,Layer,NAN,NAN,5.0,8.0,8.0
257324,GSP,NAN,NAN,8.0,17.0,17.0
259856,Seraph,NAN,NAN,NAN,NAN,11.0
267849,TG | Mot$,155,155,155.0,155.0,155.0
268767,markrevival,1,1,2.0,2.0,2.0
269238,91,4,4,4.0,4.0,4.0
269511,SquidTheCat,NAN,NAN,12.0,18.0,18.0
275922,Otto_Zone,NAN,10,10.0,10.0,10.0
276041,Kettering,NAN,1,1.0,1.0,1.0
276973,Red,NAN,NAN,NAN,5.0,5.0
277060,Cuk | Veths,NAN,NAN,NAN,1.0,1.0
278295,DadsAkimbo,NAN,NAN,7.0,17.0,17.0
279107,Khryke,49,49,49.0,49.0,49.0
283648,MDF | Amor,NAN,NAN,8.0,8.0,8.0
288395,jams,NAN,NAN,11.0,28.0,33.0
322324,maxi,NAN,NAN,3.0,3.0,3.0
327350,lochist,15,15,15.0,15.0,15.0
328736,SadSack,8,8,8.0,8.0,8.0
362459,SeshLord Ozai,NAN,5,5.0,5.0,5.0
368021,JitteryInChurch,NAN,NAN,12.0,12.0,12.0
378512,Khoron | Oreo,NAN,17,28.0,28.0,28.0
379419,Zab,NAN,NAN,NAN,17.0,31.0
379542,Lee,NAN,1,1.0,1.0,1.0
423669,Wōlī,NAN,NAN,9.0,9.0,9.0
428826,ArcaneFox,NAN,NAN,4.0,10.0,16.0
448153,Neenor,NAN,NAN,NAN,NAN,5.0
450784,Fredrick,NAN,NAN,NAN,8.0,8.0
466221,Melo,12,16,22.0,22.0,34.0
472971,yBaS | MaxJacks,1,1,1.0,1.0,1.0
491552,DannyPhantom,NAN,51,51.0,51.0,51.0
492755,BoffTarget,NAN,NAN,NAN,5.0,10.0
495213,Banger,NAN,NAN,NAN,11.0,16.0
512704,Axis,5,5,5.0,5.0,5.0
519779,NJ | Tommy,NAN,NAN,NAN,17.0,17.0
519985,Marvelboy,5,5,5.0,5.0,6.0
524651,Schwifty | Sirjaxism,NAN,NAN,1.0,3.0,5.0
524896,LEVO | Mento,NAN,NAN,NAN,NAN,3.0
525553,jerma985,NAN,NAN,7.0,7.0,7.0
528737,3OutChange,NAN,NAN,3.0,7.0,7.0
530964,Heatedchaos,NAN,2,2.0,2.0,2.0
533918,Maelstrom,NAN,6,8.0,8.0,14.0
539984,Ahmad,NAN,NAN,27.0,27.0,45.0
542693,Bbatts,18,83,95.0,95.0,95.0
552087,Kerblamu,NAN,10,10.0,10.0,10.0
581039,I'm Michael BTW,43,86,105.0,112.0,112.0
581230,SmashMouthEgg,NAN,NAN,3.0,3.0,3.0
582190,rice,NAN,3,5.0,6.0,6.0
585248,magnumgunn3r,NAN,NAN,2.0,2.0,2.0
592660,aL0w,NAN,NAN,NAN,2.0,2.0
