SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2
1023,Nintendude,1,1,-2,9
1077,Revenge | Gahtzu,2,2,2,5
2088,ycz6,1,1,-2,9
3602,JLo,1,0,-2,-1
3665,Younger,2,2,17,7
3734,Hulka,1,0,-1,-2
3772,Arcadia,1,1,17,-2
4107,GG | n0ne,1,1,-2,3
4176,NathanSandwich,2,1,-1,17
4205,a-on,2,0,-1,-1
4390,CG | Jflex,2,2,5,5
5630,BKB! | stocmoney,2,0,-1,-1
5724,Wassabi,1,0,-1,-2
5869,Joey Bats,2,0,-1,-1
6176,Mova,1,0,-2,-1
7068,mikey,1,0,-2,-1
7149,Trail,1,0,-2,-1
7277,Crescent | JSalt,1,1,9,-2
10228,Flow | Stark,1,0,-2,-1
10485,DD,2,1,7,-1
10529,The Leaf,1,1,7,-2
10971,Brainless  | FLiiNcHy,1,1,17,-2
11458,Tuesday,1,0,-1,-2
11490,Dash,1,0,-2,-1
11945,RULES | Strazz,1,0,-2,-1
12023,El Link,2,0,-1,-1
12048,K8A,1,0,-1,-2
12137,yingling,1,0,-1,-2
12365,PW | Vincessant,1,0,-1,-2
13639,21! | Ronan,1,0,-2,-1
13765,Help,1,0,-2,-1
14305,Nard Dawg,1,0,-2,-1
14592,ZOOK | Suezo,1,1,-2,13
15298,Cowbell,1,0,-2,-1
18652,LFTG | Logos,2,2,17,17
21405,Fire,1,0,-1,-2
22088,Nebulous | Jib,1,0,-1,-2
22333,Redcoat,1,0,-2,-1
22458,Kandayo,1,0,-1,-2
22595,Aura,2,0,-1,-1
23422,ZimD00D,1,0,-2,-1
23501,Ratt,1,0,-1,-2
23995,Forrest,1,0,-1,-2
25351,Hell'sLabyrinth,1,0,-1,-2
25810,Melee Stats | Pikachu942,1,0,-1,-2
25916,redpandamaster,1,0,-1,-2
26387,Phantom Airline,1,0,-1,-2
26750,KoDoRiN,2,2,1,1
26920,Trash,1,0,-1,-2
29840,TBD,2,1,-1,17
30804,Frap,2,0,-1,-1
