SmasherID,SmashTag,Coast,Wins,Losses,LimitLadderWins,Prospect,Rookie,Pro,AllStar,HallOfFame,Floated,Points,Rank
1004,Liquid | Hungrybox,EC,5,4,0,0,0,0,0,0,2,225,10
1017,S2J,WC,5,0,0,0,0,0,0,0,1,215,11
1023,Nintendude,WC,8,3,0,0,0,1,0,0,0,63,49
1077,Revenge | Gahtzu,EC,6,4,0,0,0,0,0,0,2,296,6
2088,ycz6,WC,20,6,0,0,0,1,1,0,0,135,22
3299,Vish,WC,10,3,0,0,0,1,0,0,0,20,116
3602,JLo,EC,3,5,0,1,0,0,0,0,0,4,281
3665,Younger,EC,60,20,0,0,0,1,4,0,0,295,7
3734,Hulka,WC,5,0,0,0,0,1,0,0,0,15,149
3772,Arcadia,WC,15,7,0,0,0,2,0,0,0,45,68
3954,YungWaff,WC,11,5,0,0,0,1,0,0,0,31,89
3977,Sicca,EC,9,5,0,0,0,1,0,0,0,19,122
4107,GG | n0ne,EC,8,2,0,0,0,0,0,0,2,378,5
4176,NathanSandwich,WC,17,7,0,0,1,1,0,0,0,42,74
4205,a-on,WC,32,25,0,2,2,1,0,0,0,54,59
4215,rocky,WC,15,4,0,0,0,1,0,0,0,175,15
4317,Solomon,WC,13,7,0,0,1,1,0,0,0,38,78
4390,CG | Jflex,EC,14,10,0,0,0,0,0,0,5,539,3
4614,Notorious,WC,19,10,0,0,1,1,0,0,0,34,84
4996,MR. SCAM,EC,1,2,0,1,0,0,0,0,0,2,334
5630,BKB! | stocmoney,EC,7,13,0,4,0,0,0,0,0,11,178
5724,Wassabi,WC,17,9,0,1,0,1,0,0,0,28,96
5869,Joe(y) Bats,EC,38,35,0,0,4,1,0,0,0,68,44
6176,Mova,WC,9,9,0,1,1,0,0,0,0,15,149
7068,mikey,WC,3,0,0,0,1,0,0,0,0,8,212
7149,Trail,EC,5,1,0,0,0,1,0,0,0,15,149
7199,TGL | Shamunt,EC,14,6,0,0,1,1,0,0,0,29,92
7277,Crescent | JSalt,EC,10,2,0,0,0,0,1,0,0,70,43
7634,MT,WC,11,3,0,0,0,1,0,0,0,116,26
7654,Schnurb,EC,6,4,0,0,1,0,0,0,0,11,178
7977,BokchoyBoy,WC,6,4,0,0,1,0,0,0,0,11,178
10067,icecream,WC,3,2,0,2,0,0,0,0,0,5,259
10228,Flow | Stark,WC,23,15,0,1,2,1,0,0,0,44,72
10362,Elk G | Ivayne,WC,12,4,0,0,1,1,0,0,0,27,101
