SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3,PWeek4,PWeek5,PWeek6,PWeek7
1004,Liquid | Hungrybox,2,2,-2,-2,13,2,-2,-2,-2
1013,WKDA | Shroomed,1,1,-2,-2,-2,-2,-2,-2,5
1017,S2J,3,3,-2,-2,-2,-2,1,1,1
1023,Nintendude,1,1,-2,9,-2,-2,-2,-2,-2
1077,Revenge | Gahtzu,2,2,2,5,-2,-2,-2,-2,-2
1601,FendrickLamar,1,1,-2,-2,-2,-2,-2,-2,17
2088,ycz6,2,2,-2,9,-2,-2,9,-2,-2
3299,Vish,1,0,-2,-2,-1,-2,-2,-2,-2
3499,Boy,1,0,-2,-2,-2,-2,-2,-1,-2
3561,LG | Ginger,1,1,-2,-2,-2,-2,-2,2,-2
3602,JLo,1,0,-2,-1,-2,-2,-2,-2,-2
3665,Younger,7,7,17,7,17,9,13,17,17
3734,Hulka,1,0,-1,-2,-2,-2,-2,-2,-2
3772,Arcadia,3,2,17,-2,-2,-2,-1,13,-2
3954,YungWaff,1,1,-2,-2,17,-2,-2,-2,-2
3977,Sicca,1,0,-2,-2,-2,-2,-1,-2,-2
4107,GG | n0ne,2,2,-2,3,1,-2,-2,-2,-2
4127,MIOM | Toph,1,0,-2,-2,-2,-2,-2,-2,-1
4176,NathanSandwich,4,1,-1,17,-2,-2,-2,-1,-1
4205,a-on,7,0,-1,-1,-1,-1,-1,-1,-1
4215,rocky,1,1,-2,-2,3,-2,-2,-2,-2
4317,Solomon,4,1,-2,-2,-2,17,-1,-1,-1
4390,CG | Jflex,7,7,5,5,4,3,17,4,13
4614,Notorious,3,1,-2,-2,-2,-1,-1,-2,13
4996,MR. SCAM,1,0,-2,-2,-2,-2,-1,-2,-2
5630,BKB! | stocmoney,4,0,-1,-1,-1,-2,-1,-2,-2
5724,Wassabi,3,1,-1,-2,-2,-1,-2,17,-2
5869,Joe(y) Bats,7,0,-1,-1,-1,-1,-1,-1,-1
6176,Mova,2,0,-2,-1,-1,-2,-2,-2,-2
7068,mikey,2,0,-2,-1,-2,-2,-2,-1,-2
7149,Trail,2,0,-2,-1,-2,-2,-2,-1,-2
7194,Gingerham,1,0,-2,-2,-2,-2,-2,-2,-1
7199,TGL | Shamunt,3,0,-2,-2,-2,-1,-1,-2,-1
7277,Crescent | JSalt,1,1,9,-2,-2,-2,-2,-2,-2
7495,Townes,1,0,-2,-2,-2,-2,-2,-2,-1
7634,MT,1,1,-2,-2,5,-2,-2,-2,-2
7654,Schnurb,1,0,-2,-2,-1,-2,-2,-2,-2
7676,MrDrBoi,1,0,-2,-2,-2,-2,-2,-2,-1
7693,Kanye Rest,1,0,-2,-2,-2,-2,-2,-2,-1
7764,sfy | Fizz,1,0,-2,-2,-2,-2,-2,-1,-2
7977,BokchoyBoy,1,0,-2,-2,-2,-1,-2,-2,-2
10067,icecream,2,0,-2,-2,-2,-1,-1,-2,-2
10228,Flow | Stark,6,0,-2,-1,-1,-1,-1,-1,-1
10362,Elk G | Ivayne,3,0,-2,-2,-1,-1,-2,-1,-2
10468,Reesch,1,0,-2,-2,-2,-2,-1,-2,-2
10485,DD,4,1,7,-1,-1,-1,-2,-2,-2
10520,G,2,0,-2,-2,-1,-2,-2,-2,-1
10529,The Leaf,1,1,7,-2,-2,-2,-2,-2,-2
10562,SFOP,1,0,-2,-2,-1,-2,-2,-2,-2
10971,Brainless  | FLiiNcHy,1,1,17,-2,-2,-2,-2,-2,-2
11458,Tuesday,1,0,-1,-2,-2,-2,-2,-2,-2
11490,Dash,1,0,-2,-1,-2,-2,-2,-2,-2
