SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,ChangeInRank
1807916,Shlorp,NAN,NAN,216.0,NAN
1871538,Not_DuduTsai,22,42,69.0,-27.0
1918686,Analog,NAN,115,161.0,-46.0
1918774,EWA | Gorgonzola,NAN,99,154.0,-55.0
1931842,tpyo,NAN,NAN,174.0,NAN
1940854,JoffDuchar,78,131,194.0,-63.0
1942273,Fankriss,NAN,NAN,38.0,NAN
1944467,SUPERUNKNOWN,87,131,194.0,-63.0
1946855,PRD | JMi,NAN,167,244.0,-77.0
1957918,Cow,32,46,73.0,-27.0
1966716,LewdCelebs4Free,57,99,154.0,-55.0
1974127,aujory,87,99,119.0,-20.0
1974143,Jeem,98,167,244.0,-77.0
1989729,Nips,NAN,167,244.0,-77.0
2004464,Rama,NAN,147,216.0,-69.0
2029721,Ghost Rider,47,82,128.0,-46.0
2041350,2rk | Turok,78,131,194.0,-63.0
2084281,Keykey,78,131,194.0,-63.0
2085246,kippu,NAN,115,174.0,-59.0
2093540,RitzyCheese,78,131,194.0,-63.0
2122811,$W@6 | rocketf20,NAN,NAN,244.0,NAN
2139952,Boalisk,NAN,NAN,244.0,NAN
2140092,Jet,87,147,216.0,-69.0
2146437,actually hmhh | LionTimeMachine,98,167,96.0,71.0
2148920,thicceon,NAN,NAN,119.0,NAN
2160161,GAS,54,95,145.0,-50.0
2170469,Triple Cake Dance,59,89,135.0,-46.0
2179108,Mud,26,53,55.0,-2.0
2192126,NattyIce,98,115,161.0,-46.0
2194031,Dorian uwu,NAN,NAN,244.0,NAN
2206263,nmble-mann,NAN,167,244.0,-77.0
2215703,DiMaria,NAN,89,90.0,-1.0
2233473,fssong,NAN,NAN,194.0,NAN
2242538,Erica,33,64,96.0,-32.0
2251343,ClintStevensTV | HungryboxFan304,NAN,NAN,101.0,NAN
