SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RWeek4,RWeek5,RWeek6,ChangeInRank
1004,Liquid | Hungrybox,NAN,NAN,47.0,8.0,10.0,13.0,-3.0
1017,S2J,NAN,NAN,NAN,NAN,11.0,5.0,6.0
1023,Nintendude,NAN,22,30.0,39.0,49.0,59.0,-10.0
1077,Revenge | Gahtzu,2,3,5.0,6.0,6.0,8.0,-2.0
2088,ycz6,NAN,19,24.0,35.0,22.0,27.0,-5.0
3299,Vish,NAN,NAN,66.0,91.0,116.0,138.0,-22.0
3499,Boy,NAN,NAN,NAN,NAN,NAN,216.0,NAN
3561,LG | Ginger,NAN,NAN,NAN,NAN,NAN,16.0,NAN
3602,JLo,NAN,115,174.0,244.0,281.0,315.0,-34.0
3665,Younger,17,8,8.0,7.0,7.0,7.0,0.0
3734,Hulka,29,57,82.0,123.0,149.0,171.0,-22.0
3772,Arcadia,20,34,59.0,77.0,68.0,40.0,28.0
3954,YungWaff,NAN,NAN,51.0,65.0,89.0,108.0,-19.0
3977,Sicca,NAN,NAN,NAN,NAN,122.0,145.0,-23.0
4107,GG | n0ne,NAN,5,3.0,4.0,5.0,6.0,-1.0
4176,NathanSandwich,33,30,42.0,55.0,74.0,67.0,7.0
4205,a-on,59,46,62.0,63.0,59.0,48.0,11.0
4215,rocky,NAN,NAN,6.0,9.0,15.0,19.0,-4.0
4317,Solomon,NAN,NAN,NAN,68.0,78.0,88.0,-10.0
4390,CG | Jflex,6,4,4.0,3.0,3.0,3.0,0.0
4614,Notorious,NAN,NAN,NAN,150.0,84.0,100.0,-16.0
4996,MR. SCAM,NAN,NAN,NAN,NAN,334.0,367.0,-33.0
5630,BKB! | stocmoney,59,99,119.0,169.0,178.0,201.0,-23.0
5724,Wassabi,78,131,194.0,72.0,96.0,56.0,40.0
5869,Joe(y) Bats,41,35,40.0,42.0,44.0,45.0,-1.0
6176,Mova,NAN,131,82.0,123.0,149.0,171.0,-22.0
7068,mikey,NAN,89,135.0,187.0,212.0,127.0,85.0
7149,Trail,NAN,57,82.0,123.0,149.0,108.0,41.0
7199,TGL | Shamunt,NAN,NAN,NAN,155.0,92.0,112.0,-20.0
7277,Crescent | JSalt,11,20,25.0,36.0,43.0,55.0,-12.0
7634,MT,NAN,NAN,13.0,20.0,26.0,32.0,-6.0
7654,Schnurb,NAN,NAN,109.0,155.0,178.0,201.0,-23.0
7764,sfy | Fizz,NAN,NAN,NAN,NAN,NAN,367.0,NAN
7977,BokchoyBoy,NAN,NAN,NAN,155.0,178.0,201.0,-23.0
10067,icecream,NAN,NAN,NAN,267.0,259.0,293.0,-34.0
10228,Flow | Stark,NAN,131,90.0,82.0,72.0,64.0,8.0
10362,Elk G | Ivayne,NAN,NAN,109.0,77.0,101.0,112.0,-11.0
10468,Reesch,NAN,NAN,NAN,NAN,106.0,124.0,-18.0
10485,DD,7,10,12.0,13.0,21.0,26.0,-5.0
10520,G,NAN,NAN,90.0,135.0,162.0,185.0,-23.0
10529,The Leaf,8,13,21.0,29.0,34.0,38.0,-4.0
10562,SFOP,NAN,NAN,216.0,294.0,334.0,367.0,-33.0
10971,Brainless  | FLiiNcHy,18,33,53.0,68.0,92.0,112.0,-20.0
11458,Tuesday,24,46,73.0,109.0,134.0,156.0,-22.0
11490,Dash,NAN,147,216.0,294.0,334.0,367.0,-33.0
11603,Arctic,NAN,NAN,128.0,82.0,106.0,124.0,-18.0
11945,RULES | Strazz,NAN,99,128.0,80.0,91.0,110.0,-19.0
12023,El Link,41,37,55.0,72.0,96.0,115.0,-19.0
12048,K8A,26,53,26.0,14.0,16.0,20.0,-4.0
12137,yingling,45,74,119.0,91.0,116.0,100.0,16.0
12365,PW | Vincessant,47,82,128.0,91.0,116.0,138.0,-22.0
12817,WU | nerodero,NAN,NAN,NAN,155.0,178.0,201.0,-23.0
13639,21! | Ronan,NAN,131,194.0,267.0,305.0,340.0,-35.0
13746,Baja,NAN,NAN,174.0,244.0,281.0,315.0,-34.0
13765,Help,NAN,65,73.0,109.0,134.0,156.0,-22.0
14305,Nard Dawg,NAN,74,101.0,84.0,108.0,106.0,2.0
14514,Howdy,NAN,NAN,NAN,323.0,369.0,406.0,-37.0
14592,ZOOK | Suezo,NAN,29,41.0,54.0,52.0,29.0,23.0
15298,Cowbell,NAN,63,90.0,135.0,162.0,185.0,-23.0
15447,Jkiller,NAN,NAN,66.0,91.0,116.0,138.0,-22.0
15504,Umarth,NAN,NAN,NAN,18.0,24.0,30.0,-6.0
15586,AB | Anjo,NAN,NAN,46.0,40.0,51.0,39.0,12.0
15927,jedi093,NAN,NAN,NAN,244.0,281.0,315.0,-34.0
15989,DarkHero,NAN,NAN,NAN,19.0,25.0,31.0,-6.0
16023,soccermom69,NAN,NAN,NAN,57.0,35.0,43.0,-8.0
16393,Higgins,NAN,NAN,NAN,103.0,128.0,152.0,-24.0
16468,CV Aceflight,NAN,NAN,109.0,155.0,178.0,115.0,63.0
16478,Anjel,NAN,NAN,145.0,198.0,225.0,254.0,-29.0
18652,LFTG | Logos,19,23,31.0,41.0,53.0,46.0,7.0
18722,K.H.D | REIGN,NAN,NAN,NAN,198.0,225.0,254.0,-29.0
19346,mexico629,NAN,NAN,109.0,123.0,149.0,171.0,-22.0
19979,Sammy,NAN,NAN,NAN,NAN,NAN,406.0,NAN
21081,Opportunity,NAN,NAN,194.0,267.0,305.0,340.0,-35.0
21405,Fire,98,167,244.0,244.0,281.0,315.0,-34.0
22088,Nebulous | Jib,47,82,72.0,103.0,128.0,152.0,-24.0
22333,Redcoat,NAN,70,49.0,46.0,55.0,64.0,-9.0
22458,Kandayo,67,115,174.0,198.0,204.0,201.0,3.0
22479,Rei,NAN,NAN,NAN,NAN,62.0,73.0,-11.0
22595,Aura,47,74,73.0,109.0,134.0,85.0,49.0
23207,veil,NAN,NAN,NAN,NAN,281.0,133.0,148.0
23422,ZimD00D,NAN,39,66.0,91.0,116.0,138.0,-22.0
23501,Ratt,98,167,194.0,267.0,305.0,340.0,-35.0
23995,Forrest,54,95,145.0,198.0,225.0,254.0,-29.0
25351,Hell'sLabyrinth,98,167,154.0,103.0,111.0,128.0,-17.0
25463,Creature,NAN,NAN,NAN,224.0,259.0,293.0,-34.0
25478,Maruf,NAN,NAN,69.0,97.0,68.0,82.0,-14.0
25810,Melee Stats | Pikachu942,87,147,216.0,294.0,334.0,367.0,-33.0
25916,redpandamaster,24,46,73.0,109.0,134.0,156.0,-22.0
26004,Kyler,NAN,NAN,NAN,198.0,225.0,254.0,-29.0
26187,Slowking,NAN,NAN,33.0,44.0,59.0,71.0,-12.0
26289,Trill Jake,NAN,NAN,NAN,NAN,240.0,277.0,-37.0
26387,Phantom Airline,67,115,174.0,84.0,108.0,100.0,8.0
26574,NEU | Shmeeli,NAN,NAN,NAN,43.0,56.0,67.0,-11.0
26750,KoDoRiN,1,1,1.0,2.0,1.0,1.0,0.0
26920,Trash,98,167,244.0,323.0,369.0,406.0,-37.0
26934,Clay,NAN,NAN,NAN,NAN,NAN,406.0,NAN
27524,JustRhett,NAN,NAN,244.0,294.0,334.0,367.0,-33.0
27547,TSBO | HateSauce,NAN,NAN,NAN,NAN,334.0,367.0,-33.0
28391,Vigilance,NAN,NAN,NAN,187.0,212.0,237.0,-25.0
