SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1
1077,Revenge | Gahtzu,1,1,2
3665,Younger,1,1,17
3734,Hulka,1,0,-1
3772,Arcadia,1,1,17
4176,NathanSandwich,1,0,-1
4205,a-on,1,0,-1
4390,CG | Jflex,1,1,5
5630,BKB! | stocmoney,1,0,-1
5724,Wassabi,1,0,-1
5869,Joey Bats,1,0,-1
7277,Crescent | JSalt,1,1,9
10485,DD,1,1,7
10529,The Leaf,1,1,7
10971,Brainless  | FLiiNcHy,1,1,17
11458,Tuesday,1,0,-1
12023,El Link,1,0,-1
12048,K8A,1,0,-1
12137,yingling,1,0,-1
12365,PW | Vincessant,1,0,-1
18652,LFTG | Logos,1,1,17
21405,Fire,1,0,-1
22088,Nebulous | Jib,1,0,-1
22458,Kandayo,1,0,-1
22595,Aura,1,0,-1
23501,Ratt,1,0,-1
23995,Forrest,1,0,-1
25351,Hell'sLabyrinth,1,0,-1
25810,Melee Stats | Pikachu942,1,0,-1
25916,redpandamaster,1,0,-1
26387,Phantom Airline,1,0,-1
26750,KoDoRiN,1,1,1
26920,Trash,1,0,-1
29840,TBD,1,0,-1
30804,Frap,1,0,-1
31487,Winx Club | Siddward,1,0,-1
32691,Blitzkrieg,1,0,-1
34694,flthd | flatline,1,0,-1
34902,Tanooki,1,0,-1
37116,GUG | Kürv,1,0,-1
38643,RedX,1,0,-1
40793,MGFC | JorDank,1,0,-1
41055,jacket,1,1,13
47650,shoelegend88,1,0,-1
50937,Wumbo,1,0,-1
51076,Power Kevin,1,0,-1
51373,prof,1,1,9
60696,FM | Cilan,1,0,-1
61570,YC | Peppi | | Pappi,1,1,5
64692,SANS | Blues Clues,1,1,9
103305,Dr. Lame,1,0,-1
129363,Flow | ESPONJA,1,0,-1
132938,RU | Midnight Blue,1,0,-1
151360,Inky,1,1,9
158213,LG | Louis,1,0,-1
159198,Pi2z,1,0,-1
183677,Yamasaki,1,0,-1
211440,Darrell,1,0,-1
213297,Chompy,1,0,-1
224897,AWaveDash,1,0,-1
226595,TourGuide,1,0,-1
232193,Chiefn_,1,0,-1
232446,ash6,1,0,-1
233059,Ribboned Ace,1,0,-1
245346,SIMP | Vagab0nd,1,0,-1
267849,TG | Mot$,1,1,4
268767,markrevival,1,0,-1
269238,91,1,0,-1
279107,Khryke,1,1,13
327350,lochist,1,0,-1
328736,SadSack,1,0,-1
466221,Melo,1,0,-1
472971,yBaS | MaxJacks,1,0,-1
512704,Axis,1,0,-1
519985,Marvelboy,1,0,-1
542693,Bbatts,1,0,-1
581039,I'm Michael BTW,1,1,13
657175,Bobakanoosh,1,0,-1
657711,PurpleZ,1,0,-1
694497,IMP | Ben,1,1,3
709843,Chem,1,0,-1
725014,charmell0,1,0,-1
725016,Dolfo,1,0,-1
834231,Jun,1,0,-1
836691,BeanBurrito-San,1,0,-1
875354,Penguin,1,0,-1
928066,Kelpo,1,0,-1
945542,KOA | youngbool,1,0,-1
1077796,FreeHops,1,0,-1
1149773,ali_,1,0,-1
1194651,gsm | Pound,1,0,-1
1248621,Anzeray,1,0,-1
1278457,Rocket,1,1,13
1375808,Epoodle,1,0,-1
1432189,nunoodle,1,0,-1
1451042,Deeb,1,0,-1
1598204,YoungHanSolo,1,0,-1
1640788,Special K,1,0,-1
1723399,jeddo,1,0,-1
1871538,Not_DuduTsai,1,0,-1
1940854,JoffDuchar,1,0,-1
1944467,SUPERUNKNOWN,1,0,-1
1957918,Cow,1,0,-1
1966716,LewdCelebs4Free,1,0,-1
1974127,aujory,1,0,-1
1974143,Jeem,1,0,-1
2029721,Ghost Rider,1,0,-1
2041350,2rk | Turok,1,0,-1
2084281,Keykey,1,0,-1
2093540,RitzyCheese,1,0,-1
2140092,Jet,1,0,-1
2146437,HaxMoneyHulkHogan,1,0,-1
2160161,GAS,1,0,-1
2170469,Golf,1,0,-1
2179108,Mud,1,0,-1
2192126,NattyIce,1,0,-1
2242538,Erica,1,0,-1
