Rank,RankChange,Tag,Wins,Losses,Win%,Bankroll Bills
1.0,-,bobby big ballz,18,8,69.23,818.0
2.0,-,KoDoRiN,21,4,84.0,626.0
3.0,2.0,Mango's Friend | Lucky,17,5,77.27,572.0
4.0,-1.0,Medz,22,11,66.67,437.0
5.0,1.0,NGG | Jflex,33,13,71.74,408.0
6.0,-2.0,Quaff,22,4,84.62,372.0
7.0,-,Westballz,26,4,86.67,331.0
8.0,1.0,Zeeker,39,19,67.24,319.0
9.0,-1.0,Soonsay,8,4,66.67,298.0
10.0,-,GUG | Kürv,40,13,75.47,280.0
11.0,5.0,ycz6,37,10,78.72,242.0
12.0,-1.0,Khryke,34,19,64.15,224.0
13.0,6.0,IMP | Ben,22,6,78.57,212.0
14.0,-2.0,LG | Ginger,4,2,66.67,189.0
15.0,-2.0,EP | Justus,36,12,75.0,186.0
16.0,-2.0,Lotfy,16,8,66.67,181.0
17.0,-2.0,HoG | Warmmer,28,7,80.0,178.0
18.0,-1.0,Krizski,14,7,66.67,154.0
19.0,-1.0,Younger,40,25,61.54,146.0
20.0,New,Revenge | Gahtzu,5,2,71.43,140.0
21.0,4.0,LFG | PanterA,13,7,65.0,133.0
22.0,1.0,yingling,43,33,56.58,123.0
22.0,-,Winx Club | Siddward,43,28,60.56,123.0
22.0,New,Drephen,13,3,81.25,123.0
25.0,11.0,PQ2 | CPU0,21,7,75.0,121.0
26.0,New,GST | Ryobeat,10,4,71.43,115.0
27.0,1.0,MIT | Fro116,27,11,71.05,112.0
27.0,-3.0,Jet,32,19,62.75,112.0
29.0,-9.0,Neologism,14,6,70.0,109.0
30.0,-9.0,Aura,2,2,50.0,107.0
30.0,New,SF | Herrán,17,7,70.83,107.0
32.0,-2.0,Bbatts,21,6,77.78,101.0
33.0,-1.0,SANS | Blues Clues,43,19,69.35,93.0
34.0,-8.0,LAG,22,7,75.86,87.0
35.0,3.0,Khoron | Oreo,44,37,54.32,84.0
36.0,-3.0,CRACKSHACK | Quiggles,27,17,61.36,77.0
37.0,-10.0,LAGr | Travioli,16,10,61.54,76.0
38.0,-9.0,Peppi | CrossFitJesus,13,3,81.25,73.0
39.0,-8.0,Elk G | Ivayne,25,9,73.53,71.0
40.0,5.0,Typhoon,15,7,68.18,70.0
41.0,-6.0,TBD,9,6,60.0,69.0
42.0,-8.0,BHC | Evan,8,4,66.67,63.0
43.0,2.0,Mud,40,35,53.33,61.0
43.0,109.0,akir,16,5,76.19,61.0
45.0,-9.0,LFG | Eddy Mexico,1,2,33.33,56.0
46.0,-4.0,RULES | Strazz,23,24,48.94,55.0
47.0,-2.0,Cowbell,28,16,63.64,54.0
48.0,7.0,DannyPhantom,22,12,64.71,52.0
49.0,-10.0,CowCowCowCowCow,13,10,56.52,49.0
50.0,1.0,Joey Bats,28,32,46.67,48.0
51.0,-11.0,I'm Michael BTW,12,6,66.67,47.0
51.0,-11.0,LFTG | Logos,12,5,70.59,47.0
53.0,-11.0,CREW | G,26,20,56.52,46.0
54.0,-10.0,Googlyeyed,9,4,69.23,44.0
55.0,2.0,Pipe,27,22,55.1,43.0
56.0,-1.0,Dream,17,3,85.0,42.0
56.0,-8.0,Frankhoe,17,9,65.38,42.0
58.0,-9.0,Willy P,21,14,60.0,41.0
59.0,-9.0,Dova,14,8,63.64,39.0
60.0,78.0,snacklepackle,16,18,47.06,38.0
61.0,-9.0,NOOT,12,3,80.0,37.0
62.0,52.0,SuperCuak,21,11,65.62,36.0
62.0,2.0,Yamasaki,20,10,66.67,36.0
64.0,-11.0,Faust,10,10,50.0,35.0
65.0,-11.0,Red Dead | Traplord,9,2,81.82,34.0
66.0,9.0,SC | Lad,16,6,72.73,31.0
66.0,9.0,Nebulous | Jib,16,9,64.0,31.0
66.0,-9.0,GNIK,16,10,61.54,31.0
69.0,-8.0,Uncle B,9,7,56.25,30.0
70.0,17.0,Miranda,18,15,54.55,29.0
70.0,New,FISA | JoJo,9,4,69.23,29.0
70.0,-11.0,Epoodle,8,10,44.44,29.0
73.0,-14.0,sad | UwUMysticalGirl,8,4,66.67,28.0
74.0,New,Toph,7,3,70.0,27.0
74.0,-13.0,donk,16,14,53.33,27.0
74.0,29.0,Seraph,17,13,56.67,27.0
77.0,-14.0,Neck,15,15,50.0,25.0
78.0,-14.0,shoelegend88,18,19,48.65,24.0
78.0,-14.0,620 | Megacaat,3,8,27.27,24.0
78.0,-14.0,Ribboned Ace,17,19,47.22,24.0
78.0,-14.0,slowtai,14,9,60.87,24.0
82.0,New,IWI | Marrgasm,13,7,65.0,23.0
82.0,New,Mr. Butterfly,13,7,65.0,23.0
82.0,-13.0,ight,17,21,44.74,23.0
82.0,-13.0,TZ | Morrito,13,9,59.09,23.0
86.0,43.0,Verdo,11,6,64.71,22.0
86.0,10.0,BuenasRetas | Cobs,15,18,45.45,22.0
86.0,New,Captain Pretzel,12,7,63.16,22.0
86.0,-15.0,Oaty,12,8,60.0,22.0
86.0,-15.0,Lamdin,12,6,66.67,22.0
86.0,-15.0,QTT | Marco,12,8,60.0,22.0
86.0,43.0,RU | Midnight Blue,12,10,54.55,22.0
86.0,-15.0,Gooms,12,8,60.0,22.0
86.0,43.0,PapaNoJohns,12,9,57.14,22.0
95.0,-20.0,Megaman,1,2,33.33,21.0
95.0,-20.0,cockbread,15,14,51.72,21.0
95.0,-20.0,Savestate,11,6,64.71,21.0
95.0,New,NJ | Tommy,11,7,61.11,21.0
95.0,-20.0,DD,10,5,66.67,21.0
95.0,1.0,JLo,17,32,34.69,21.0
95.0,-20.0,PurpleZ,11,4,73.33,21.0
102.0,-20.0,Lama,0,2,0.0,20.0
102.0,6.0,Fire,13,18,41.94,20.0
102.0,-20.0,Alextrer,0,2,0.0,20.0
102.0,-20.0,Tristan's Rule,10,4,71.43,20.0
102.0,-15.0,RE!GN,6,20,23.08,20.0
102.0,-20.0,Zhyrri,10,4,71.43,20.0
102.0,68.0,Maelstrom,14,18,43.75,20.0
109.0,29.0,LewdCelebs4Free,16,29,35.56,19.0
109.0,92.0,NS | Frog,13,14,48.15,19.0
109.0,-1.0,Flow | ESPONJA,13,13,50.0,19.0
109.0,New,INDY,9,7,56.25,19.0
109.0,-23.0,Umarth,9,4,69.23,19.0
114.0,-6.0,YBBT | leroydankins,11,15,42.31,18.0
114.0,-27.0,Crispy | Chango,8,1,88.89,18.0
114.0,48.0,KatBot,11,18,37.93,18.0
114.0,15.0,SLO | GrizzlyBair,8,4,66.67,18.0
114.0,24.0,RedX,16,19,45.71,18.0
114.0,-27.0,MMG | Seven,8,2,80.0,18.0
120.0,New,B0XX | Sicca,7,2,77.78,17.0
120.0,3.0,Help,10,14,41.67,17.0
120.0,-29.0,Krudo,7,0,100.0,17.0
120.0,-29.0,Noc,12,12,50.0,17.0
120.0,-29.0,Jr,7,3,70.0,17.0
120.0,-29.0,Golden,7,2,77.78,17.0
120.0,-29.0,Enemy,12,9,57.14,17.0
127.0,-31.0,Connor,6,1,85.71,16.0
127.0,117.0,Melo,10,9,52.63,16.0
127.0,-31.0,Fitz,10,15,40.0,16.0
127.0,-31.0,jams,11,7,61.11,16.0
127.0,-31.0,LFG | Fist Mexico,11,14,44.0,16.0
127.0,-31.0,Chem,6,1,85.71,16.0
133.0,-30.0,Higgins,9,9,50.0,15.0
133.0,-19.0,Floods,2,31,6.06,15.0
133.0,-30.0,E-tie,5,1,83.33,15.0
133.0,-30.0,Crow,9,18,33.33,15.0
