Rank,Tag,Wins,Losses,Win%,Bankroll Bills
1.0,Mango's Friend | Lucky,8,1,88.89,218.0
2.0,KoDoRiN,10,2,83.33,195.0
3.0,bobby big ballz,3,2,60.0,163.0
4.0,Revenge | Gahtzu,5,2,71.43,140.0
5.0,Drephen,13,3,81.25,123.0
6.0,GST | Ryobeat,10,4,71.43,115.0
7.0,SF | Herrán,17,7,70.83,107.0
8.0,IMP | Ben,10,3,76.92,95.0
9.0,ycz6,12,2,85.71,72.0
10.0,PQ2 | CPU0,10,2,83.33,65.0
11.0,NGG | Jflex,3,2,60.0,58.0
12.0,Medz,1,2,33.33,56.0
13.0,akir,12,5,70.59,52.0
14.0,GUG | Kürv,13,6,68.42,48.0
15.0,LFG | PanterA,10,5,66.67,45.0
16.0,Zeeker,9,4,69.23,44.0
17.0,MIT | Fro116,12,5,70.59,37.0
18.0,Bbatts,9,3,75.0,29.0
18.0,Khoron | Oreo,9,6,60.0,29.0
18.0,FISA | JoJo,9,4,69.23,29.0
21.0,snacklepackle,8,4,66.67,28.0
22.0,Typhoon,7,4,63.64,27.0
22.0,Toph,7,3,70.0,27.0
24.0,SANS | Blues Clues,15,7,68.18,25.0
25.0,yingling,14,11,56.0,24.0
26.0,IWI | Marrgasm,13,7,65.0,23.0
26.0,Mr. Butterfly,13,7,65.0,23.0
26.0,SuperCuak,13,6,68.42,23.0
29.0,Captain Pretzel,12,7,63.16,22.0
30.0,Jet,11,6,64.71,21.0
30.0,NJ | Tommy,11,7,61.11,21.0
32.0,DannyPhantom,10,6,62.5,20.0
33.0,Winx Club | Siddward,9,6,60.0,19.0
33.0,INDY,9,7,56.25,19.0
35.0,Mud,13,14,48.15,18.0
36.0,B0XX | Sicca,7,2,77.78,17.0
37.0,NS | Frog,10,9,52.63,15.0
38.0,Melo,9,8,52.94,14.0
39.0,Maelstrom,8,7,53.33,13.0
39.0,Chance,8,8,50.0,13.0
39.0,MDF | Amor,8,4,66.67,13.0
39.0,CRACKSHACK | Quiggles,8,6,57.14,13.0
43.0,Pipe,7,4,63.64,12.0
43.0,AR0,7,6,53.85,12.0
43.0,Yamasaki,7,4,63.64,12.0
43.0,Seraph,7,5,58.33,12.0
47.0,Cowbell,6,4,60.0,11.0
