Rank,Tag,Wins,Losses,Win%,Bankroll Bills
1.0,Quaff,7,1,87.5,217.0
2.0,bobby big ballz,4,2,66.67,189.0
3.0,GUG | Kürv,14,3,82.35,179.0
4.0,Medz,16,5,76.19,156.0
5.0,ycz6,14,4,77.78,124.0
6.0,NGG | Jflex,12,3,80.0,117.0
7.0,EP | Justus,11,4,73.33,96.0
8.0,Zeeker,10,4,71.43,95.0
9.0,Fro116,15,6,71.43,75.0
10.0,LAG,9,2,81.82,64.0
11.0,Krizski,1,2,33.33,56.0
11.0,Lotfy,1,2,33.33,56.0
11.0,Younger,16,8,66.67,56.0
14.0,HOLD$DOGE | Crypto Quiggles,8,4,66.67,43.0
14.0,Typhoon,8,3,72.73,43.0
14.0,CowCowCowCowCow,8,4,66.67,43.0
17.0,Khryke,12,5,70.59,37.0
18.0,yingling,8,4,66.67,28.0
19.0,Frankhoe,7,3,70.0,27.0
20.0,Willy P,12,9,57.14,22.0
21.0,Neologism,11,4,73.33,21.0
21.0,Cowbell,11,5,68.75,21.0
21.0,SC | Lad,11,4,73.33,21.0
21.0,Savestate,11,6,64.71,21.0
25.0,Zhyrri,10,4,71.43,20.0
25.0,Elk G | Ivayne,10,3,76.92,20.0
27.0,SANS | Blues Clues,9,1,90.0,19.0
28.0,CREW | G,7,3,70.0,17.0
28.0,Golden,7,2,77.78,17.0
30.0,shoelegend88,11,10,52.38,16.0
31.0,E-tie,5,1,83.33,15.0
31.0,KG/SBC | Oreo,10,8,55.56,15.0
31.0,Siddward,10,9,52.63,15.0
34.0,Joey Bats,9,10,47.37,14.0
34.0,Flow | ESPONJA,9,8,52.94,14.0
36.0,Jakespeare,8,10,44.44,13.0
36.0,slowtai,8,6,57.14,13.0
38.0,cockbread,7,6,53.85,12.0
38.0,Fitz,7,7,50.0,12.0
38.0,Crow,7,4,63.64,12.0
38.0,Jet,7,4,63.64,12.0
42.0,Neck,6,6,50.0,11.0
42.0,Nebulous | Jib,6,4,60.0,11.0
42.0,PapaNoJohns,6,5,54.55,11.0
42.0,Higgins,6,5,54.55,11.0
42.0,DD,6,3,66.67,11.0
42.0,Asus(4),6,3,66.67,11.0
48.0,Yamasaki,5,2,71.43,10.0
48.0,QTT | Marco,5,3,62.5,10.0
48.0,Fire,5,3,62.5,10.0
48.0,Baja,5,4,55.56,10.0
48.0,Nard Dawg,5,2,71.43,10.0
48.0,Help,5,4,55.56,10.0
54.0,JFIRE,8,10,44.44,9.0
54.0,Calvin,8,11,42.11,9.0
54.0,unlimited boy,8,10,44.44,9.0
54.0,BuenasRetas | Cobs,4,2,66.67,9.0
54.0,Mud,8,9,47.06,9.0
59.0,CSTR#106 | Strazz,7,7,50.0,8.0
59.0,Verdo,3,1,75.0,8.0
59.0,ight,7,13,35.0,8.0
62.0,Ribboned Ace,6,6,50.0,7.0
62.0,91,6,6,50.0,7.0
62.0,Connor,2,0,100.0,7.0
62.0,Miranda,6,6,50.0,7.0
66.0,STP,5,6,45.45,6.0
66.0,Pipe,5,6,45.45,6.0
68.0,Rickeye_rick,4,8,33.33,5.0
68.0,PP | rocky,4,5,44.44,5.0
68.0,will1v1_ttv,4,5,44.44,5.0
68.0,snacklepackle,4,5,44.44,5.0
68.0,Reaver_King,4,9,30.77,5.0
68.0,DMT,4,5,44.44,5.0
68.0,Rodney,4,4,50.0,5.0
68.0,Layer,4,8,33.33,5.0
68.0,BEBO,4,12,25.0,5.0
77.0,Moonking34,3,6,33.33,4.0
77.0,Crow,3,11,21.43,4.0
77.0,Logan,3,4,42.86,4.0
77.0,Hexjo,3,2,60.0,4.0
77.0,FestivalDeLaCombo,3,4,42.86,4.0
77.0,Silkylaroux,3,3,50.0,4.0
77.0,geg :),3,5,37.5,4.0
77.0,JLo,3,6,33.33,4.0
77.0,FlLFFl,3,4,42.86,4.0
77.0,NS | Frog,3,5,37.5,4.0
87.0,Raffshot,2,10,16.67,3.0
87.0,Kawaii Kid | King Salmon,2,4,33.33,3.0
87.0,K.H.D | Reign,2,2,50.0,3.0
87.0,Quadragesimus,2,2,50.0,3.0
87.0,Godslayer903,2,5,28.57,3.0
87.0,SUPERUNKNOWN,2,2,50.0,3.0
87.0,Old McJonald,2,6,25.0,3.0
87.0,sisig,2,10,16.67,3.0
87.0,Electroman,2,4,33.33,3.0
87.0,620 | Megacaat,2,6,25.0,3.0
87.0,MaxJacks,2,2,50.0,3.0
98.0,Bebop,1,7,12.5,2.0
98.0,ericiscool.net,1,1,50.0,2.0
98.0,$W@6 | rocketf20,1,4,20.0,2.0
98.0,Nudepenguin,1,3,25.0,2.0
98.0,KatBot,1,5,16.67,2.0
98.0,Spi,1,12,7.69,2.0
98.0,Jquinnsweg,1,4,20.0,2.0
98.0,100 Days Of Solitude,1,0,100.0,2.0
98.0,Melo,1,1,50.0,2.0
98.0,deep_cuts,1,7,12.5,2.0
98.0,Kandayo,1,0,100.0,2.0
98.0,rice,1,17,5.56,2.0
98.0,Ari,1,5,16.67,2.0
98.0,Special K,1,7,12.5,2.0
98.0,Zakqary,1,9,10.0,2.0
113.0,pathojin,0,4,0.0,1.0
113.0,Sav,0,4,0.0,1.0
113.0,markrevival,0,3,0.0,1.0
113.0,A HUMAN | Agile,0,5,0.0,1.0
113.0,trades,0,6,0.0,1.0
113.0,hellojoe34,0,2,0.0,1.0
113.0,ASAPferq,0,4,0.0,1.0
113.0,Team Roz | aujory,0,3,0.0,1.0
113.0,PeS | Puppy,0,1,0.0,1.0
113.0,Flippy,0,1,0.0,1.0
113.0,roadkill,0,2,0.0,1.0
113.0,Floods,0,12,0.0,1.0
113.0,JC,0,5,0.0,1.0
113.0,Dark Oreo Master,0,2,0.0,1.0
