Rank,Tag,Wins,Losses,Win%,Bankroll Bills
1.0,KoDoRiN,6,1,85.71,216
2.0,IMP | Ben,4,2,66.67,189
3.0,NGG | Jflex,6,2,75.0,166
4.0,Goosekhan,5,2,71.43,140
5.0,bobby big ballz,2,2,50.0,107
5.0,Mango's Friend | Lucky,2,2,50.0,107
7.0,The Leaf,3,2,60.0,88
8.0,TG | Mot$,2,2,50.0,87
9.0,TG NBR | Panayiotis,3,2,60.0,58
9.0,GUG | Kürv,3,2,60.0,58
9.0,Traplord,3,2,60.0,58
12.0,Anchovy,2,2,50.0,57
13.0,LG | Louis,2,2,50.0,37
13.0,Ober,2,2,50.0,37
15.0,Peppi | CrossFitJesus,1,2,33.33,36
15.0,Aura,1,2,33.33,36
17.0,PQ2 | CPU0,1,2,33.33,21
17.0,LAG,1,2,33.33,21
19.0,Younger,0,2,0.0,20
19.0,Winx Club | Siddward,0,2,0.0,20
19.0,Umarth,0,2,0.0,20
19.0,ZOOK | Suezo,0,2,0.0,20
19.0,SANS | Blues Clues,0,2,0.0,20
19.0,Ghost Rider,0,2,0.0,20
25.0,Quaff,0,2,0.0,10
