Rank,Tag,Wins,Losses,Win%,Bankroll Bills
1.0,IMP | Ben,14,0,100.0,229.0
2.0,Smashdaddy,15,2,88.24,205.0
3.0,bobby big ballz,3,2,60.0,163.0
4.0,FreeMelee | Zuppy,10,3,76.92,145.0
5.0,Slowking,15,4,78.95,125.0
6.0,Zeeker,3,2,60.0,108.0
7.0,GUG | Kürv,14,5,73.68,104.0
8.0,RCS | Chi,12,4,75.0,97.0
9.0,Tommy,16,7,69.57,76.0
9.0,Redcoat,16,7,69.57,76.0
11.0,Anchovy,13,2,86.67,73.0
12.0,Bbatts,12,5,70.59,52.0
13.0,K8A,11,4,73.33,51.0
14.0,Jflex,2,3,40.0,48.0
15.0,Crow,9,3,75.0,44.0
16.0,Typhoon,8,3,72.73,43.0
17.0,Neologism,9,4,69.23,29.0
18.0,Elysian,8,5,61.54,28.0
18.0,EP | Justus,8,3,72.73,28.0
20.0,Peppi | CrossFitJesus,9,0,100.0,24.0
21.0,Phantom Airline,13,9,59.09,23.0
22.0,Epoodle,12,5,70.59,22.0
22.0,PQ2 | CPU0,12,5,70.59,22.0
22.0,TBD,12,7,63.16,22.0
25.0,Mootook,10,6,62.5,20.0
26.0,SANS | Blues Clues,9,1,90.0,19.0
26.0,B0XX | Sicca,14,12,53.85,19.0
26.0,Schnurb,9,4,69.23,19.0
29.0,Chance,8,5,61.54,18.0
29.0,OtES,8,4,66.67,18.0
29.0,NathanSandwich,8,5,61.54,18.0
29.0,INDY,13,12,52.0,18.0
29.0,TR | Lunez,8,4,66.67,18.0
29.0,I'm Michael BTW,8,3,72.73,18.0
35.0,CRACKSHACK | Quiggles,7,4,63.64,17.0
35.0,Sneakywill,7,2,77.78,17.0
37.0,Spiral Cafe | Krudo,5,0,100.0,15.0
37.0,Scar,5,1,83.33,15.0
39.0,Jet,9,7,56.25,14.0
40.0,Chompy,8,9,47.06,13.0
40.0,ycz6,8,5,61.54,13.0
40.0,Chet,8,4,66.67,13.0
43.0,RustyTrombone,7,4,63.64,12.0
43.0,thicceon,7,4,63.64,12.0
43.0,B0XX | ADMJ,7,6,53.85,12.0
43.0,LAGr | Travioli,7,5,58.33,12.0
47.0,NSB  |  KXT,6,5,54.55,11.0
47.0,Coco,6,4,60.0,11.0
47.0,CarbonDog,6,4,60.0,11.0
47.0,Talen,6,4,60.0,11.0
47.0,sfy | Fizz,6,6,50.0,11.0
47.0,Aura,6,4,60.0,11.0
47.0,Yamasaki,6,4,60.0,11.0
47.0,Jpeg | RC,6,4,60.0,11.0
47.0,Dirty Lasagna,6,4,60.0,11.0
56.0,Rome0,5,11,31.25,10.0
56.0,EASTJ | Mike,9,14,39.13,10.0
56.0,Joey Bats,5,3,62.5,10.0
56.0,NS | Frog,5,4,55.56,10.0
56.0,Flow | ESPONJA,5,4,55.56,10.0
56.0,FendrickLamar,5,2,71.43,10.0
56.0,Melee Stats | Ambisinister,5,1,83.33,10.0
56.0,TheFormuoli,5,2,71.43,10.0
56.0,JoJoMyth,5,5,50.0,10.0
56.0,RedX,9,9,50.0,10.0
66.0,092 | LXIX,4,4,50.0,9.0
66.0,LewdCelebs4Free,8,13,38.1,9.0
66.0,KatBot,8,11,42.11,9.0
66.0,Fasthands,4,3,57.14,9.0
66.0,Simon,4,4,50.0,9.0
71.0,Maelstrom,7,10,41.18,8.0
71.0,N8v,3,1,75.0,8.0
71.0,Chaboomba,7,7,50.0,8.0
71.0,Flow | Stark,3,2,60.0,8.0
71.0,Pulch,7,8,46.67,8.0
76.0,Moist | kennypenny,6,13,31.58,7.0
77.0,DumpyComb,5,9,35.71,6.0
77.0,Winx Club | Siddward,5,6,45.45,6.0
79.0,Khoron | Oreo,4,5,44.44,5.0
79.0,SquidTheCat,4,5,44.44,5.0
79.0,FlLFFl,4,6,40.0,5.0
79.0,RULES | Strazz,4,5,44.44,5.0
79.0,Pound,4,7,36.36,5.0
79.0,shoelegend88,4,4,50.0,5.0
85.0,TourGuide,3,3,50.0,4.0
85.0,Help,3,4,42.86,4.0
85.0,Nebulous | Jib,3,5,37.5,4.0
85.0,ight,3,4,42.86,4.0
85.0,hestoned,3,4,42.86,4.0
85.0,Echo_SSBM | Commas,3,2,60.0,4.0
85.0,jatpuan,3,4,42.86,4.0
85.0,Zuber,3,4,42.86,4.0
85.0,omnijr,3,11,21.43,4.0
85.0,FoUr,3,4,42.86,4.0
85.0,Mo $,3,5,37.5,4.0
85.0,PLEB | Capy,3,6,33.33,4.0
97.0,Danimals,2,3,40.0,3.0
97.0,Aldito1469,2,4,33.33,3.0
97.0,Thumos,2,7,22.22,3.0
97.0,theassistant,2,3,40.0,3.0
97.0,Solomon,2,2,50.0,3.0
97.0,doctahdylan,2,4,33.33,3.0
97.0,WA | AodhaN,2,2,50.0,3.0
97.0,Spi,2,8,20.0,3.0
97.0,IHOP Dan,2,2,50.0,3.0
97.0,pointykitty,2,6,25.0,3.0
97.0,IDK,2,7,22.22,3.0
97.0,Fiyah,2,12,14.29,3.0
97.0,WU | nerodero,2,1,66.67,3.0
97.0,jtetter,2,6,25.0,3.0
