Rank,RankChange,Tag,Wins,Losses,Win%,Bankroll Bills
1.0,-,bobby big ballz,13,4,76.47,568.0
2.0,-,Quaff,22,4,84.62,372.0
3.0,6.0,Medz,19,7,73.08,294.0
4.0,-,Jflex,27,9,75.0,292.0
5.0,3.0,Zeeker,22,9,70.97,217.0
6.0,New,KoDoRiN,5,1,83.33,215.0
7.0,9.0,Khryke,34,17,66.67,204.0
8.0,-5.0,Soonsay,6,2,75.0,191.0
9.0,New,Mango's Friend | Lucky,5,2,71.43,190.0
10.0,-5.0,Lotfy,16,8,66.67,181.0
11.0,-5.0,GUG | Kürv,14,3,82.35,179.0
12.0,-5.0,Westballz,12,2,85.71,177.0
13.0,-3.0,Krizski,14,7,66.67,154.0
14.0,-3.0,EP | Justus,25,10,71.43,135.0
15.0,-2.0,Younger,31,17,64.58,131.0
16.0,-4.0,ycz6,14,4,77.78,124.0
17.0,29.0,Neologism,14,6,70.0,109.0
18.0,-4.0,Aura,2,2,50.0,107.0
19.0,-4.0,HoG | Warmmer,14,4,77.78,104.0
20.0,New,LFG | PanterA,3,2,60.0,88.0
21.0,-4.0,LAG,22,7,75.86,87.0
22.0,3.0,yingling,19,12,61.29,84.0
23.0,9.0,Winx Club | Siddward,26,20,56.52,76.0
24.0,-6.0,Fro116,15,6,71.43,75.0
25.0,-6.0,Bbatts,12,3,80.0,72.0
26.0,51.0,Jet,10,6,62.5,70.0
27.0,-5.0,Elk G | Ivayne,24,8,75.0,69.0
28.0,-8.0,HOLD$DOGE | Crypto Quiggles,19,11,63.33,64.0
29.0,-8.0,BHC | Evan,8,4,66.67,63.0
30.0,New,TBD,3,2,60.0,58.0
31.0,New,LFG | Eddy Mexico,1,2,33.33,56.0
32.0,-10.0,CowCowCowCowCow,13,10,56.52,49.0
33.0,-9.0,SANS | Blues Clues,18,6,75.0,48.0
33.0,51.0,LAGr | Travioli,8,6,57.14,48.0
35.0,-10.0,LFTG | Logos,12,5,70.59,47.0
36.0,-9.0,Googlyeyed,9,4,69.23,44.0
37.0,-9.0,Typhoon,8,3,72.73,43.0
38.0,-9.0,Frankhoe,17,9,65.38,42.0
39.0,-9.0,Willy P,21,14,60.0,41.0
39.0,11.0,CSTR#106 | Strazz,15,14,51.72,41.0
41.0,-10.0,KG/SBC | Oreo,25,20,55.56,40.0
42.0,-10.0,Cowbell,19,8,70.37,39.0
43.0,New,PQ2 | CPU0,2,2,50.0,37.0
44.0,-10.0,CREW | G,20,14,58.82,35.0
45.0,-10.0,Red Dead | Traplord,9,2,81.82,34.0
46.0,-10.0,sad | UwUMysticalGirl,8,4,66.67,28.0
47.0,-10.0,Joey Bats,16,16,50.0,26.0
48.0,-10.0,Neck,15,15,50.0,25.0
49.0,-10.0,shoelegend88,18,19,48.65,24.0
49.0,103.0,620 | Megacaat,3,8,27.27,24.0
51.0,-11.0,TZ | Morrito,13,9,59.09,23.0
51.0,-11.0,ight,17,21,44.74,23.0
53.0,-11.0,Mud,16,15,51.61,22.0
53.0,-11.0,QTT | Marco,12,8,60.0,22.0
53.0,-11.0,Lamdin,12,6,66.67,22.0
53.0,-11.0,Oaty,12,8,60.0,22.0
57.0,-11.0,Nebulous | Jib,11,7,61.11,21.0
57.0,New,Megaman,1,2,33.33,21.0
57.0,-11.0,Savestate,11,6,64.71,21.0
57.0,-11.0,SC | Lad,11,4,73.33,21.0
61.0,New,Lama,0,2,0.0,20.0
61.0,-11.0,Yamasaki,10,4,71.43,20.0
61.0,-11.0,Tristan's Rule,10,4,71.43,20.0
61.0,New,Alextrer,0,2,0.0,20.0
61.0,-11.0,Zhyrri,10,4,71.43,20.0
61.0,New,Faust,0,2,0.0,20.0
67.0,-13.0,Pipe,13,13,50.0,19.0
67.0,-13.0,Ribboned Ace,13,12,52.0,19.0
69.0,-13.0,Miranda,12,9,57.14,18.0
