SmasherID,SmashTag,Wins,Losses,Prospect,Rookie,Pro,AllStar,HallOfFame,Placement,Coast
37116,GUG | Kürv,11,1,0,0,0,1,0,1,WC
40476,Medz,13,3,0,0,0,1,0,2,WC
2088,ycz6,11,2,0,0,0,1,0,3,WC
173178,LAG,8,0,0,0,1,0,0,4,WC
64692,SANS | Blues Clues,9,1,0,0,1,0,0,5,WC
12137,yingling,8,2,0,0,1,0,0,6,WC
279722,EP | Justus,8,2,0,0,1,0,0,6,WC
10362,Elk G | Ivayne,10,3,0,0,1,0,0,8,WC
4394,Zhyrri,10,4,0,0,1,0,0,9,WC
221423,Typhoon,7,1,0,0,1,0,0,10,WC
15298,Cowbell,11,5,0,0,1,0,0,11,WC
10485,DD,6,3,0,1,0,0,0,12,WC
2140092,Jet,7,4,0,1,0,0,0,13,WC
10520,CREW | G,7,3,0,0,1,0,0,14,WC
183677,Yamasaki,5,2,0,1,0,0,0,15,WC
1228401,Asus(4),6,3,0,1,0,0,0,16,WC
28663,QTT | Marco,5,3,0,1,0,0,0,17,WC
13746,Baja,5,4,0,1,0,0,0,18,WC
129363,Flow | ESPONJA,9,8,0,1,0,0,0,19,WC
34399,BuenasRetas | Cobs,4,2,0,1,0,0,0,20,WC
21405,Fire,5,3,0,1,0,0,0,21,WC
2147280,slowtai,8,6,0,1,0,0,0,22,WC
378512,KG/SBC | Oreo,10,8,0,1,0,0,0,23,WC
10060,PapaNoJohns,6,5,0,1,0,0,0,24,WC
520837,Neck,6,6,0,1,0,0,0,25,WC
233059,Ribboned Ace,6,6,1,0,0,0,0,25,WC
627118,Pipe,5,6,1,0,0,0,0,27,WC
231685,DMT,4,5,1,0,0,0,0,28,WC
1092,Connor,2,0,0,1,0,0,0,29,WC
13765,Help,5,4,0,1,0,0,0,30,WC
135795,cockbread,7,6,0,1,0,0,0,31,WC
18722,K.H.D | Reign,2,2,1,0,0,0,0,32,WC
4876,will1v1_ttv,4,5,1,0,0,0,0,33,WC
274941,unlimited boy,8,10,1,0,0,0,0,33,WC
47501,PP | rocky,4,5,1,0,0,0,0,33,WC
436506,FestivalDeLaCombo,3,4,1,0,0,0,0,36,WC
254673,Layer,4,8,1,0,0,0,0,37,WC
360229,BEBO,4,12,1,0,0,0,0,38,WC
1940641,100 Days Of Solitude,1,0,1,0,0,0,0,39,WC
22458,Kandayo,1,0,1,0,0,0,0,39,WC
269238,91,6,6,1,0,0,0,0,41,WC
472971,MaxJacks,2,2,1,0,0,0,0,41,WC
466221,Melo,1,1,1,0,0,0,0,41,WC
2149456,Quadragesimus,2,2,1,0,0,0,0,41,WC
1053605,JFIRE,8,10,1,0,0,0,0,45,WC
147423,FlLFFl,3,4,1,0,0,0,0,46,WC
1753671,Moonking34,3,6,1,0,0,0,0,47,WC
