SmasherID,SmashTag,Wins,Losses,Placement
13932,Mango's Friend | Lucky,8,1,1
26750,KoDoRiN,4,2,2
65777,bobby big ballz,3,2,3
1077,Revenge | Gahtzu,5,2,4
6839,Drephen,2,2,5
4748,GST | Ryobeat,2,2,5
10666,SF | Herrán,4,2,7
694497,IMP | Ben,2,2,7
395730,PQ2 | CPU0,2,2,9
2088,ycz6,3,2,9
4390,NGG | Jflex,3,2,9
40476,Medz,1,2,9
135088,LFG | PanterA,1,2,13
37116,GUG | Kürv,2,2,13
144798,akir,1,2,13
221136,Zeeker,1,2,13
50933,MIT | Fro116,0,2,17
4127,Toph,0,2,17
542693,Bbatts,1,2,17
862074,snacklepackle,0,2,17
378512,Khoron | Oreo,0,2,17
221423,Typhoon,0,2,17
162779,FISA | JoJo,0,2,17
