SmasherID,SmashTag,Wins,Losses,Placement
65777,bobby big ballz,5,0,1
324561,Soonsay,6,2,2
1008,Westballz,3,2,3
44671,Quaff,4,2,4
46349,Aura,2,2,5
257406,Lotfy,2,2,5
852916,Krizski,3,2,7
136379,HoG | Warmmer,2,2,7
542693,Bbatts,2,2,9
70796,BHC | Evan,2,2,9
221136,Zeeker,2,2,9
4390,NGG | Jflex,1,2,9
279107,Khryke,1,2,13
36532,Googlyeyed,1,2,13
3665,Younger,1,2,13
18652,LFTG | Logos,1,2,13
49711,sad | UwUMysticalGirl,0,2,17
64692,SANS | Blues Clues,0,2,17
279722,EP | Justus,0,2,17
54824,Red Dead | Traplord,0,2,17
