SmasherID,SmashTag,Wins,Losses,Placement
1077,Revenge | Gahtzu,5,0,1
694497,IMP | Ben,4,2,2
61570,YC | Peppi | | Pappi,4,2,3
65777,bobby big ballz,3,2,4
37116,Kürv,3,2,5
182665,Elysian,4,2,5
46962,LeZagna,3,2,7
3665,Younger,4,2,7
14592,ZOOK | Suezo,2,2,9
2029721,Ghost Rider,3,2,9
41374,Anchovy,1,2,9
64692,SANS | Blues Clues,1,2,9
709843,Chem,0,2,13
4176,NathanSandwich,1,2,13
15070,Verdo,1,2,13
12137,yingling,1,2,13
1375808,Epoodle,0,2,17
329361,ijw,0,2,17
26387,Phantom Airline,0,2,17
34902,Tanooki,0,2,17
50933,MIT | Fro116,0,2,17
