SmasherID,SmashTag,Wins,Losses,Prospect,Rookie,Pro,AllStar,HallOfFame,Placement,Coast
10666,SF | Herrán,13,5,0,0,0,1,0,1,WC
2088,ycz6,9,0,0,0,0,1,0,2,WC
37116,GUG | Kürv,11,4,0,0,1,0,0,3,WC
395730,PQ2 | CPU0,8,0,0,0,1,0,0,4,WC
62626,SuperCuak,13,6,0,0,1,0,0,5,WC
64692,SANS | Blues Clues,15,7,0,0,1,0,0,6,WC
135088,LFG | PanterA,9,3,0,0,1,0,0,7,WC
327212,IWI | Marrgasm,13,7,0,0,1,0,0,8,WC
890721,Mr. Butterfly,13,7,0,0,1,0,0,8,WC
12137,yingling,14,11,0,0,1,0,0,10,WC
26750,KoDoRiN,6,0,0,0,1,0,0,11,WC
4127,Toph,7,1,0,0,1,0,0,12,WC
2140092,Jet,11,6,0,0,1,0,0,13,WC
221423,Typhoon,7,2,0,0,1,0,0,14,WC
39235,Dream,5,2,0,1,0,0,0,15,WC
378512,Khoron | Oreo,9,4,0,0,1,0,0,16,WC
37865,INDY,9,7,0,0,1,0,0,17,WC
466221,Melo,9,8,0,1,0,0,0,18,WC
627118,Pipe,7,4,0,1,0,0,0,19,WC
259856,Seraph,7,5,0,1,0,0,0,20,WC
61570,YC | Peppi | | Pappi,3,0,0,1,0,0,0,21,WC
183677,Yamasaki,7,4,0,1,0,0,0,22,WC
10060,PapaNoJohns,6,4,0,1,0,0,0,23,WC
29840,TBD,6,4,0,1,0,0,0,23,WC
132938,RU | Midnight Blue,6,5,0,1,0,0,0,25,WC
230350,AR0,7,6,0,1,0,0,0,26,WC
618813,Chance,8,8,0,1,0,0,0,27,WC
16164,Kitsune,2,0,0,1,0,0,0,28,WC
858866,SLO | GrizzlyBair,2,0,0,1,0,0,0,28,WC
525553,jerma985,3,1,0,1,0,0,0,30,WC
3949,Project Pat,2,1,0,1,0,0,0,31,WC
15298,Cowbell,6,4,0,1,0,0,0,32,WC
1906382,KatBot,5,4,0,1,0,0,0,33,WC
38643,RedX,7,7,1,0,0,0,0,34,WC
13765,Help,4,4,1,0,0,0,0,34,WC
129363,Flow | ESPONJA,4,5,1,0,0,0,0,36,WC
22458,Kandayo,3,4,1,0,0,0,0,37,WC
