SmasherID,SmashTag,Wins,Losses,Placement
26750,KoDoRiN,6,1,1
3561,LG | Ginger,4,2,2
13932,Mango's Friend | Lucky,4,2,3
1008,Westballz,5,2,4
324561,Soonsay,2,2,5
694497,IMP | Ben,3,2,5
65777,bobby big ballz,2,2,7
40476,Medz,2,2,7
136379,HoG | Warmmer,3,2,9
22479,Peppi | CrossFitJesus,3,2,9
221136,Zeeker,2,2,9
4390,NGG | Jflex,3,2,9
2088,ycz6,2,2,13
279722,EP | Justus,2,2,13
37116,GUG | Kürv,2,2,13
581039,I'm Michael BTW,2,2,13
279107,Khryke,0,2,17
31487,Winx Club | Siddward,0,2,17
531485,Dova,0,2,17
265808,NOOT,1,2,17
2111039,Uncle B,0,2,17
215584,LAGr | Travioli,0,2,17
491552,DannyPhantom,1,2,17
1375808,Epoodle,0,2,17
2189946,GNIK,0,2,25
