SmasherID,SmashTag,Wins,Losses,Placement
1077,Revenge | Gahtzu,5,0,1
26750,KoDoRiN,5,2,2
694497,IMP | Ben,3,2,3
1019,CLG | SFAT,3,2,4
324561,Soonsay,3,2,5
267849,TG | Mot$,3,2,5
37116,Kürv,2,2,7
18652,LFTG | Logos,2,2,7
221423,Typhoon,2,2,9
890721,Mr. Butterfly,2,2,9
16066,TG NBR | Panayiotis,2,2,9
64692,SANS | Blues Clues,2,2,9
211440,Darrell,1,2,13
14592,ZOOK | Suezo,1,2,13
1601,FendrickLamar,1,2,13
4390,NGG | Jflex,1,2,13
10487,KELLZ,0,2,17
539984,Ahmad,1,2,17
12048,K8A,1,2,17
325974,SDJ,0,2,17
22479,Peppi | CrossFitJesus,0,2,17
