SmasherID,SmashTag,BWeek1,BWeek2,BWeek3,BWeek4,BWeek5,BWeek6,BWeek7,BWeek8
135088,LFG | PanterA,NAN,NAN,88.0,88.0,133.0,133.0,133.0,133.0
135795,cockbread,NAN,12.0,12.0,21.0,21.0,21.0,21.0,21.0
136379,HoG | Warmmer,104.0,104.0,104.0,178.0,178.0,178.0,178.0,178.0
137480,Jpeg | RC,NAN,NAN,NAN,NAN,NAN,11.0,11.0,11.0
138710,Golden,NAN,17.0,17.0,17.0,17.0,17.0,17.0,17.0
144133,YBBT | leroydankins,5.0,5.0,5.0,14.0,18.0,18.0,23.0,23.0
144798,akir,9.0,9.0,9.0,9.0,61.0,61.0,61.0,61.0
145075,blazerboy,NAN,NAN,NAN,1.0,2.0,2.0,2.0,2.0
145567,Biggestbrain,NAN,NAN,NAN,NAN,NAN,NAN,6.0,6.0
147423,FlLFFl,NAN,4.0,4.0,4.0,4.0,9.0,9.0,9.0
147424,Spiral Cafe | Krudo,NAN,NAN,NAN,17.0,17.0,32.0,56.0,56.0
148021,Rodney,NAN,5.0,5.0,5.0,5.0,5.0,5.0,5.0
149076,Fiyah,NAN,NAN,NAN,NAN,NAN,3.0,3.0,3.0
149952,Jakespeare,NAN,13.0,13.0,13.0,13.0,13.0,13.0,13.0
150851,Ath | Bumble,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
152800,wally,NAN,NAN,NAN,5.0,5.0,5.0,5.0,5.0
153138,ZouL,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
153334,Silkylaroux,9.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
153599,NS | Frog,NAN,4.0,4.0,4.0,19.0,29.0,29.0,29.0
157615,ight,15.0,23.0,23.0,23.0,23.0,27.0,27.0,27.0
158213,LG | Louis,NAN,NAN,NAN,NAN,NAN,NAN,NAN,37.0
158524,Oferton,8.0,8.0,8.0,8.0,8.0,8.0,18.0,18.0
162779,FISA | JoJo,NAN,NAN,NAN,NAN,29.0,29.0,29.0,29.0
170788,TSI | Zane,NAN,NAN,NAN,NAN,NAN,NAN,4.0,4.0
171201,Mootook,NAN,NAN,NAN,NAN,NAN,20.0,20.0,20.0
172046,Saya | QQQ#348,NAN,NAN,NAN,NAN,NAN,2.0,2.0,2.0
172608,Churro,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
172811,Amity,NAN,NAN,NAN,4.0,4.0,4.0,4.0,4.0
173178,LAG,23.0,87.0,87.0,87.0,87.0,87.0,87.0,108.0
175446,DJAN,NAN,NAN,NAN,NAN,2.0,2.0,2.0,2.0
175629,WRLD,NAN,NAN,NAN,6.0,6.0,6.0,6.0,6.0
176387,Badboi,NAN,NAN,NAN,10.0,10.0,10.0,10.0,10.0
179962,Fran,NAN,NAN,NAN,NAN,5.0,5.0,5.0,5.0
179993,Archi,NAN,NAN,NAN,10.0,10.0,10.0,10.0,10.0
182665,Elysian,NAN,NAN,NAN,NAN,NAN,28.0,151.0,151.0
183677,Yamasaki,10.0,20.0,20.0,24.0,36.0,47.0,66.0,66.0
184545,Pulch,NAN,NAN,NAN,NAN,NAN,8.0,22.0,22.0
185618,Captain G,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
193839,Loki,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
213297,Chompy,NAN,NAN,NAN,NAN,4.0,17.0,27.0,27.0
213911,jtetter,NAN,NAN,NAN,9.0,9.0,12.0,12.0,12.0
215584,LAGr | Travioli,11.0,11.0,48.0,76.0,76.0,88.0,88.0,88.0
221136,Zeeker,64.0,159.0,217.0,275.0,319.0,427.0,427.0,427.0
221423,Typhoon,NAN,43.0,43.0,43.0,70.0,113.0,113.0,113.0
226271,SU | wild flower,NAN,NAN,NAN,2.0,2.0,2.0,2.0,2.0
226595,TourGuide,NAN,NAN,NAN,NAN,5.0,9.0,19.0,19.0
227436,Chet,NAN,NAN,NAN,NAN,NAN,13.0,13.0,13.0
227672,DumpyComb,NAN,NAN,NAN,NAN,NAN,6.0,6.0,6.0
228400,Piti,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
229209,15SA | Raiken,NAN,NAN,NAN,4.0,4.0,4.0,4.0,4.0
229216,KaiKwonDo,NAN,NAN,NAN,NAN,NAN,NAN,7.0,7.0
230350,AR0,NAN,NAN,NAN,NAN,12.0,12.0,12.0,12.0
230537,hHerb,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0
231083,Phaunsey,NAN,NAN,NAN,3.0,3.0,3.0,3.0,3.0
231685,DMT,NAN,5.0,5.0,5.0,5.0,5.0,5.0,5.0
232213,MikeDrop,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
233059,Ribboned Ace,12.0,19.0,19.0,24.0,24.0,24.0,35.0,35.0
233850,E-tie,NAN,15.0,15.0,15.0,15.0,15.0,15.0,15.0
237282,Electroman,NAN,3.0,3.0,3.0,3.0,3.0,3.0,3.0
243525,Radamen,NAN,NAN,NAN,3.0,3.0,3.0,3.0,3.0
247592,Bassline,NAN,NAN,NAN,NAN,4.0,4.0,4.0,4.0
250355,Rutsky,NAN,NAN,NAN,NAN,10.0,10.0,10.0,10.0
253767,Captain Pretzel,NAN,NAN,NAN,NAN,22.0,22.0,22.0,22.0
254673,Layer,NAN,5.0,5.0,5.0,7.0,10.0,10.0,10.0
255496,ericiscool.net,2.0,4.0,4.0,5.0,7.0,7.0,7.0,7.0
257406,Lotfy,125.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0
259856,Seraph,NAN,NAN,NAN,15.0,27.0,27.0,27.0,27.0
260286,24 | Mamba!,NAN,NAN,NAN,NAN,3.0,3.0,3.0,3.0
260631,Coco,NAN,NAN,NAN,NAN,NAN,11.0,11.0,11.0
262000,Minty Hippo,NAN,NAN,NAN,NAN,4.0,4.0,4.0,4.0
265808,NOOT,NAN,NAN,NAN,37.0,37.0,37.0,37.0,37.0
267849,TG | Mot$,NAN,NAN,NAN,NAN,NAN,NAN,NAN,87.0
268767,markrevival,2.0,3.0,3.0,3.0,4.0,5.0,9.0,9.0
269238,91,2.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
269511,SquidTheCat,NAN,NAN,NAN,NAN,NAN,5.0,5.0,5.0
271333,MMG | Seven,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
274941,unlimited boy,NAN,9.0,9.0,9.0,9.0,9.0,9.0,9.0
277309,DPMZ,NAN,NAN,NAN,NAN,NAN,NAN,15.0,15.0
278295,ItsDad,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
279107,Khryke,57.0,94.0,204.0,224.0,224.0,224.0,224.0,224.0
279722,EP | Justus,39.0,135.0,135.0,186.0,186.0,214.0,214.0,214.0
281390,mourin,NAN,NAN,NAN,NAN,NAN,NAN,1.0,1.0
283648,MDF | Amor,NAN,NAN,NAN,2.0,15.0,15.0,15.0,15.0
286021,RU | Graddy,NAN,NAN,NAN,NAN,NAN,NAN,1.0,1.0
286517,Thad <3,NAN,NAN,NAN,3.0,3.0,3.0,3.0,3.0
286931,Egg$,NAN,NAN,NAN,10.0,10.0,10.0,10.0,10.0
287526,MacTheStampede,NAN,NAN,NAN,NAN,2.0,2.0,2.0,2.0
287589,The Elder Statesman,NAN,NAN,NAN,NAN,2.0,2.0,2.0,2.0
288395,jams,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
310321,TC | BuyMyMixTape,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
323132,JC,NAN,1.0,1.0,1.0,1.0,1.0,1.0,1.0
323499,Edier,NAN,NAN,NAN,NAN,NAN,3.0,3.0,3.0
324561,Soonsay,191.0,191.0,191.0,298.0,298.0,298.0,298.0,298.0
327212,IWI | Marrgasm,NAN,NAN,NAN,NAN,23.0,23.0,23.0,23.0
328838,PeS | Puppy,NAN,1.0,1.0,1.0,1.0,1.0,1.0,1.0
329361,ijw,NAN,NAN,NAN,NAN,NAN,NAN,41.0,41.0
329937,LanTurN,NAN,NAN,NAN,NAN,NAN,NAN,9.0,9.0
344562,Blu,NAN,NAN,NAN,NAN,NAN,NAN,2.0,2.0
348589,Okami,NAN,NAN,NAN,NAN,2.0,2.0,2.0,2.0
354953,RPG,NAN,NAN,NAN,NAN,NAN,3.0,3.0,3.0
360229,BEBO,NAN,5.0,5.0,7.0,7.0,7.0,7.0,7.0
363202,Luigi Gang | Brownie,NAN,NAN,NAN,NAN,NAN,1.0,1.0,1.0
378512,Khoron | Oreo,25.0,40.0,40.0,55.0,84.0,89.0,89.0,89.0
379542,Lee,NAN,NAN,NAN,NAN,NAN,NAN,4.0,4.0
391890,TheFormuoli,NAN,NAN,NAN,NAN,NAN,10.0,10.0,10.0
395730,PQ2 | CPU0,NAN,NAN,37.0,56.0,121.0,143.0,143.0,164.0
407048,WA | AodhaN,NAN,NAN,NAN,NAN,NAN,3.0,3.0,3.0
407749,carrotslat,NAN,NAN,NAN,NAN,NAN,NAN,4.0,4.0
416070,Pooptown,NAN,NAN,NAN,1.0,1.0,1.0,1.0,1.0
422020,69 | | Kupo,NAN,NAN,NAN,NAN,NAN,NAN,4.0,4.0
427342,Lamonster,NAN,NAN,NAN,NAN,9.0,9.0,9.0,9.0
436506,FestivalDeLaCombo,NAN,4.0,4.0,4.0,4.0,4.0,4.0,4.0
448153,Neenor,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
449526,King,NAN,NAN,NAN,NAN,2.0,2.0,2.0,2.0
460428,Moshi,NAN,NAN,NAN,NAN,7.0,7.0,7.0,7.0
466221,Melo,NAN,2.0,2.0,2.0,16.0,16.0,16.0,16.0
472971,yBaS | MaxJacks,2.0,5.0,5.0,7.0,9.0,9.0,14.0,14.0
483428,DCG | Spots,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
484238,Alextrer,NAN,NAN,20.0,20.0,20.0,20.0,20.0,20.0
491552,DannyPhantom,NAN,NAN,NAN,32.0,52.0,52.0,52.0,52.0
493224,Fitz,4.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
503278,Pogey,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
508967,Goosekhan,NAN,NAN,NAN,NAN,NAN,NAN,NAN,140.0
512704,Axis,3.0,3.0,3.0,3.0,7.0,7.0,10.0,10.0
517095,TG CS | EBND,NAN,NAN,NAN,10.0,10.0,10.0,10.0,10.0
519399,Leviath,NAN,NAN,NAN,5.0,5.0,5.0,5.0,5.0
519644,Stoon,NAN,NAN,NAN,NAN,2.0,2.0,2.0,2.0
519779,Tommy,NAN,NAN,NAN,NAN,21.0,97.0,118.0,118.0
520837,Neck,14.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
525553,jerma985,NAN,NAN,NAN,NAN,8.0,8.0,8.0,8.0
531485,Dova,NAN,NAN,NAN,39.0,39.0,39.0,39.0,39.0
533918,Maelstrom,7.0,7.0,7.0,7.0,20.0,28.0,38.0,38.0
542693,Bbatts,72.0,72.0,72.0,72.0,101.0,153.0,153.0,153.0
569076,RGB,NAN,NAN,NAN,NAN,NAN,NAN,1.0,1.0
577038,Zakqary,NAN,2.0,2.0,2.0,2.0,2.0,2.0,2.0
581039,I'm Michael BTW,NAN,NAN,NAN,47.0,47.0,65.0,77.0,77.0
582190,rice,NAN,2.0,2.0,3.0,6.0,7.0,9.0,9.0
592481,Riggs,NAN,NAN,NAN,4.0,4.0,4.0,4.0,4.0
617254,N8v,NAN,NAN,NAN,NAN,2.0,10.0,10.0,10.0
618813,Chance,NAN,NAN,NAN,NAN,13.0,31.0,31.0,31.0
618857,Lamdin,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
623333,Echo_SSBM | Commas,NAN,NAN,NAN,NAN,NAN,4.0,4.0,4.0
627118,Pipe,13.0,19.0,19.0,31.0,43.0,43.0,43.0,43.0
637179,Sodabro,NAN,NAN,NAN,14.0,14.0,14.0,14.0,14.0
