SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3
1008,Westballz,1,1,3,-2,-2
1030,LFG | Eddy Mexico,1,1,-2,-2,9
1092,Connor,2,0,-1,-1,-2
2083,Phil,1,0,-1,-2,-2
2088,ycz6,1,1,-2,5,-2
3602,JLo,2,0,-1,-1,-2
3665,Younger,3,3,13,13,17
4317,donk,1,0,-1,-2,-2
4390,Jflex,3,3,9,5,5
4394,Zhyrri,1,0,-2,-1,-2
4434,Skeeter,1,0,-1,-2,-2
4876,will1v1_ttv,1,0,-2,-1,-2
5618,HOLD$DOGE | Crypto Quiggles,2,1,-1,13,-2
5869,Joey Bats,2,0,-1,-1,-2
7693,Kanye Rest,1,0,-1,-2,-2
10060,PapaNoJohns,1,0,-2,-1,-2
10362,Elk G | Ivayne,3,1,-1,-1,17
10485,DD,2,0,-1,-1,-2
10520,CREW | G,2,0,-1,-1,-2
11590,Rickeye_rick,1,0,-2,-1,-2
11606,Elk_G | Karm,1,0,-1,-2,-2
11945,CSTR#106 | Strazz,3,1,-1,-1,17
12137,yingling,3,2,-1,17,13
13505,Sworderailer,1,0,-1,-2,-2
13746,Baja,1,0,-2,-1,-2
13765,Help,2,0,-1,-1,-2
13932,Mango's Friend | Lucky,1,1,-2,-2,2
13956,Vino,1,0,-1,-2,-2
14305,Nard Dawg,1,0,-2,-1,-2
14489,Crow,1,0,-2,-1,-2
14667,Proobie44,1,0,-1,-2,-2
15070,Verdo,2,0,-1,-1,-2
15298,Cowbell,2,0,-1,-1,-2
16393,Higgins,1,0,-2,-1,-2
18652,LFTG | Logos,1,1,13,-2,-2
18722,Reign,3,1,-1,-1,25
19270,Connorasada,1,0,-1,-2,-2
19651,SC | Lad,1,0,-2,-1,-2
19709,Old McJonald,1,0,-2,-1,-2
21405,Fire,1,0,-2,-1,-2
22088,Nebulous | Jib,2,0,-1,-1,-2
22458,Kandayo,2,0,-1,-1,-2
22491,Ari,1,0,-2,-1,-2
26750,KoDoRiN,1,1,-2,-2,1
27069,JoeyBonzo,1,0,-1,-2,-2
27527,Megaman,1,1,-2,-2,17
28663,QTT | Marco,2,0,-1,-1,-2
29103,Hexjo,1,0,-2,-1,-2
29405,Vianny,1,0,-1,-2,-2
29840,TBD,1,1,-2,-2,9
30054,20PcMcnugget,1,0,-1,-2,-2
30865,Spi,2,0,-1,-1,-2
31487,Winx Club | Siddward,3,1,-1,-1,13
32190,Crow,1,0,-2,-1,-2
34266,WOMB#619 | Wombat,1,0,-1,-2,-2
34399,BuenasRetas | Cobs,2,0,-1,-1,-2
36532,Googlyeyed,1,1,13,-2,-2
36782,Oaty,1,0,-1,-2,-2
37062,Reaver_King,1,0,-2,-1,-2
37116,GUG | Kürv,1,1,-2,3,-2
38979,Tristan's Rule,1,0,-1,-2,-2
39235,Dream,1,0,-1,-2,-2
40476,Medz,2,2,-2,4,4
41492,Divine Senator Kelly,1,0,-1,-2,-2
44671,Quaff,2,2,4,1,-2
45292,TZ | Iván,1,0,-1,-2,-2
45726,Faust,1,1,-2,-2,17
46231,geg :),1,0,-2,-1,-2
46349,Aura,1,1,5,-2,-2
47501,PP | rocky,1,0,-2,-1,-2
47650,shoelegend88,2,0,-1,-1,-2
49711,sad | UwUMysticalGirl,1,1,17,-2,-2
50933,Fro116,1,1,-2,9,-2
51112,Pilgrim,1,0,-1,-2,-2
53655,Frankhoe,2,1,-1,17,-2
54824,Red Dead | Traplord,1,1,17,-2,-2
55166,trades,1,0,-2,-1,-2
58670,Savestate,1,0,-2,-1,-2
62626,SuperCuak,1,0,-1,-2,-2
64467,Pingy,1,0,-1,-2,-2
64644,STP,1,0,-2,-1,-2
64692,SANS | Blues Clues,2,1,17,-1,-2
64909,Calvin,1,0,-2,-1,-2
65566,Miranda,2,0,-1,-1,-2
65777,bobby big ballz,3,3,1,2,3
69921,Furniture,1,0,-1,-2,-2
70796,BHC | Evan,1,1,9,-2,-2
71442,Wiza,1,0,-1,-2,-2
127639,Neologism,2,1,-2,-1,7
129363,Flow | ESPONJA,1,0,-2,-1,-2
130746,TZ | Morrito,1,0,-1,-2,-2
132938,RU | Midnight Blue,1,0,-1,-2,-2
135088,LFG | PanterA,1,1,-2,-2,7
135795,cockbread,1,0,-2,-1,-2
136379,HoG | Warmmer,1,1,7,-2,-2
138710,Golden,1,0,-2,-1,-2
144133,YBBT | leroydankins,1,0,-1,-2,-2
144798,akir,1,0,-1,-2,-2
147423,FlLFFl,1,0,-2,-1,-2
148021,Rodney,1,0,-2,-1,-2
149952,Jakespeare,1,0,-2,-1,-2
150851,Ath | Bumble,1,0,-1,-2,-2
153138,ZouL,1,0,-1,-2,-2
153334,Silkylaroux,2,0,-1,-1,-2
153599,NS | Frog,1,0,-2,-1,-2
157615,ight,2,0,-1,-1,-2
158524,Oferton,1,0,-1,-2,-2
172608,Churro,1,0,-1,-2,-2
173178,LAG,2,1,-1,9,-2
183677,Yamasaki,2,0,-1,-1,-2
185618,Captain G,1,0,-1,-2,-2
193839,Loki,1,0,-1,-2,-2
215584,LAGr | Travioli,2,1,-1,-2,13
221136,Zeeker,3,3,9,7,9
221423,Typhoon,1,1,-2,13,-2
228400,Piti,1,0,-1,-2,-2
230537,hHerb,1,0,-1,-2,-2
231685,DMT,1,0,-2,-1,-2
232213,MikeDrop,1,0,-1,-2,-2
233059,Ribboned Ace,2,0,-1,-1,-2
233850,E-tie,1,0,-2,-1,-2
