SmasherID,SmashTag,RWeek1,ChangeInRank
1008,Westballz,3.0,New
1092,Connor,65.0,New
2083,Phil,105.0,New
3602,JLo,82.0,New
3665,Younger,14.0,New
4317,donk,65.0,New
4390,NGG | Jflex,10.0,New
4434,Skeeter,96.0,New
5618,HOLD$DOGE | Crypto Quiggles,28.0,New
5869,Joey Bats,49.0,New
7693,Kanye Rest,49.0,New
10362,Elk G | Ivayne,19.0,New
10485,DD,105.0,New
10520,CREW | G,32.0,New
11606,Elk_G | Karm,96.0,New
11945,CSTR#106 | Strazz,49.0,New
12137,yingling,30.0,New
13505,Sworderailer,78.0,New
13765,Help,105.0,New
13956,Vino,65.0,New
14667,Proobie44,105.0,New
15070,Verdo,96.0,New
15298,Cowbell,32.0,New
18652,LFTG | Logos,15.0,New
18722,K.H.D | Reign,105.0,New
19270,Connorasada,71.0,New
22088,Nebulous | Jib,61.0,New
22458,Kandayo,105.0,New
27069,JoeyBonzo,124.0,New
28663,QTT | Marco,49.0,New
29405,Vianny,61.0,New
30054,20PcMcnugget,124.0,New
30865,Spi,105.0,New
31487,Winx Club | Siddward,23.0,New
34266,WOMB#619 | Wombat,88.0,New
34399,BuenasRetas | Cobs,75.0,New
36532,Googlyeyed,16.0,New
36782,Oaty,26.0,New
38979,Tristan's Rule,29.0,New
39235,Dream,35.0,New
41492,Divine Senator Kelly,105.0,New
44671,Quaff,4.0,New
45292,TZ | Iván,42.0,New
46349,Aura,6.0,New
47650,shoelegend88,71.0,New
49711,sad | UwUMysticalGirl,21.0,New
51112,Pilgrim,61.0,New
53655,Frankhoe,37.0,New
54824,Red Dead | Traplord,18.0,New
62626,SuperCuak,42.0,New
64467,Pingy,105.0,New
64692,SANS | Blues Clues,19.0,New
65566,Miranda,56.0,New
65777,bobby big ballz,1.0,New
69921,Furniture,42.0,New
70796,BHC | Evan,12.0,New
71442,Wiza,96.0,New
130746,TZ | Morrito,24.0,New
132938,RU | Midnight Blue,56.0,New
136379,HoG | Warmmer,7.0,New
144133,YBBT | leroydankins,82.0,New
144798,akir,65.0,New
150851,Ath | Bumble,88.0,New
153138,ZouL,42.0,New
153334,Silkylaroux,65.0,New
157615,ight,37.0,New
158524,Oferton,71.0,New
172608,Churro,105.0,New
173178,LAG,24.0,New
183677,Yamasaki,61.0,New
185618,Captain G,49.0,New
193839,Loki,42.0,New
215584,LAGr | Travioli,56.0,New
221136,Zeeker,11.0,New
228400,Piti,82.0,New
230537,hHerb,88.0,New
232213,MikeDrop,40.0,New
233059,Ribboned Ace,49.0,New
255496,ericiscool.net,105.0,New
257406,Lotfy,5.0,New
268767,markrevival,105.0,New
269238,91,105.0,New
271333,MMG | Seven,32.0,New
278295,ItsDad,96.0,New
279107,Khryke,13.0,New
279722,EP | Justus,17.0,New
288395,jams,35.0,New
310321,TC | BuyMyMixTape,105.0,New
324561,Soonsay,2.0,New
378512,KG/SBC | Oreo,22.0,New
448153,Neenor,78.0,New
472971,MaxJacks,105.0,New
483428,DCG | Spots,96.0,New
493224,Fitz,88.0,New
503278,Pogey,82.0,New
512704,Axis,96.0,New
520837,Neck,40.0,New
533918,Maelstrom,75.0,New
542693,Bbatts,9.0,New
618857,Lamdin,26.0,New
627118,Pipe,42.0,New
657464,CowCowCowCowCow,78.0,New
657711,PurpleZ,56.0,New
692999,maso soup,96.0,New
804411,Neee,105.0,New
807868,Funk,88.0,New
819230,Willy P,30.0,New
852916,Krizski,8.0,New
862074,snacklepackle,82.0,New
880372,Good1ife,37.0,New
898035,mathandsurf,124.0,New
1034300,Oz,88.0,New
1232194,Kawaii Kid | King Salmon,124.0,New
1308234,JackO,124.0,New
1487504,Arn255,65.0,New
1525551,Lechero,124.0,New
1638022,pathojin,96.0,New
1640788,Special K,105.0,New
1669002,JehL,124.0,New
1737518,Kombeze Ataie,75.0,New
1866109,BubbleFuel,88.0,New
1918686,roadkill,124.0,New
1927744,pr0j3cts,124.0,New
1957958,50 Rats in a Trenchcoat,124.0,New
1966716,LewdCelebs4Free,82.0,New
2038523,thesiscat,88.0,New
2103929,sidewinder572,124.0,New
2133564,Brandt,105.0,New
2136488,Sacred,56.0,New
2145653,doubledown8,49.0,New
2149456,Quadragesimus,105.0,New
2154680,Godslayer903,71.0,New
2156746,Wobs,124.0,New
2177428,KYROS | Chuchaka2112,78.0,New
2178856,Abermega,124.0,New
2179108,Mud,42.0,New
