SmasherID,SmashTag,RWeek1,RWeek2,ChangeInRank
1008,Westballz,3.0,7.0,-4.0
1092,Connor,65.0,59.0,6.0
2083,Phil,105.0,166.0,-61.0
2088,ycz6,NAN,12.0,NAN
3602,JLo,82.0,99.0,-17.0
3665,Younger,14.0,13.0,1.0
4317,donk,65.0,99.0,-34.0
4390,NGG | Jflex,10.0,4.0,6.0
4394,Zhyrri,NAN,50.0,NAN
4434,Skeeter,96.0,152.0,-56.0
4876,will1v1_ttv,NAN,116.0,NAN
5618,HOLD$DOGE | Crypto Quiggles,28.0,20.0,8.0
5869,Joey Bats,49.0,37.0,12.0
7693,Kanye Rest,49.0,77.0,-28.0
10060,PapaNoJohns,NAN,84.0,NAN
10362,Elk G | Ivayne,19.0,22.0,-3.0
10485,DD,105.0,68.0,37.0
10520,CREW | G,32.0,34.0,-2.0
11590,Rickeye_rick,NAN,116.0,NAN
11606,Elk_G | Karm,96.0,152.0,-56.0
11945,CSTR#106 | Strazz,49.0,50.0,-1.0
12137,yingling,30.0,25.0,5.0
13505,Sworderailer,78.0,112.0,-34.0
13746,Baja,NAN,93.0,NAN
13765,Help,105.0,77.0,28.0
13956,Vino,65.0,99.0,-34.0
14305,Nard Dawg,NAN,93.0,NAN
14489,Crow,NAN,131.0,NAN
14667,Proobie44,105.0,166.0,-61.0
15070,Verdo,96.0,84.0,12.0
15298,Cowbell,32.0,32.0,0.0
16393,Higgins,NAN,84.0,NAN
18652,LFTG | Logos,15.0,25.0,-10.0
18722,K.H.D | Reign,105.0,116.0,-11.0
19270,Connorasada,71.0,108.0,-37.0
19651,SC | Lad,NAN,46.0,NAN
19709,Old McJonald,NAN,152.0,NAN
21405,Fire,NAN,93.0,NAN
22088,Nebulous | Jib,61.0,46.0,15.0
22458,Kandayo,105.0,131.0,-26.0
22491,Ari,NAN,166.0,NAN
27069,JoeyBonzo,124.0,186.0,-62.0
28663,QTT | Marco,49.0,42.0,7.0
29103,Hexjo,NAN,131.0,NAN
29405,Vianny,61.0,93.0,-32.0
30054,20PcMcnugget,124.0,186.0,-62.0
30865,Spi,105.0,131.0,-26.0
31487,Siddward,23.0,32.0,-9.0
