SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RWeek4,ChangeInRank
1008,Westballz,3.0,7.0,12.0,7.0,5.0
1030,LFG | Eddy Mexico,NAN,NAN,31.0,36.0,-5.0
1092,Connor,65.0,59.0,72.0,96.0,-24.0
2083,Phil,105.0,166.0,178.0,244.0,-66.0
2088,ycz6,NAN,12.0,16.0,16.0,0.0
3561,LG | Ginger,NAN,NAN,NAN,12.0,NAN
3602,JLo,82.0,99.0,113.0,96.0,17.0
3665,Younger,14.0,13.0,15.0,18.0,-3.0
4205,a-on,NAN,NAN,NAN,162.0,NAN
4317,donk,65.0,99.0,113.0,61.0,52.0
4390,NGG | Jflex,10.0,4.0,4.0,6.0,-2.0
4394,Zhyrri,NAN,50.0,61.0,82.0,-21.0
4434,Skeeter,96.0,152.0,165.0,224.0,-59.0
4876,will1v1_ttv,NAN,116.0,130.0,184.0,-54.0
5618,HOLD$DOGE | Crypto Quiggles,28.0,20.0,28.0,33.0,-5.0
5869,Joey Bats,49.0,37.0,47.0,51.0,-4.0
7693,Kanye Rest,49.0,77.0,91.0,123.0,-32.0
10060,PapaNoJohns,NAN,84.0,97.0,129.0,-32.0
10067,icecream,NAN,NAN,NAN,201.0,NAN
10228,Flow | Stark,NAN,NAN,NAN,114.0,NAN
10362,Elk G | Ivayne,19.0,22.0,27.0,31.0,-4.0
10485,DD,105.0,68.0,82.0,75.0,7.0
10520,CREW | G,32.0,34.0,44.0,42.0,2.0
10968,Enemy,NAN,NAN,NAN,91.0,NAN
11590,Rickeye_rick,NAN,116.0,130.0,184.0,-54.0
11606,Elk_G | Karm,96.0,152.0,165.0,224.0,-59.0
11945,RULES | Strazz,49.0,50.0,39.0,42.0,-3.0
12023,El Link,NAN,NAN,NAN,244.0,NAN
12137,yingling,30.0,25.0,22.0,23.0,-1.0
13385,ePG | Chevy,NAN,NAN,NAN,108.0,NAN
13505,Sworderailer,78.0,112.0,126.0,162.0,-36.0
13746,Baja,NAN,93.0,106.0,138.0,-32.0
13765,Help,105.0,77.0,91.0,123.0,-32.0
13932,Mango's Friend | Lucky,NAN,NAN,9.0,5.0,4.0
13956,Vino,65.0,99.0,113.0,152.0,-39.0
14305,Nard Dawg,NAN,93.0,106.0,138.0,-32.0
14489,Crow,NAN,131.0,144.0,103.0,41.0
14667,Proobie44,105.0,166.0,178.0,244.0,-66.0
15070,Verdo,96.0,84.0,97.0,129.0,-32.0
15087,Reese,NAN,NAN,NAN,138.0,NAN
15298,Cowbell,32.0,32.0,42.0,45.0,-3.0
15504,Umarth,NAN,NAN,NAN,86.0,NAN
16294,Ders,NAN,NAN,NAN,244.0,NAN
16393,Higgins,NAN,84.0,97.0,103.0,-6.0
18652,LFTG | Logos,15.0,25.0,35.0,40.0,-5.0
18722,Reign,105.0,116.0,77.0,87.0,-10.0
18840,Gooms,NAN,NAN,NAN,71.0,NAN
19270,Connorasada,71.0,108.0,122.0,162.0,-40.0
19651,SC | Lad,NAN,46.0,57.0,75.0,-18.0
19709,Old McJonald,NAN,152.0,165.0,224.0,-59.0
21405,Fire,NAN,93.0,106.0,108.0,-2.0
22088,Nebulous | Jib,61.0,46.0,57.0,75.0,-18.0
22458,Kandayo,105.0,131.0,144.0,201.0,-57.0
22479,Peppi | CrossFitJesus,NAN,NAN,NAN,29.0,NAN
22491,Ari,NAN,166.0,178.0,244.0,-66.0
22551,Eddyvandamn,NAN,NAN,NAN,138.0,NAN
23214,Potts,NAN,NAN,NAN,201.0,NAN
23501,Ratt,NAN,NAN,NAN,224.0,NAN
23615,Noc,NAN,NAN,NAN,91.0,NAN
26387,Phantom Airline,NAN,NAN,NAN,176.0,NAN
26750,KoDoRiN,NAN,NAN,6.0,2.0,4.0
27069,JoeyBonzo,124.0,186.0,198.0,270.0,-72.0
27527,Megaman,NAN,NAN,57.0,75.0,-18.0
28663,QTT | Marco,49.0,42.0,53.0,71.0,-18.0
29103,Hexjo,NAN,131.0,144.0,129.0,15.0
29405,Vianny,61.0,93.0,106.0,138.0,-32.0
29840,TBD,NAN,NAN,30.0,35.0,-5.0
29984,Broasty,NAN,NAN,NAN,244.0,NAN
30054,20PcMcnugget,124.0,186.0,198.0,270.0,-72.0
30865,Spi,105.0,131.0,144.0,176.0,-32.0
31487,Winx Club | Siddward,23.0,32.0,23.0,22.0,1.0
32190,Crow,NAN,77.0,91.0,123.0,-32.0
33655,Mo $,NAN,NAN,NAN,184.0,NAN
34266,WOMB#619 | Wombat,88.0,131.0,144.0,162.0,-18.0
34399,BuenasRetas | Cobs,75.0,59.0,72.0,96.0,-24.0
34980,Crispy | Chango,NAN,NAN,NAN,87.0,NAN
35258,LFG | Fist Mexico,NAN,NAN,NAN,96.0,NAN
36532,Googlyeyed,16.0,27.0,36.0,44.0,-8.0
36538,Bayløck,NAN,NAN,NAN,170.0,NAN
36782,Oaty,26.0,42.0,53.0,71.0,-18.0
37062,Reaver_King,NAN,116.0,130.0,170.0,-40.0
37116,GUG | Kürv,NAN,6.0,11.0,10.0,1.0
38643,RedX,NAN,NAN,NAN,138.0,NAN
38979,Tristan's Rule,29.0,50.0,61.0,82.0,-21.0
39235,Dream,35.0,59.0,72.0,55.0,17.0
40476,Medz,NAN,9.0,3.0,3.0,0.0
41492,Divine Senator Kelly,105.0,166.0,178.0,244.0,-66.0
44671,Quaff,4.0,2.0,2.0,4.0,-2.0
45292,TZ | Iván,42.0,68.0,82.0,114.0,-32.0
45356,OtES,NAN,NAN,NAN,162.0,NAN
45726,Faust,NAN,NAN,61.0,53.0,8.0
46231,geg :),NAN,131.0,144.0,201.0,-57.0
46349,Aura,6.0,14.0,18.0,21.0,-3.0
47304,Boyz II Mensch,NAN,NAN,NAN,201.0,NAN
47501,PP | rocky,NAN,116.0,130.0,184.0,-54.0
47650,shoelegend88,71.0,39.0,49.0,64.0,-15.0
48041,Slade,NAN,NAN,NAN,129.0,NAN
49711,sad | UwUMysticalGirl,21.0,36.0,46.0,59.0,-13.0
50933,Fro116,NAN,18.0,24.0,28.0,-4.0
51112,Pilgrim,61.0,93.0,106.0,138.0,-32.0
53655,Frankhoe,37.0,29.0,38.0,48.0,-10.0
54824,Red Dead | Traplord,18.0,35.0,45.0,54.0,-9.0
55166,trades,NAN,186.0,198.0,270.0,-72.0
58670,Savestate,NAN,46.0,57.0,75.0,-18.0
62626,SuperCuak,42.0,68.0,82.0,114.0,-32.0
64467,Pingy,105.0,166.0,178.0,244.0,-66.0
64644,STP,NAN,112.0,126.0,176.0,-50.0
64692,SANS | Blues Clues,19.0,24.0,33.0,32.0,1.0
64909,Calvin,NAN,99.0,113.0,152.0,-39.0
65566,Miranda,56.0,56.0,69.0,87.0,-18.0
65777,bobby big ballz,1.0,1.0,1.0,1.0,0.0
68868,Jr,NAN,NAN,NAN,91.0,NAN
69921,Furniture,42.0,68.0,82.0,114.0,-32.0
70796,BHC | Evan,12.0,21.0,29.0,34.0,-5.0
71442,Wiza,96.0,152.0,165.0,224.0,-59.0
127639,Neologism,NAN,46.0,17.0,20.0,-3.0
129363,Flow | ESPONJA,NAN,66.0,80.0,108.0,-28.0
129500,O N I,NAN,NAN,NAN,123.0,NAN
130672,Soltrain,NAN,NAN,NAN,244.0,NAN
130746,TZ | Morrito,24.0,40.0,51.0,69.0,-18.0
132938,RU | Midnight Blue,56.0,84.0,97.0,129.0,-32.0
135088,LFG | PanterA,NAN,NAN,20.0,25.0,-5.0
135795,cockbread,NAN,77.0,91.0,75.0,16.0
136379,HoG | Warmmer,7.0,15.0,19.0,15.0,4.0
138710,Golden,NAN,58.0,71.0,91.0,-20.0
144133,YBBT | leroydankins,82.0,116.0,130.0,108.0,22.0
144798,akir,65.0,99.0,113.0,152.0,-39.0
145075,blazerboy,NAN,NAN,NAN,270.0,NAN
147423,FlLFFl,NAN,131.0,144.0,201.0,-57.0
147424,Krudo,NAN,NAN,NAN,91.0,NAN
148021,Rodney,NAN,116.0,130.0,184.0,-54.0
149952,Jakespeare,NAN,68.0,82.0,114.0,-32.0
150851,Ath | Bumble,88.0,131.0,144.0,201.0,-57.0
152800,wally,NAN,NAN,NAN,184.0,NAN
153138,ZouL,42.0,68.0,82.0,114.0,-32.0
153334,Silkylaroux,65.0,68.0,82.0,114.0,-32.0
153599,NS | Frog,NAN,131.0,144.0,201.0,-57.0
157615,ight,37.0,40.0,51.0,69.0,-18.0
158524,Oferton,71.0,108.0,122.0,162.0,-40.0
172608,Churro,105.0,166.0,178.0,244.0,-66.0
172811,Amity,NAN,NAN,NAN,201.0,NAN
173178,LAG,24.0,17.0,21.0,26.0,-5.0
175629,WRLD,NAN,NAN,NAN,176.0,NAN
176387,Badboi,NAN,NAN,NAN,138.0,NAN
179993,Archi,NAN,NAN,NAN,138.0,NAN
183677,Yamasaki,61.0,50.0,61.0,64.0,-3.0
185618,Captain G,49.0,77.0,91.0,123.0,-32.0
193839,Loki,42.0,68.0,82.0,114.0,-32.0
213911,jtetter,NAN,NAN,NAN,152.0,NAN
215584,LAGr | Travioli,56.0,84.0,33.0,27.0,6.0
221136,Zeeker,11.0,8.0,5.0,9.0,-4.0
221423,Typhoon,NAN,28.0,37.0,45.0,-8.0
226271,SU | wild flower,NAN,NAN,NAN,244.0,NAN
228400,Piti,82.0,116.0,130.0,184.0,-54.0
229209,15SA | Raiken,NAN,NAN,NAN,201.0,NAN
230537,hHerb,88.0,131.0,144.0,201.0,-57.0
231083,Phaunsey,NAN,NAN,NAN,224.0,NAN
231685,DMT,NAN,116.0,130.0,184.0,-54.0
232213,MikeDrop,40.0,66.0,80.0,108.0,-28.0
233059,Ribboned Ace,49.0,54.0,67.0,64.0,3.0
233850,E-tie,NAN,64.0,77.0,103.0,-26.0
237282,Electroman,NAN,152.0,165.0,224.0,-59.0
243525,Radamen,NAN,NAN,NAN,224.0,NAN
254673,Layer,NAN,116.0,130.0,184.0,-54.0
255496,ericiscool.net,105.0,131.0,144.0,184.0,-40.0
257406,Lotfy,5.0,5.0,10.0,14.0,-4.0
259856,Seraph,NAN,NAN,NAN,103.0,NAN
265808,NOOT,NAN,NAN,NAN,52.0,NAN
268767,markrevival,105.0,152.0,165.0,224.0,-59.0
269238,91,105.0,99.0,113.0,152.0,-39.0
271333,MMG | Seven,32.0,56.0,69.0,87.0,-18.0
274941,unlimited boy,NAN,99.0,113.0,152.0,-39.0
278295,ItsDad,96.0,152.0,165.0,224.0,-59.0
279107,Khryke,13.0,16.0,7.0,11.0,-4.0
279722,EP | Justus,17.0,11.0,14.0,13.0,1.0
283648,Amor,NAN,NAN,NAN,244.0,NAN
286517,Thad <3,NAN,NAN,NAN,224.0,NAN
286931,Egg$,NAN,NAN,NAN,138.0,NAN
288395,jams,35.0,59.0,72.0,96.0,-24.0
310321,TC | BuyMyMixTape,105.0,166.0,178.0,244.0,-66.0
323132,JC,NAN,186.0,198.0,270.0,-72.0
324561,Soonsay,2.0,3.0,8.0,8.0,0.0
328838,PeS | Puppy,NAN,186.0,198.0,270.0,-72.0
360229,BEBO,NAN,116.0,130.0,170.0,-40.0
378512,Khoron | Oreo,22.0,31.0,41.0,38.0,3.0
395730,PQ2 | CPU0,NAN,NAN,43.0,36.0,7.0
416070,Pooptown,NAN,NAN,NAN,270.0,NAN
436506,FestivalDeLaCombo,NAN,131.0,144.0,201.0,-57.0
448153,Neenor,78.0,112.0,126.0,176.0,-50.0
466221,Melo,NAN,166.0,178.0,244.0,-66.0
472971,MaxJacks,105.0,116.0,130.0,170.0,-40.0
483428,DCG | Spots,96.0,152.0,165.0,224.0,-59.0
484238,Alextrer,NAN,NAN,61.0,82.0,-21.0
491552,DannyPhantom,NAN,NAN,NAN,55.0,NAN
493224,Fitz,88.0,59.0,72.0,96.0,-24.0
503278,Pogey,82.0,116.0,130.0,184.0,-54.0
512704,Axis,96.0,152.0,165.0,224.0,-59.0
517095,TG CS | EBND,NAN,NAN,NAN,138.0,NAN
519399,Leviath,NAN,NAN,NAN,184.0,NAN
520837,Neck,40.0,38.0,48.0,63.0,-15.0
531485,Dova,NAN,NAN,NAN,50.0,NAN
533918,Maelstrom,75.0,110.0,124.0,170.0,-46.0
542693,Bbatts,9.0,19.0,25.0,30.0,-5.0
577038,Zakqary,NAN,166.0,178.0,244.0,-66.0
581039,I'm Michael BTW,NAN,NAN,NAN,40.0,NAN
582190,rice,NAN,166.0,178.0,224.0,-46.0
592481,Riggs,NAN,NAN,NAN,201.0,NAN
618857,Lamdin,26.0,42.0,53.0,71.0,-18.0
627118,Pipe,42.0,54.0,67.0,57.0,10.0
637179,Sodabro,NAN,NAN,NAN,108.0,NAN
657464,CowCowCowCowCow,78.0,22.0,32.0,39.0,-7.0
657711,PurpleZ,56.0,84.0,97.0,75.0,22.0
684008,deep_cuts,NAN,166.0,178.0,244.0,-66.0
692999,maso soup,96.0,152.0,165.0,224.0,-59.0
694497,IMP | Ben,NAN,NAN,NAN,19.0,NAN
709843,Chem,NAN,NAN,NAN,96.0,NAN
725508,620 | Megacaat,NAN,152.0,49.0,64.0,-15.0
726185,DBRDd#641,NAN,NAN,NAN,270.0,NAN
732665,Lama,NAN,NAN,61.0,82.0,-21.0
800147,Dark Oreo Master,NAN,186.0,198.0,270.0,-72.0
804411,Neee,105.0,166.0,178.0,244.0,-66.0
807868,Funk,88.0,131.0,144.0,201.0,-57.0
819230,Willy P,30.0,30.0,39.0,49.0,-10.0
843302,Buffalo,NAN,NAN,NAN,162.0,NAN
852916,Krizski,8.0,10.0,13.0,17.0,-4.0
856699,Logan,NAN,131.0,144.0,201.0,-57.0
858866,SLO | GrizzlyBair,NAN,NAN,NAN,129.0,NAN
862074,snacklepackle,82.0,93.0,106.0,138.0,-32.0
880372,Good1ife,37.0,64.0,77.0,103.0,-26.0
897692,Iron,NAN,NAN,NAN,184.0,NAN
898035,mathandsurf,124.0,186.0,198.0,270.0,-72.0
1034300,Oz,88.0,131.0,144.0,201.0,-57.0
1034371,niimo,NAN,NAN,NAN,270.0,NAN
1053202,diddylonglegs,NAN,NAN,NAN,152.0,NAN
1053605,JFIRE,NAN,99.0,113.0,152.0,-39.0
1065524,Flippy,NAN,186.0,198.0,270.0,-72.0
1076996,Newquake,NAN,NAN,106.0,138.0,-32.0
1112770,Penguis,NAN,NAN,NAN,184.0,NAN
1122123,Alex AF,NAN,NAN,NAN,244.0,NAN
1228401,Asus(4),NAN,84.0,97.0,129.0,-32.0
1232194,Kawaii Kid | King Salmon,124.0,131.0,144.0,201.0,-57.0
1261736,Mars,NAN,NAN,NAN,270.0,NAN
1263692,ushi,NAN,NAN,NAN,244.0,NAN
1308234,JackO,124.0,186.0,198.0,270.0,-72.0
1375808,Epoodle,NAN,NAN,NAN,59.0,NAN
1379261,S.O.D.A,NAN,NAN,NAN,224.0,NAN
1388856,SHRD#209 | Shredder,NAN,NAN,NAN,244.0,NAN
1458782,Tomato,NAN,NAN,NAN,270.0,NAN
1466521,Floods,NAN,186.0,97.0,114.0,-17.0
1487504,Arn255,65.0,99.0,113.0,152.0,-39.0
1525551,Aldito1469,124.0,186.0,198.0,201.0,-3.0
1638022,pathojin,96.0,131.0,144.0,176.0,-32.0
1640788,Special K,105.0,131.0,144.0,176.0,-32.0
1653242,Jquinnsweg,NAN,166.0,178.0,224.0,-46.0
1669002,JehL,124.0,186.0,198.0,270.0,-72.0
1682516,BABA | Babo,NAN,NAN,NAN,244.0,NAN
1736473,Comp... | PJThePuff,NAN,NAN,NAN,201.0,NAN
1737518,Kombeze Ataie,75.0,110.0,124.0,170.0,-46.0
1753671,Moonking34,NAN,131.0,144.0,201.0,-57.0
1866109,BubbleFuel,88.0,131.0,144.0,201.0,-57.0
1906382,KatBot,NAN,166.0,178.0,162.0,16.0
1918686,roadkill,124.0,166.0,178.0,152.0,26.0
1927744,pr0j3cts,124.0,186.0,198.0,270.0,-72.0
1940641,100 Days Of Solitude,NAN,166.0,178.0,244.0,-66.0
1944467,SUPERUNKNOWN,NAN,152.0,165.0,224.0,-59.0
1954849,Salamanderman,NAN,NAN,NAN,244.0,NAN
1957958,50 Rats in a Trenchcoat,124.0,186.0,198.0,270.0,-72.0
1966716,LewdCelebs4Free,82.0,116.0,130.0,138.0,-8.0
1974127,Team Roz | aujory,NAN,186.0,198.0,270.0,-72.0
2026451,ASAPferq,NAN,186.0,198.0,270.0,-72.0
2029884,Nudepenguin,NAN,166.0,178.0,201.0,-23.0
2038523,thesiscat,88.0,131.0,144.0,201.0,-57.0
2053276,DT6 | Ogre,NAN,NAN,NAN,184.0,NAN
2103929,sidewinder572,124.0,186.0,198.0,270.0,-72.0
2110985,theassistant,NAN,NAN,NAN,184.0,NAN
2111039,Uncle B,NAN,NAN,NAN,61.0,NAN
2114773,Raffshot,NAN,152.0,165.0,224.0,-59.0
2120266,hellojoe34,NAN,186.0,198.0,270.0,-72.0
2122811,$W@6 | rocketf20,NAN,166.0,178.0,244.0,-66.0
2124348,thehumanblob,NAN,NAN,NAN,270.0,NAN
2133564,Brandt,105.0,166.0,178.0,244.0,-66.0
2136488,Sacred,56.0,84.0,97.0,129.0,-32.0
2140092,Jet,NAN,77.0,26.0,24.0,2.0
2143817,A HUMAN | Agile,NAN,186.0,198.0,270.0,-72.0
2145653,doubledown8,49.0,77.0,91.0,123.0,-32.0
2147280,slowtai,NAN,68.0,82.0,64.0,18.0
2149456,Quadragesimus,105.0,116.0,130.0,184.0,-54.0
2154680,Godslayer903,71.0,84.0,97.0,129.0,-32.0
2156746,Wobs,124.0,186.0,198.0,270.0,-72.0
2167802,Bebop,NAN,166.0,178.0,244.0,-66.0
2172930,Sav,NAN,186.0,198.0,270.0,-72.0
2177428,KYROS | Chuchaka2112,78.0,112.0,126.0,176.0,-50.0
2178856,Abermega,124.0,186.0,198.0,270.0,-72.0
2179108,Mud,42.0,42.0,53.0,45.0,8.0
2182633,sisig,NAN,152.0,165.0,224.0,-59.0
2189946,GNIK,NAN,NAN,NAN,57.0,NAN
