SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3,PWeek4,PWeek5,PWeek6,PWeek7,PWeek8,PWeek9
14049,Fasthands,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
14305,Nard Dawg,3,0,-2,-1,-2,-2,-2,-2,-1,-2,-1
14489,Crow,2,0,-2,-1,-2,-1,-2,-2,-2,-2,-2
14592,ZOOK | Suezo,3,3,-2,-2,-2,-2,-2,-2,9,17,13
14667,Proobie44,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
15070,Verdo,4,1,-1,-1,-2,-2,-1,-2,13,-2,-2
15087,Reese,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
15298,Cowbell,4,0,-1,-1,-2,-1,-1,-2,-2,-2,-2
15504,Umarth,2,1,-2,-2,-2,-1,-2,-2,-2,17,-2
16066,TG NBR | Panayiotis,3,2,-2,-2,-2,-2,-2,-2,-1,9,9
16164,Kitsune,1,0,-2,-2,-2,-2,-1,-2,-2,-2,-2
16294,Ders,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
16393,Higgins,4,0,-2,-1,-2,-1,-2,-2,-1,-2,-1
18652,LFTG | Logos,2,2,13,-2,-2,-2,-2,-2,-2,-2,7
18722,K.H.D | RE!GN,8,1,-1,-1,25,-1,-1,-1,-1,-2,-1
18840,Gooms,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
19270,Connorasada,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
19651,SC | Lad,2,0,-2,-1,-2,-2,-1,-2,-2,-2,-2
19709,Old McJonald,1,0,-2,-1,-2,-2,-2,-2,-2,-2,-2
21305,Galen The Wise,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
21405,Fire,4,0,-2,-1,-2,-1,-1,-2,-1,-2,-2
22088,Nebulous | Jib,4,0,-1,-1,-2,-2,-1,-1,-2,-2,-2
22333,Redcoat,1,1,-2,-2,-2,-2,-2,9,-2,-2,-2
22458,Kandayo,6,0,-1,-1,-2,-2,-1,-1,-1,-2,-1
22479,Peppi | CrossFitJesus,4,3,-2,-2,-2,9,-2,-1,-2,13,17
22491,Ari,1,0,-2,-1,-2,-2,-2,-2,-2,-2,-2
22551,Eddyvandamn,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
22595,Aura,3,0,-2,-2,-2,-2,-2,-1,-1,-2,-1
23214,Potts,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
23501,Ratt,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
23615,Noc,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
24423,Talen,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
25351,Hell'sLabyrinth,2,0,-2,-2,-2,-2,-2,-1,-1,-2,-2
25916,redpandamaster,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
26187,Slowking,1,1,-2,-2,-2,-2,-2,5,-2,-2,-2
26387,Phantom Airline,4,1,-2,-2,-2,-1,-2,-1,17,-2,-1
26623,B0XX | ADMJ,2,0,-2,-2,-2,-2,-2,-1,-1,-2,-2
26750,KoDoRiN,5,5,-2,-2,1,1,2,-2,-2,1,2
26934,Clay,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
27069,JoeyBonzo,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
27527,Megaman,1,1,-2,-2,17,-2,-2,-2,-2,-2,-2
27780,IHOP Dan,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
28391,Vigilance,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
28663,QTT | Marco,2,0,-1,-1,-2,-2,-2,-2,-2,-2,-2
28815,doctahdylan,3,0,-2,-2,-2,-2,-2,-1,-1,-2,-1
29103,Hexjo,4,0,-2,-1,-2,-1,-2,-1,-2,-2,-1
29405,Vianny,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
29840,TBD,5,1,-2,-2,9,-2,-1,-1,-1,-2,-1
29984,Broasty,3,0,-2,-2,-2,-1,-1,-1,-2,-2,-2
30054,20PcMcnugget,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
30197,Ober,1,1,-2,-2,-2,-2,-2,-2,-2,13,-2
30804,Frap,2,0,-2,-2,-2,-2,-2,-2,-1,-2,-1
30865,Spi,5,0,-1,-1,-2,-1,-2,-1,-2,-2,-1
31487,Winx Club | Siddward,8,3,-1,-1,13,17,-1,-1,-1,17,-2
32190,Crow,2,1,-2,-1,-2,-2,-2,13,-2,-2,-2
33387,pointykitty,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
33458,RustyTrombone,2,0,-2,-2,-2,-2,-2,-1,-1,-2,-2
33655,Mo $,2,0,-2,-2,-2,-1,-2,-1,-2,-2,-2
34180,Socknose,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
34266,WOMB#619 | Wombat,2,0,-1,-2,-2,-1,-2,-2,-2,-2,-2
34351,Simon,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
34399,BuenasRetas | Cobs,5,0,-1,-1,-2,-2,-1,-2,-1,-2,-1
34902,Tanooki,1,1,-2,-2,-2,-2,-2,-2,17,-2,-2
34980,Crispy | Chango,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
35258,LFG | Fist Mexico,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
35271,ATX | Noops,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
36403,Smashdaddy,1,1,-2,-2,-2,-2,-2,2,-2,-2,-2
36532,Googlyeyed,1,1,13,-2,-2,-2,-2,-2,-2,-2,-2
36538,Bayløck,3,0,-2,-2,-2,-1,-1,-2,-2,-2,-1
36782,Oaty,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
37062,Reaver_King,2,0,-2,-1,-2,-1,-2,-2,-2,-2,-2
37116,Kürv,7,7,-2,3,-2,13,13,7,5,9,7
37865,INDY,3,0,-2,-2,-2,-2,-1,-1,-1,-2,-2
38643,RedX,5,0,-2,-2,-2,-1,-1,-1,-1,-2,-1
38979,Tristan's Rule,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
39235,Dream,4,0,-1,-2,-2,-1,-1,-2,-1,-2,-2
40476,Medz,4,4,-2,4,4,7,9,-2,-2,-2,-2
40793,MGFC | JorDank,2,0,-2,-2,-2,-2,-2,-2,-1,-2,-1
41357,702 | AJ,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
41374,Anchovy,3,3,-2,-2,-2,-2,-2,9,9,9,-2
41492,Divine Senator Kelly,3,0,-1,-2,-2,-2,-2,-2,-1,-2,-1
44671,Quaff,3,3,4,1,-2,-2,-2,-2,-2,25,-2
44674,Loscar,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
44933,Fleece,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
45292,TZ | Iván,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
45356,OtES,4,0,-2,-2,-2,-1,-1,-1,-2,-2,-1
45726,Faust,2,1,-2,-2,17,-1,-2,-2,-2,-2,-2
46231,geg :),1,0,-2,-1,-2,-2,-2,-2,-2,-2,-2
46349,Aura,2,2,5,-2,-2,-2,-2,-2,-2,13,-2
46962,LeZagna,1,1,-2,-2,-2,-2,-2,-2,7,-2,-2
47304,Boyz II Mensch,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
47501,PP | rocky,1,0,-2,-1,-2,-2,-2,-2,-2,-2,-2
47650,shoelegend88,5,0,-1,-1,-2,-2,-2,-1,-1,-2,-1
48041,Slade,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
48322,AHHHHH | Alice,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
48857,hestoned,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
49711,sad | UwUMysticalGirl,1,1,17,-2,-2,-2,-2,-2,-2,-2,-2
50933,MIT | Fro116,3,3,-2,9,-2,-2,17,-2,17,-2,-2
51076,Power Kevin,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
51112,Pilgrim,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
53437,Shadow,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
53655,Frankhoe,2,1,-1,17,-2,-2,-2,-2,-2,-2,-2
54824,Traplord,2,2,17,-2,-2,-2,-2,-2,-2,9,-2
55166,trades,1,0,-2,-1,-2,-2,-2,-2,-2,-2,-2
56374,NEPA | Ron Paul,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
58588,Jeffthecheff,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
58670,Savestate,1,0,-2,-1,-2,-2,-2,-2,-2,-2,-2
61570,YC | Peppi | | Pappi,2,1,-2,-2,-2,-2,-1,-2,3,-2,-2
62626,SuperCuak,2,0,-1,-2,-2,-2,-1,-2,-2,-2,-2
62721,Dirty Lasagna,2,0,-2,-2,-2,-2,-2,-1,-1,-2,-2
63313,Sneakywill,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
64467,Pingy,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
64644,STP,1,0,-2,-1,-2,-2,-2,-2,-2,-2,-2
64692,SANS | Blues Clues,8,4,17,-1,-2,-1,-1,-1,9,17,9
64909,Calvin,1,0,-2,-1,-2,-2,-2,-2,-2,-2,-2
65566,Miranda,3,0,-1,-1,-2,-2,-1,-2,-2,-2,-2
65777,bobby big ballz,8,8,1,2,3,7,3,3,4,5,-2
67516,raid shadow legends,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
68868,Jr,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
69921,Furniture,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
70796,BHC | Evan,1,1,9,-2,-2,-2,-2,-2,-2,-2,-2
71442,Wiza,3,0,-1,-2,-2,-2,-1,-2,-1,-2,-2
127639,Neologism,3,2,-2,-1,7,-2,-2,17,-2,-2,-2
127997,CW | rabit!,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
128266,EASTJ | Mike,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
129344,totally butts,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
129363,Flow | ESPONJA,4,0,-2,-1,-2,-2,-1,-1,-2,-2,-1
129500,O N I,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
129774,(Ozymandias) | Churze,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
130672,Soltrain,2,0,-2,-2,-2,-1,-2,-2,-2,-2,-1
130746,TZ | Morrito,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
132938,RU | Midnight Blue,4,0,-1,-2,-2,-2,-1,-2,-1,-2,-1
134929,IDK,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
135088,LFG | PanterA,2,2,-2,-2,7,-2,13,-2,-2,-2,-2
135795,cockbread,2,0,-2,-1,-2,-1,-2,-2,-2,-2,-2
136379,HoG | Warmmer,2,2,7,-2,-2,9,-2,-2,-2,-2,-2
137480,Jpeg | RC,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
138710,Golden,1,0,-2,-1,-2,-2,-2,-2,-2,-2,-2
144133,YBBT | leroydankins,4,0,-1,-2,-2,-1,-1,-2,-1,-2,-2
144798,akir,2,1,-1,-2,-2,-2,13,-2,-2,-2,-2
145075,blazerboy,2,0,-2,-2,-2,-1,-1,-2,-2,-2,-2
145567,Biggestbrain,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
147423,FlLFFl,2,0,-2,-1,-2,-2,-2,-1,-2,-2,-2
147424,Spiral Cafe | Krudo,3,0,-2,-2,-2,-1,-2,-1,-1,-2,-2
148021,Rodney,1,0,-2,-1,-2,-2,-2,-2,-2,-2,-2
149076,Fiyah,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
149952,Jakespeare,2,0,-2,-1,-2,-2,-2,-2,-2,-2,-1
150851,Ath | Bumble,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
152800,wally,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
153138,ZouL,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
153143,Ren5o,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
153334,Silkylaroux,2,0,-1,-1,-2,-2,-2,-2,-2,-2,-2
153599,NS | Frog,4,0,-2,-1,-2,-2,-1,-1,-2,-2,-1
156503,FLOW | Beiker,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
157615,ight,3,0,-1,-1,-2,-2,-2,-1,-2,-2,-2
157632,TurboThot,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
158213,LG | Louis,2,1,-2,-2,-2,-2,-2,-2,-2,13,-1
158524,Oferton,2,0,-1,-2,-2,-2,-2,-2,-1,-2,-2
159198,Pi2z,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
162779,FISA | JoJo,1,1,-2,-2,-2,-2,17,-2,-2,-2,-2
170788,TSI | Zane,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
171201,Mootook,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
172046,Saya | QQQ#348,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
172608,Churro,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
172811,Amity,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
173178,LAG,4,2,-1,9,-2,-2,-2,-2,-2,17,-1
175446,DJAN,1,0,-2,-2,-2,-2,-1,-2,-2,-2,-2
175629,WRLD,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
176387,Badboi,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
179962,Fran,1,0,-2,-2,-2,-2,-1,-2,-2,-2,-2
179993,Archi,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
180797,Cpt.Blade,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
182665,Elysian,2,2,-2,-2,-2,-2,-2,17,5,-2,-2
183677,Yamasaki,7,0,-1,-1,-2,-1,-1,-1,-1,-2,-1
184545,Pulch,3,0,-2,-2,-2,-2,-2,-1,-1,-2,-1
185618,Captain G,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
193839,Loki,2,0,-1,-2,-2,-2,-2,-2,-2,-2,-1
211440,Darrell,1,1,-2,-2,-2,-2,-2,-2,-2,-2,13
213297,Chompy,4,0,-2,-2,-2,-2,-1,-1,-1,-2,-1
213911,jtetter,2,0,-2,-2,-2,-1,-2,-1,-2,-2,-2
215584,LAGr | Travioli,5,2,-1,-2,13,17,-2,-1,-2,-2,-1
221136,Zeeker,6,6,9,7,9,9,13,5,-2,-2,-2
221423,Typhoon,4,4,-2,13,-2,-2,17,13,-2,-2,9
224897,AWaveDash,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
226271,SU | wild flower,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
226595,TourGuide,3,0,-2,-2,-2,-2,-1,-1,-1,-2,-2
227436,Chet,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
227672,DumpyComb,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
228400,Piti,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
229209,15SA | Raiken,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
229216,KaiKwonDo,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
230350,AR0,1,0,-2,-2,-2,-2,-1,-2,-2,-2,-2
230537,hHerb,2,0,-1,-2,-2,-2,-2,-1,-2,-2,-2
231083,Phaunsey,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
231685,DMT,2,0,-2,-1,-2,-2,-2,-2,-2,-2,-1
232193,Chiefn_,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
232213,MikeDrop,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
233059,Ribboned Ace,5,0,-1,-1,-2,-1,-2,-2,-1,-2,-1
233850,E-tie,1,0,-2,-1,-2,-2,-2,-2,-2,-2,-2
237282,Electroman,1,0,-2,-1,-2,-2,-2,-2,-2,-2,-2
242832,Rahma Noodles,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
243525,Radamen,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
247592,Bassline,1,0,-2,-2,-2,-2,-1,-2,-2,-2,-2
250355,Rutsky,1,0,-2,-2,-2,-2,-1,-2,-2,-2,-2
253767,Captain Pretzel,1,0,-2,-2,-2,-2,-1,-2,-2,-2,-2
254673,Layer,4,0,-2,-1,-2,-2,-1,-1,-2,-2,-1
255496,ericiscool.net,5,0,-1,-1,-2,-1,-1,-2,-2,-2,-1
257406,Lotfy,3,2,5,9,-2,-2,-2,-2,-2,-2,-1
259856,Seraph,3,0,-2,-2,-2,-1,-1,-2,-2,-2,-1
260286,24 | Mamba!,1,0,-2,-2,-2,-2,-1,-2,-2,-2,-2
260631,Coco,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
262000,Minty Hippo,1,0,-2,-2,-2,-2,-1,-2,-2,-2,-2
265808,NOOT,1,1,-2,-2,-2,17,-2,-2,-2,-2,-2
267849,TG | Mot$,2,2,-2,-2,-2,-2,-2,-2,-2,7,5
268767,markrevival,6,0,-1,-1,-2,-2,-1,-1,-1,-2,-1
269238,91,2,0,-1,-1,-2,-2,-2,-2,-2,-2,-2
269511,SquidTheCat,2,0,-2,-2,-2,-2,-2,-1,-2,-2,-1
271333,MMG | Seven,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
274941,unlimited boy,1,0,-2,-1,-2,-2,-2,-2,-2,-2,-2
277309,DPMZ,2,0,-2,-2,-2,-2,-2,-2,-1,-2,-1
278295,ItsDad,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
279107,Khryke,4,4,13,17,5,17,-2,-2,-2,-2,-2
279722,EP | Justus,4,4,17,7,-2,13,-2,17,-2,-2,-2
281390,mourin,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
283648,MDF | Amor,2,0,-2,-2,-2,-1,-1,-2,-2,-2,-2
286021,RU | Graddy,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
286517,Thad <3,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
286931,Egg$,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
287526,MacTheStampede,1,0,-2,-2,-2,-2,-1,-2,-2,-2,-2
287589,The Elder Statesman,1,0,-2,-2,-2,-2,-1,-2,-2,-2,-2
288395,jams,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
310321,TC | BuyMyMixTape,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
323132,JC,1,0,-2,-1,-2,-2,-2,-2,-2,-2,-2
323499,Edier,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
324561,Soonsay,3,3,2,-2,-2,5,-2,-2,-2,-2,5
325974,SDJ,1,1,-2,-2,-2,-2,-2,-2,-2,-2,17
327212,IWI | Marrgasm,1,0,-2,-2,-2,-2,-1,-2,-2,-2,-2
328674,Raptor Jesus,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
328838,PeS | Puppy,1,0,-2,-1,-2,-2,-2,-2,-2,-2,-2
329361,ijw,1,1,-2,-2,-2,-2,-2,-2,17,-2,-2
329937,LanTurN,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
344562,Blu,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
348589,Okami,1,0,-2,-2,-2,-2,-1,-2,-2,-2,-2
354953,RPG,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
360229,BEBO,3,0,-2,-1,-2,-1,-2,-2,-2,-2,-1
363202,Luigi Gang | Brownie,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
372512,TAS | TrueAlpha,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
378512,Khoron | Oreo,6,1,-1,-1,-2,-1,17,-1,-2,-2,-1
379542,Lee,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
391890,TheFormuoli,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
395730,PQ2 | CPU0,5,3,-2,-2,13,-1,9,-1,-2,17,-2
407048,WA | AodhaN,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
407749,carrotslat,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
413573,John,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
416070,Pooptown,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
422020,Kupo,2,0,-2,-2,-2,-2,-2,-2,-1,-2,-1
427342,Lamonster,1,0,-2,-2,-2,-2,-1,-2,-2,-2,-2
