SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2
1008,Westballz,1,1,3,-2
1092,Connor,2,0,-1,-1
2083,Phil,1,0,-1,-2
2088,ycz6,1,1,-2,5
3602,JLo,2,0,-1,-1
3665,Younger,2,2,13,13
4317,donk,1,0,-1,-2
4390,NGG | Jflex,2,2,9,5
4394,Zhyrri,1,0,-2,-1
4434,Skeeter,1,0,-1,-2
4876,will1v1_ttv,1,0,-2,-1
5618,HOLD$DOGE | Crypto Quiggles,2,1,-1,13
5869,Joey Bats,2,0,-1,-1
7693,Kanye Rest,1,0,-1,-2
10060,PapaNoJohns,1,0,-2,-1
10362,Elk G | Ivayne,2,0,-1,-1
10485,DD,2,0,-1,-1
10520,CREW | G,2,0,-1,-1
11590,Rickeye_rick,1,0,-2,-1
11606,Elk_G | Karm,1,0,-1,-2
11945,CSTR#106 | Strazz,2,0,-1,-1
12137,yingling,2,1,-1,17
13505,Sworderailer,1,0,-1,-2
13746,Baja,1,0,-2,-1
13765,Help,2,0,-1,-1
13956,Vino,1,0,-1,-2
14305,Nard Dawg,1,0,-2,-1
14489,Crow,1,0,-2,-1
14667,Proobie44,1,0,-1,-2
15070,Verdo,2,0,-1,-1
15298,Cowbell,2,0,-1,-1
16393,Higgins,1,0,-2,-1
18652,LFTG | Logos,1,1,13,-2
18722,K.H.D | Reign,2,0,-1,-1
19270,Connorasada,1,0,-1,-2
19651,SC | Lad,1,0,-2,-1
19709,Old McJonald,1,0,-2,-1
21405,Fire,1,0,-2,-1
22088,Nebulous | Jib,2,0,-1,-1
22458,Kandayo,2,0,-1,-1
22491,Ari,1,0,-2,-1
27069,JoeyBonzo,1,0,-1,-2
28663,QTT | Marco,2,0,-1,-1
29103,Hexjo,1,0,-2,-1
29405,Vianny,1,0,-1,-2
30054,20PcMcnugget,1,0,-1,-2
30865,Spi,2,0,-1,-1
31487,Siddward,2,0,-1,-1
32190,Crow,1,0,-2,-1
34266,WOMB#619 | Wombat,1,0,-1,-2
34399,BuenasRetas | Cobs,2,0,-1,-1
36532,Googlyeyed,1,1,13,-2
36782,Oaty,1,0,-1,-2
37062,Reaver_King,1,0,-2,-1
37116,GUG | Kürv,1,1,-2,3
38979,Tristan's Rule,1,0,-1,-2
39235,Dream,1,0,-1,-2
40476,Medz,1,1,-2,4
41492,Divine Senator Kelly,1,0,-1,-2
44671,Quaff,2,2,4,1
45292,TZ | Iván,1,0,-1,-2
46231,geg :),1,0,-2,-1
46349,Aura,1,1,5,-2
47501,PP | rocky,1,0,-2,-1
47650,shoelegend88,2,0,-1,-1
49711,sad | UwUMysticalGirl,1,1,17,-2
50933,Fro116,1,1,-2,9
51112,Pilgrim,1,0,-1,-2
53655,Frankhoe,2,1,-1,17
54824,Red Dead | Traplord,1,1,17,-2
55166,trades,1,0,-2,-1
58670,Savestate,1,0,-2,-1
62626,SuperCuak,1,0,-1,-2
64467,Pingy,1,0,-1,-2
64644,STP,1,0,-2,-1
64692,SANS | Blues Clues,2,1,17,-1
64909,Calvin,1,0,-2,-1
65566,Miranda,2,0,-1,-1
65777,bobby big ballz,2,2,1,2
69921,Furniture,1,0,-1,-2
70796,BHC | Evan,1,1,9,-2
71442,Wiza,1,0,-1,-2
127639,Neologism,1,0,-2,-1
129363,Flow | ESPONJA,1,0,-2,-1
130746,TZ | Morrito,1,0,-1,-2
132938,RU | Midnight Blue,1,0,-1,-2
135795,cockbread,1,0,-2,-1
136379,HoG | Warmmer,1,1,7,-2
138710,Golden,1,0,-2,-1
144133,YBBT | leroydankins,1,0,-1,-2
144798,akir,1,0,-1,-2
147423,FlLFFl,1,0,-2,-1
148021,Rodney,1,0,-2,-1
149952,Jakespeare,1,0,-2,-1
150851,Ath | Bumble,1,0,-1,-2
153138,ZouL,1,0,-1,-2
153334,Silkylaroux,2,0,-1,-1
153599,NS | Frog,1,0,-2,-1
157615,ight,2,0,-1,-1
158524,Oferton,1,0,-1,-2
172608,Churro,1,0,-1,-2
173178,LAG,2,1,-1,9
183677,Yamasaki,2,0,-1,-1
185618,Captain G,1,0,-1,-2
193839,Loki,1,0,-1,-2
215584,LAGr | Travioli,1,0,-1,-2
221136,Zeeker,2,2,9,7
221423,Typhoon,1,1,-2,13
228400,Piti,1,0,-1,-2
230537,hHerb,1,0,-1,-2
231685,DMT,1,0,-2,-1
232213,MikeDrop,1,0,-1,-2
233059,Ribboned Ace,2,0,-1,-1
233850,E-tie,1,0,-2,-1
237282,Electroman,1,0,-2,-1
254673,Layer,1,0,-2,-1
255496,ericiscool.net,2,0,-1,-1
257406,Lotfy,2,2,5,9
268767,markrevival,2,0,-1,-1
269238,91,2,0,-1,-1
271333,MMG | Seven,1,0,-1,-2
274941,unlimited boy,1,0,-2,-1
278295,ItsDad,1,0,-1,-2
279107,Khryke,2,2,13,17
279722,EP | Justus,2,2,17,7
288395,jams,1,0,-1,-2
310321,TC | BuyMyMixTape,1,0,-1,-2
323132,JC,1,0,-2,-1
324561,Soonsay,1,1,2,-2
328838,PeS | Puppy,1,0,-2,-1
360229,BEBO,1,0,-2,-1
378512,KG/SBC | Oreo,2,0,-1,-1
436506,FestivalDeLaCombo,1,0,-2,-1
448153,Neenor,1,0,-1,-2
466221,Melo,1,0,-2,-1
472971,MaxJacks,2,0,-1,-1
483428,DCG | Spots,1,0,-1,-2
493224,Fitz,2,0,-1,-1
503278,Pogey,1,0,-1,-2
512704,Axis,1,0,-1,-2
520837,Neck,2,0,-1,-1
533918,Maelstrom,1,0,-1,-2
542693,Bbatts,1,1,9,-2
577038,Zakqary,1,0,-2,-1
582190,rice,1,0,-2,-1
618857,Lamdin,1,0,-1,-2
627118,Pipe,2,0,-1,-1
657464,CowCowCowCowCow,2,1,-1,13
657711,PurpleZ,1,0,-1,-2
684008,deep_cuts,1,0,-2,-1
692999,maso soup,1,0,-1,-2
725508,620 | Megacaat,1,0,-2,-1
800147,Dark Oreo Master,1,0,-2,-1
804411,Neee,1,0,-1,-2
807868,Funk,1,0,-1,-2
819230,Willy P,2,0,-1,-1
852916,Krizski,2,2,7,9
856699,Logan,1,0,-2,-1
862074,snacklepackle,2,0,-1,-1
880372,Good1ife,1,0,-1,-2
898035,mathandsurf,1,0,-1,-2
1034300,Oz,1,0,-1,-2
1053605,JFIRE,1,0,-2,-1
1065524,Flippy,1,0,-2,-1
1228401,Asus(4),1,0,-2,-1
