SmasherID,SmashTag,Coast,Wins,Losses,LimitLadderWins,Prospect,Rookie,Pro,AllStar,HallOfFame,Floated,Points,Rank
1008,Westballz,WC,26,4,0,0,0,0,2,0,0,331.0,11.0
1030,LFG | Eddy Mexico,WC,1,2,0,0,0,0,0,0,1,56.0,66.0
1077,Revenge | Gahtzu,EC,10,2,0,0,0,0,0,0,2,355.0,10.0
1088,Scar,WC,12,3,0,0,0,2,0,0,0,32.0,97.0
1092,Connor,WC,6,1,0,0,2,0,0,0,0,16.0,168.0
1601,FendrickLamar,EC,5,2,0,0,1,0,0,0,0,10.0,220.0
2083,Phil,WC,1,0,0,1,0,0,0,0,0,2.0,381.0
2088,ycz6,WC,51,15,0,0,1,2,2,0,0,271.0,13.0
3561,LG | Ginger,EC,4,2,0,0,0,0,0,0,1,189.0,18.0
3602,JLo,EC,17,32,0,4,0,0,0,0,0,21.0,140.0
3661,Hunt,WC,7,7,0,0,1,0,0,0,0,12.0,197.0
3665,Younger,EC,58,34,0,1,1,1,2,0,1,249.0,14.0
3949,Project Pat,WC,2,1,0,0,1,0,0,0,0,7.0,271.0
3977,B0XX | Sicca,EC,29,21,0,0,2,1,0,0,0,49.0,74.0
4127,Toph,WC,7,3,0,0,0,1,0,0,0,27.0,113.0
4176,NathanSandwich,WC,16,9,0,0,0,2,0,0,0,61.0,62.0
4205,a-on,WC,12,10,0,0,2,0,0,0,0,22.0,129.0
4317,Solomon,WC,20,17,0,3,0,1,0,0,0,33.0,96.0
4390,Jflex,EC,35,16,0,1,0,2,0,0,3,456.0,6.0
4394,Zhyrri,WC,10,4,0,0,0,1,0,0,0,20.0,148.0
4434,Skeeter,WC,2,3,0,1,0,0,0,0,0,3.0,350.0
4446,RCS | Chi,EC,12,4,0,0,0,1,0,0,0,97.0,44.0
4748,GST | Ryobeat,EC,10,4,0,0,0,1,0,0,0,115.0,38.0
4876,will1v1_ttv,WC,4,5,0,1,0,0,0,0,0,5.0,300.0
4929,Melee Stats | Ambisinister,EC,10,2,0,0,2,0,0,0,0,20.0,148.0
5618,CRACKSHACK | Quiggles,EC,34,21,0,0,1,3,0,0,0,94.0,46.0
5714,092 | LXIX,EC,4,4,0,0,1,0,0,0,0,9.0,240.0
5724,Wassabi,WC,10,8,0,0,0,1,0,0,0,20.0,148.0
5869,Joey Bats,EC,38,38,0,0,6,0,0,0,0,68.0,56.0
6839,Drephen,EC,13,3,0,0,0,0,1,0,0,123.0,36.0
7194,Gingerham,EC,5,5,0,1,0,0,0,0,0,6.0,287.0
7297,Tequila,EC,2,11,0,1,0,0,0,0,0,3.0,350.0
7495,Townes,EC,6,4,0,0,1,0,0,0,0,11.0,207.0
7654,Schnurb,EC,9,4,0,0,0,1,0,0,0,19.0,155.0
7676,MrDrBoi,EC,1,8,0,1,0,0,0,0,0,2.0,381.0
7693,Kanye Rest,EC,7,5,0,0,1,0,0,0,0,12.0,197.0
7764,sfy | Fizz,EC,6,6,0,0,1,0,0,0,0,11.0,207.0
7962,FreeMelee | Zuppy,EC,10,3,0,0,0,1,0,0,0,145.0,27.0
10060,PapaNoJohns,WC,12,9,0,0,2,0,0,0,0,22.0,129.0
10067,icecream,WC,5,14,0,2,0,0,0,0,0,7.0,271.0
10228,Flow | Stark,WC,11,6,0,0,2,0,0,0,0,21.0,140.0
10268,PLEB | Capy,WC,6,11,0,2,0,0,0,0,0,8.0,261.0
10362,Elk G | Ivayne,WC,25,9,0,1,0,1,1,0,1,71.0,54.0
10485,DD,WC,10,5,0,1,2,0,0,0,0,21.0,140.0
10520,CREW | G,WC,30,22,0,0,3,1,0,0,0,55.0,69.0
