SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,ChangeInRank
1008,Westballz,3.0,7.0,12.0,-5.0
1030,LFG | Eddy Mexico,NAN,NAN,31.0,NAN
1092,Connor,65.0,59.0,72.0,-13.0
2083,Phil,105.0,166.0,178.0,-12.0
2088,ycz6,NAN,12.0,16.0,-4.0
3602,JLo,82.0,99.0,113.0,-14.0
3665,Younger,14.0,13.0,15.0,-2.0
4317,donk,65.0,99.0,113.0,-14.0
4390,Jflex,10.0,4.0,4.0,0.0
4394,Zhyrri,NAN,50.0,61.0,-11.0
4434,Skeeter,96.0,152.0,165.0,-13.0
4876,will1v1_ttv,NAN,116.0,130.0,-14.0
5618,HOLD$DOGE | Crypto Quiggles,28.0,20.0,28.0,-8.0
5869,Joey Bats,49.0,37.0,47.0,-10.0
7693,Kanye Rest,49.0,77.0,91.0,-14.0
10060,PapaNoJohns,NAN,84.0,97.0,-13.0
10362,Elk G | Ivayne,19.0,22.0,27.0,-5.0
10485,DD,105.0,68.0,82.0,-14.0
10520,CREW | G,32.0,34.0,44.0,-10.0
11590,Rickeye_rick,NAN,116.0,130.0,-14.0
11606,Elk_G | Karm,96.0,152.0,165.0,-13.0
11945,CSTR#106 | Strazz,49.0,50.0,39.0,11.0
12137,yingling,30.0,25.0,22.0,3.0
13505,Sworderailer,78.0,112.0,126.0,-14.0
13746,Baja,NAN,93.0,106.0,-13.0
13765,Help,105.0,77.0,91.0,-14.0
13932,Mango's Friend | Lucky,NAN,NAN,9.0,NAN
13956,Vino,65.0,99.0,113.0,-14.0
14305,Nard Dawg,NAN,93.0,106.0,-13.0
14489,Crow,NAN,131.0,144.0,-13.0
14667,Proobie44,105.0,166.0,178.0,-12.0
15070,Verdo,96.0,84.0,97.0,-13.0
15298,Cowbell,32.0,32.0,42.0,-10.0
16393,Higgins,NAN,84.0,97.0,-13.0
18652,LFTG | Logos,15.0,25.0,35.0,-10.0
18722,Reign,105.0,116.0,77.0,39.0
19270,Connorasada,71.0,108.0,122.0,-14.0
19651,SC | Lad,NAN,46.0,57.0,-11.0
19709,Old McJonald,NAN,152.0,165.0,-13.0
21405,Fire,NAN,93.0,106.0,-13.0
22088,Nebulous | Jib,61.0,46.0,57.0,-11.0
22458,Kandayo,105.0,131.0,144.0,-13.0
22491,Ari,NAN,166.0,178.0,-12.0
26750,KoDoRiN,NAN,NAN,6.0,NAN
27069,JoeyBonzo,124.0,186.0,198.0,-12.0
27527,Megaman,NAN,NAN,57.0,NAN
28663,QTT | Marco,49.0,42.0,53.0,-11.0
29103,Hexjo,NAN,131.0,144.0,-13.0
29405,Vianny,61.0,93.0,106.0,-13.0
29840,TBD,NAN,NAN,30.0,NAN
30054,20PcMcnugget,124.0,186.0,198.0,-12.0
30865,Spi,105.0,131.0,144.0,-13.0
31487,Winx Club | Siddward,23.0,32.0,23.0,9.0
32190,Crow,NAN,77.0,91.0,-14.0
34266,WOMB#619 | Wombat,88.0,131.0,144.0,-13.0
34399,BuenasRetas | Cobs,75.0,59.0,72.0,-13.0
36532,Googlyeyed,16.0,27.0,36.0,-9.0
36782,Oaty,26.0,42.0,53.0,-11.0
37062,Reaver_King,NAN,116.0,130.0,-14.0
37116,GUG | Kürv,NAN,6.0,11.0,-5.0
38979,Tristan's Rule,29.0,50.0,61.0,-11.0
39235,Dream,35.0,59.0,72.0,-13.0
40476,Medz,NAN,9.0,3.0,6.0
41492,Divine Senator Kelly,105.0,166.0,178.0,-12.0
44671,Quaff,4.0,2.0,2.0,0.0
45292,TZ | Iván,42.0,68.0,82.0,-14.0
45726,Faust,NAN,NAN,61.0,NAN
46231,geg :),NAN,131.0,144.0,-13.0
46349,Aura,6.0,14.0,18.0,-4.0
47501,PP | rocky,NAN,116.0,130.0,-14.0
47650,shoelegend88,71.0,39.0,49.0,-10.0
49711,sad | UwUMysticalGirl,21.0,36.0,46.0,-10.0
50933,Fro116,NAN,18.0,24.0,-6.0
51112,Pilgrim,61.0,93.0,106.0,-13.0
53655,Frankhoe,37.0,29.0,38.0,-9.0
54824,Red Dead | Traplord,18.0,35.0,45.0,-10.0
55166,trades,NAN,186.0,198.0,-12.0
58670,Savestate,NAN,46.0,57.0,-11.0
62626,SuperCuak,42.0,68.0,82.0,-14.0
64467,Pingy,105.0,166.0,178.0,-12.0
64644,STP,NAN,112.0,126.0,-14.0
64692,SANS | Blues Clues,19.0,24.0,33.0,-9.0
64909,Calvin,NAN,99.0,113.0,-14.0
65566,Miranda,56.0,56.0,69.0,-13.0
65777,bobby big ballz,1.0,1.0,1.0,0.0
69921,Furniture,42.0,68.0,82.0,-14.0
70796,BHC | Evan,12.0,21.0,29.0,-8.0
71442,Wiza,96.0,152.0,165.0,-13.0
127639,Neologism,NAN,46.0,17.0,29.0
129363,Flow | ESPONJA,NAN,66.0,80.0,-14.0
130746,TZ | Morrito,24.0,40.0,51.0,-11.0
132938,RU | Midnight Blue,56.0,84.0,97.0,-13.0
135088,LFG | PanterA,NAN,NAN,20.0,NAN
135795,cockbread,NAN,77.0,91.0,-14.0
136379,HoG | Warmmer,7.0,15.0,19.0,-4.0
138710,Golden,NAN,58.0,71.0,-13.0
144133,YBBT | leroydankins,82.0,116.0,130.0,-14.0
144798,akir,65.0,99.0,113.0,-14.0
147423,FlLFFl,NAN,131.0,144.0,-13.0
148021,Rodney,NAN,116.0,130.0,-14.0
