SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3,PWeek4,PWeek5,PWeek6
26387,Phantom Airline,2,0,-2,-2,-2,-1,-2,-1
26623,B0XX | ADMJ,1,0,-2,-2,-2,-2,-2,-1
26750,KoDoRiN,3,3,-2,-2,1,1,2,-2
26934,Clay,1,0,-2,-2,-2,-2,-2,-1
27069,JoeyBonzo,1,0,-1,-2,-2,-2,-2,-2
27527,Megaman,1,1,-2,-2,17,-2,-2,-2
27780,IHOP Dan,1,0,-2,-2,-2,-2,-2,-1
28663,QTT | Marco,2,0,-1,-1,-2,-2,-2,-2
28815,doctahdylan,1,0,-2,-2,-2,-2,-2,-1
29103,Hexjo,3,0,-2,-1,-2,-1,-2,-1
29405,Vianny,1,0,-1,-2,-2,-2,-2,-2
29840,TBD,3,1,-2,-2,9,-2,-1,-1
29984,Broasty,3,0,-2,-2,-2,-1,-1,-1
30054,20PcMcnugget,1,0,-1,-2,-2,-2,-2,-2
30865,Spi,4,0,-1,-1,-2,-1,-2,-1
31487,Winx Club | Siddward,6,2,-1,-1,13,17,-1,-1
32190,Crow,2,1,-2,-1,-2,-2,-2,13
33387,pointykitty,1,0,-2,-2,-2,-2,-2,-1
33458,RustyTrombone,1,0,-2,-2,-2,-2,-2,-1
33655,Mo $,2,0,-2,-2,-2,-1,-2,-1
34180,Socknose,1,0,-2,-2,-2,-2,-2,-1
34266,WOMB#619 | Wombat,2,0,-1,-2,-2,-1,-2,-2
34351,Simon,1,0,-2,-2,-2,-2,-2,-1
34399,BuenasRetas | Cobs,3,0,-1,-1,-2,-2,-1,-2
34980,Crispy | Chango,1,0,-2,-2,-2,-1,-2,-2
35258,LFG | Fist Mexico,1,0,-2,-2,-2,-1,-2,-2
36403,Smashdaddy,1,1,-2,-2,-2,-2,-2,2
36532,Googlyeyed,1,1,13,-2,-2,-2,-2,-2
36538,Bayløck,2,0,-2,-2,-2,-1,-1,-2
36782,Oaty,1,0,-1,-2,-2,-2,-2,-2
37062,Reaver_King,2,0,-2,-1,-2,-1,-2,-2
37116,GUG | Kürv,4,4,-2,3,-2,13,13,7
37865,INDY,2,0,-2,-2,-2,-2,-1,-1
38643,RedX,3,0,-2,-2,-2,-1,-1,-1
38979,Tristan's Rule,1,0,-1,-2,-2,-2,-2,-2
39235,Dream,3,0,-1,-2,-2,-1,-1,-2
40476,Medz,4,4,-2,4,4,7,9,-2
41374,Anchovy,1,1,-2,-2,-2,-2,-2,9
41492,Divine Senator Kelly,1,0,-1,-2,-2,-2,-2,-2
44671,Quaff,2,2,4,1,-2,-2,-2,-2
44933,Fleece,1,0,-2,-2,-2,-2,-2,-1
45292,TZ | Iván,1,0,-1,-2,-2,-2,-2,-2
45356,OtES,3,0,-2,-2,-2,-1,-1,-1
45726,Faust,2,1,-2,-2,17,-1,-2,-2
46231,geg :),1,0,-2,-1,-2,-2,-2,-2
46349,Aura,1,1,5,-2,-2,-2,-2,-2
47304,Boyz II Mensch,1,0,-2,-2,-2,-1,-2,-2
47501,PP | rocky,1,0,-2,-1,-2,-2,-2,-2
47650,shoelegend88,3,0,-1,-1,-2,-2,-2,-1
48041,Slade,1,0,-2,-2,-2,-1,-2,-2
48857,hestoned,1,0,-2,-2,-2,-2,-2,-1
49711,sad | UwUMysticalGirl,1,1,17,-2,-2,-2,-2,-2
50933,MIT | Fro116,2,2,-2,9,-2,-2,17,-2
51112,Pilgrim,1,0,-1,-2,-2,-2,-2,-2
53655,Frankhoe,2,1,-1,17,-2,-2,-2,-2
54824,Red Dead | Traplord,1,1,17,-2,-2,-2,-2,-2
55166,trades,1,0,-2,-1,-2,-2,-2,-2
58670,Savestate,1,0,-2,-1,-2,-2,-2,-2
61570,YC | Peppi | | Pappi,1,0,-2,-2,-2,-2,-1,-2
62626,SuperCuak,2,0,-1,-2,-2,-2,-1,-2
62721,Dirty Lasagna,1,0,-2,-2,-2,-2,-2,-1
63313,Sneakywill,1,0,-2,-2,-2,-2,-2,-1
64467,Pingy,1,0,-1,-2,-2,-2,-2,-2
64644,STP,1,0,-2,-1,-2,-2,-2,-2
64692,SANS | Blues Clues,5,1,17,-1,-2,-1,-1,-1
64909,Calvin,1,0,-2,-1,-2,-2,-2,-2
65566,Miranda,3,0,-1,-1,-2,-2,-1,-2
65777,bobby big ballz,6,6,1,2,3,7,3,3
68868,Jr,1,0,-2,-2,-2,-1,-2,-2
69921,Furniture,1,0,-1,-2,-2,-2,-2,-2
