SmasherID,SmashTag,BWeek1
1008,Westballz,177.0
1092,Connor,9.0
2083,Phil,2.0
3602,JLo,5.0
3665,Younger,55.0
4317,donk,9.0
4390,NGG | Jflex,66.0
4434,Skeeter,3.0
5618,HOLD$DOGE | Crypto Quiggles,21.0
5869,Joey Bats,12.0
7693,Kanye Rest,12.0
10362,Elk G | Ivayne,29.0
10485,DD,2.0
10520,CREW | G,18.0
11606,Elk_G | Karm,3.0
11945,CSTR#106 | Strazz,12.0
12137,yingling,19.0
13505,Sworderailer,6.0
13765,Help,2.0
13956,Vino,9.0
14667,Proobie44,2.0
15070,Verdo,3.0
15298,Cowbell,18.0
18652,LFTG | Logos,47.0
18722,K.H.D | Reign,2.0
19270,Connorasada,8.0
22088,Nebulous | Jib,10.0
22458,Kandayo,2.0
27069,JoeyBonzo,1.0
28663,QTT | Marco,12.0
29405,Vianny,10.0
30054,20PcMcnugget,1.0
30865,Spi,2.0
31487,Winx Club | Siddward,24.0
34266,WOMB#619 | Wombat,4.0
34399,BuenasRetas | Cobs,7.0
36532,Googlyeyed,44.0
36782,Oaty,22.0
38979,Tristan's Rule,20.0
39235,Dream,16.0
41492,Divine Senator Kelly,2.0
44671,Quaff,155.0
45292,TZ | Iván,13.0
46349,Aura,107.0
47650,shoelegend88,8.0
49711,sad | UwUMysticalGirl,28.0
51112,Pilgrim,10.0
53655,Frankhoe,15.0
54824,Red Dead | Traplord,34.0
62626,SuperCuak,13.0
64467,Pingy,2.0
64692,SANS | Blues Clues,29.0
65566,Miranda,11.0
65777,bobby big ballz,215.0
69921,Furniture,13.0
70796,BHC | Evan,63.0
71442,Wiza,3.0
130746,TZ | Morrito,23.0
132938,RU | Midnight Blue,11.0
136379,HoG | Warmmer,104.0
144133,YBBT | leroydankins,5.0
144798,akir,9.0
150851,Ath | Bumble,4.0
153138,ZouL,13.0
153334,Silkylaroux,9.0
157615,ight,15.0
158524,Oferton,8.0
172608,Churro,2.0
173178,LAG,23.0
183677,Yamasaki,10.0
185618,Captain G,12.0
193839,Loki,13.0
215584,LAGr | Travioli,11.0
221136,Zeeker,64.0
228400,Piti,5.0
230537,hHerb,4.0
232213,MikeDrop,14.0
233059,Ribboned Ace,12.0
255496,ericiscool.net,2.0
257406,Lotfy,125.0
268767,markrevival,2.0
269238,91,2.0
271333,MMG | Seven,18.0
278295,ItsDad,3.0
279107,Khryke,57.0
279722,EP | Justus,39.0
288395,jams,16.0
310321,TC | BuyMyMixTape,2.0
324561,Soonsay,191.0
378512,KG/SBC | Oreo,25.0
448153,Neenor,6.0
472971,MaxJacks,2.0
483428,DCG | Spots,3.0
493224,Fitz,4.0
503278,Pogey,5.0
512704,Axis,3.0
520837,Neck,14.0
533918,Maelstrom,7.0
542693,Bbatts,72.0
618857,Lamdin,22.0
627118,Pipe,13.0
657464,CowCowCowCowCow,6.0
657711,PurpleZ,11.0
692999,maso soup,3.0
804411,Neee,2.0
807868,Funk,4.0
819230,Willy P,19.0
852916,Krizski,98.0
862074,snacklepackle,5.0
880372,Good1ife,15.0
898035,mathandsurf,1.0
1034300,Oz,4.0
1232194,Kawaii Kid | King Salmon,1.0
1308234,JackO,1.0
1487504,Arn255,9.0
1525551,Lechero,1.0
1638022,pathojin,3.0
1640788,Special K,2.0
1669002,JehL,1.0
1737518,Kombeze Ataie,7.0
1866109,BubbleFuel,4.0
1918686,roadkill,1.0
1927744,pr0j3cts,1.0
1957958,50 Rats in a Trenchcoat,1.0
1966716,LewdCelebs4Free,5.0
2038523,thesiscat,4.0
2103929,sidewinder572,1.0
2133564,Brandt,2.0
2136488,Sacred,11.0
2145653,doubledown8,12.0
2149456,Quadragesimus,2.0
2154680,Godslayer903,8.0
2156746,Wobs,1.0
2177428,KYROS | Chuchaka2112,6.0
2178856,Abermega,1.0
2179108,Mud,13.0
