SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RWeek4,RWeek5,RWeek6,RWeek7,RWeek8,RWeek9,ChangeInRank
1008,Westballz,3.0,7.0,12.0,7.0,7.0,10.0,11.0,11.0,12.0,-1.0
1019,CLG | SFAT,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,32.0,NAN
1030,LFG | Eddy Mexico,NAN,NAN,31.0,36.0,45.0,55.0,66.0,71.0,77.0,-6.0
1077,Revenge | Gahtzu,NAN,NAN,NAN,NAN,20.0,24.0,10.0,10.0,7.0,3.0
1088,Scar,NAN,NAN,NAN,NAN,NAN,155.0,97.0,104.0,90.0,14.0
1092,Connor,65.0,59.0,72.0,96.0,127.0,147.0,168.0,173.0,193.0,-20.0
1601,FendrickLamar,NAN,NAN,NAN,NAN,NAN,195.0,220.0,225.0,80.0,145.0
2083,Phil,105.0,166.0,178.0,244.0,280.0,339.0,381.0,386.0,424.0,-38.0
2088,ycz6,NAN,12.0,16.0,16.0,11.0,12.0,13.0,13.0,15.0,-2.0
3561,LG | Ginger,NAN,NAN,NAN,12.0,14.0,16.0,18.0,20.0,22.0,-2.0
3602,JLo,82.0,99.0,113.0,96.0,95.0,118.0,140.0,147.0,161.0,-14.0
3661,Hunt,NAN,NAN,NAN,NAN,NAN,NAN,197.0,202.0,220.0,-18.0
3665,Younger,14.0,13.0,15.0,18.0,19.0,21.0,14.0,14.0,13.0,1.0
3949,Project Pat,NAN,NAN,NAN,NAN,198.0,247.0,271.0,276.0,307.0,-31.0
3954,YungWaff,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.0,NAN
3977,B0XX | Sicca,NAN,NAN,NAN,NAN,120.0,74.0,74.0,79.0,87.0,-8.0
4127,Toph,NAN,NAN,NAN,NAN,74.0,97.0,113.0,120.0,132.0,-12.0
4176,NathanSandwich,NAN,NAN,NAN,NAN,NAN,135.0,62.0,67.0,73.0,-6.0
