SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1
1008,Westballz,1,1,3
1092,Connor,1,0,-1
2083,Phil,1,0,-1
3602,JLo,1,0,-1
3665,Younger,1,1,13
4317,donk,1,0,-1
4390,NGG | Jflex,1,1,9
4434,Skeeter,1,0,-1
5618,HOLD$DOGE | Crypto Quiggles,1,0,-1
5869,Joey Bats,1,0,-1
7693,Kanye Rest,1,0,-1
10362,Elk G | Ivayne,1,0,-1
10485,DD,1,0,-1
10520,CREW | G,1,0,-1
11606,Elk_G | Karm,1,0,-1
11945,CSTR#106 | Strazz,1,0,-1
12137,yingling,1,0,-1
13505,Sworderailer,1,0,-1
13765,Help,1,0,-1
13956,Vino,1,0,-1
14667,Proobie44,1,0,-1
15070,Verdo,1,0,-1
15298,Cowbell,1,0,-1
18652,LFTG | Logos,1,1,13
18722,K.H.D | Reign,1,0,-1
19270,Connorasada,1,0,-1
22088,Nebulous | Jib,1,0,-1
22458,Kandayo,1,0,-1
27069,JoeyBonzo,1,0,-1
28663,QTT | Marco,1,0,-1
29405,Vianny,1,0,-1
30054,20PcMcnugget,1,0,-1
30865,Spi,1,0,-1
31487,Winx Club | Siddward,1,0,-1
34266,WOMB#619 | Wombat,1,0,-1
34399,BuenasRetas | Cobs,1,0,-1
36532,Googlyeyed,1,1,13
36782,Oaty,1,0,-1
38979,Tristan's Rule,1,0,-1
39235,Dream,1,0,-1
41492,Divine Senator Kelly,1,0,-1
44671,Quaff,1,1,4
45292,TZ | Iván,1,0,-1
46349,Aura,1,1,5
47650,shoelegend88,1,0,-1
49711,sad | UwUMysticalGirl,1,1,17
51112,Pilgrim,1,0,-1
53655,Frankhoe,1,0,-1
54824,Red Dead | Traplord,1,1,17
62626,SuperCuak,1,0,-1
64467,Pingy,1,0,-1
64692,SANS | Blues Clues,1,1,17
65566,Miranda,1,0,-1
65777,bobby big ballz,1,1,1
69921,Furniture,1,0,-1
70796,BHC | Evan,1,1,9
71442,Wiza,1,0,-1
130746,TZ | Morrito,1,0,-1
132938,RU | Midnight Blue,1,0,-1
136379,HoG | Warmmer,1,1,7
144133,YBBT | leroydankins,1,0,-1
144798,akir,1,0,-1
150851,Ath | Bumble,1,0,-1
153138,ZouL,1,0,-1
153334,Silkylaroux,1,0,-1
157615,ight,1,0,-1
158524,Oferton,1,0,-1
172608,Churro,1,0,-1
173178,LAG,1,0,-1
183677,Yamasaki,1,0,-1
185618,Captain G,1,0,-1
193839,Loki,1,0,-1
215584,LAGr | Travioli,1,0,-1
221136,Zeeker,1,1,9
228400,Piti,1,0,-1
230537,hHerb,1,0,-1
232213,MikeDrop,1,0,-1
233059,Ribboned Ace,1,0,-1
255496,ericiscool.net,1,0,-1
257406,Lotfy,1,1,5
268767,markrevival,1,0,-1
269238,91,1,0,-1
271333,MMG | Seven,1,0,-1
278295,ItsDad,1,0,-1
279107,Khryke,1,1,13
279722,EP | Justus,1,1,17
288395,jams,1,0,-1
310321,TC | BuyMyMixTape,1,0,-1
324561,Soonsay,1,1,2
378512,KG/SBC | Oreo,1,0,-1
448153,Neenor,1,0,-1
472971,MaxJacks,1,0,-1
483428,DCG | Spots,1,0,-1
493224,Fitz,1,0,-1
503278,Pogey,1,0,-1
512704,Axis,1,0,-1
520837,Neck,1,0,-1
533918,Maelstrom,1,0,-1
542693,Bbatts,1,1,9
618857,Lamdin,1,0,-1
627118,Pipe,1,0,-1
657464,CowCowCowCowCow,1,0,-1
657711,PurpleZ,1,0,-1
692999,maso soup,1,0,-1
804411,Neee,1,0,-1
807868,Funk,1,0,-1
819230,Willy P,1,0,-1
852916,Krizski,1,1,7
862074,snacklepackle,1,0,-1
880372,Good1ife,1,0,-1
898035,mathandsurf,1,0,-1
1034300,Oz,1,0,-1
1232194,Kawaii Kid | King Salmon,1,0,-1
1308234,JackO,1,0,-1
1487504,Arn255,1,0,-1
1525551,Lechero,1,0,-1
1638022,pathojin,1,0,-1
1640788,Special K,1,0,-1
1669002,JehL,1,0,-1
1737518,Kombeze Ataie,1,0,-1
1866109,BubbleFuel,1,0,-1
1918686,roadkill,1,0,-1
1927744,pr0j3cts,1,0,-1
1957958,50 Rats in a Trenchcoat,1,0,-1
1966716,LewdCelebs4Free,1,0,-1
2038523,thesiscat,1,0,-1
2103929,sidewinder572,1,0,-1
2133564,Brandt,1,0,-1
2136488,Sacred,1,0,-1
2145653,doubledown8,1,0,-1
2149456,Quadragesimus,1,0,-1
2154680,Godslayer903,1,0,-1
2156746,Wobs,1,0,-1
2177428,KYROS | Chuchaka2112,1,0,-1
2178856,Abermega,1,0,-1
2179108,Mud,1,0,-1
