SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3,PWeek4
1008,Westballz,2,2,3,-2,-2,4
1030,LFG | Eddy Mexico,1,1,-2,-2,9,-2
1092,Connor,2,0,-1,-1,-2,-2
2083,Phil,1,0,-1,-2,-2,-2
2088,ycz6,2,2,-2,5,-2,13
3561,LG | Ginger,1,1,-2,-2,-2,2
3602,JLo,3,0,-1,-1,-2,-1
3665,Younger,4,3,13,13,17,-1
4205,a-on,1,0,-2,-2,-2,-1
4317,donk,2,0,-1,-2,-2,-1
4390,NGG | Jflex,4,4,9,5,5,9
4394,Zhyrri,1,0,-2,-1,-2,-2
4434,Skeeter,1,0,-1,-2,-2,-2
4876,will1v1_ttv,1,0,-2,-1,-2,-2
5618,HOLD$DOGE | Crypto Quiggles,2,1,-1,13,-2,-2
5869,Joey Bats,3,0,-1,-1,-2,-1
7693,Kanye Rest,1,0,-1,-2,-2,-2
10060,PapaNoJohns,1,0,-2,-1,-2,-2
10067,icecream,1,0,-2,-2,-2,-1
10228,Flow | Stark,1,0,-2,-2,-2,-1
10362,Elk G | Ivayne,3,1,-1,-1,17,-2
10485,DD,3,0,-1,-1,-2,-1
10520,CREW | G,3,0,-1,-1,-2,-1
10968,Enemy,1,0,-2,-2,-2,-1
11590,Rickeye_rick,1,0,-2,-1,-2,-2
11606,Elk_G | Karm,1,0,-1,-2,-2,-2
11945,RULES | Strazz,4,1,-1,-1,17,-1
12023,El Link,1,0,-2,-2,-2,-1
12137,yingling,4,2,-1,17,13,-1
13385,ePG | Chevy,1,0,-2,-2,-2,-1
13505,Sworderailer,2,0,-1,-2,-2,-1
13746,Baja,1,0,-2,-1,-2,-2
13765,Help,2,0,-1,-1,-2,-2
13932,Mango's Friend | Lucky,2,2,-2,-2,2,3
13956,Vino,1,0,-1,-2,-2,-2
14305,Nard Dawg,1,0,-2,-1,-2,-2
14489,Crow,2,0,-2,-1,-2,-1
14667,Proobie44,1,0,-1,-2,-2,-2
15070,Verdo,2,0,-1,-1,-2,-2
15087,Reese,1,0,-2,-2,-2,-1
15298,Cowbell,3,0,-1,-1,-2,-1
15504,Umarth,1,0,-2,-2,-2,-1
16294,Ders,1,0,-2,-2,-2,-1
16393,Higgins,2,0,-2,-1,-2,-1
18652,LFTG | Logos,1,1,13,-2,-2,-2
18722,Reign,4,1,-1,-1,25,-1
18840,Gooms,1,0,-2,-2,-2,-1
19270,Connorasada,1,0,-1,-2,-2,-2
19651,SC | Lad,1,0,-2,-1,-2,-2
19709,Old McJonald,1,0,-2,-1,-2,-2
21405,Fire,2,0,-2,-1,-2,-1
22088,Nebulous | Jib,2,0,-1,-1,-2,-2
22458,Kandayo,2,0,-1,-1,-2,-2
22479,Peppi | CrossFitJesus,1,1,-2,-2,-2,9
22491,Ari,1,0,-2,-1,-2,-2
22551,Eddyvandamn,1,0,-2,-2,-2,-1
23214,Potts,1,0,-2,-2,-2,-1
23501,Ratt,1,0,-2,-2,-2,-1
23615,Noc,1,0,-2,-2,-2,-1
26387,Phantom Airline,1,0,-2,-2,-2,-1
26750,KoDoRiN,2,2,-2,-2,1,1
27069,JoeyBonzo,1,0,-1,-2,-2,-2
27527,Megaman,1,1,-2,-2,17,-2
28663,QTT | Marco,2,0,-1,-1,-2,-2
29103,Hexjo,2,0,-2,-1,-2,-1
29405,Vianny,1,0,-1,-2,-2,-2
29840,TBD,1,1,-2,-2,9,-2
29984,Broasty,1,0,-2,-2,-2,-1
30054,20PcMcnugget,1,0,-1,-2,-2,-2
30865,Spi,3,0,-1,-1,-2,-1
31487,Winx Club | Siddward,4,2,-1,-1,13,17
32190,Crow,1,0,-2,-1,-2,-2
33655,Mo $,1,0,-2,-2,-2,-1
34266,WOMB#619 | Wombat,2,0,-1,-2,-2,-1
34399,BuenasRetas | Cobs,2,0,-1,-1,-2,-2
34980,Crispy | Chango,1,0,-2,-2,-2,-1
35258,LFG | Fist Mexico,1,0,-2,-2,-2,-1
36532,Googlyeyed,1,1,13,-2,-2,-2
36538,Bayløck,1,0,-2,-2,-2,-1
36782,Oaty,1,0,-1,-2,-2,-2
37062,Reaver_King,2,0,-2,-1,-2,-1
37116,GUG | Kürv,2,2,-2,3,-2,13
38643,RedX,1,0,-2,-2,-2,-1
38979,Tristan's Rule,1,0,-1,-2,-2,-2
39235,Dream,2,0,-1,-2,-2,-1
40476,Medz,3,3,-2,4,4,7
41492,Divine Senator Kelly,1,0,-1,-2,-2,-2
44671,Quaff,2,2,4,1,-2,-2
45292,TZ | Iván,1,0,-1,-2,-2,-2
45356,OtES,1,0,-2,-2,-2,-1
45726,Faust,2,1,-2,-2,17,-1
46231,geg :),1,0,-2,-1,-2,-2
46349,Aura,1,1,5,-2,-2,-2
47304,Boyz II Mensch,1,0,-2,-2,-2,-1
47501,PP | rocky,1,0,-2,-1,-2,-2
47650,shoelegend88,2,0,-1,-1,-2,-2
48041,Slade,1,0,-2,-2,-2,-1
