SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RWeek4,RWeek5,RWeek6,ChangeInRank
53655,Frankhoe,37.0,29.0,38.0,48.0,56.0,67.0,-11.0
54824,Red Dead | Traplord,18.0,35.0,45.0,54.0,65.0,78.0,-13.0
55166,trades,NAN,186.0,198.0,270.0,315.0,381.0,-66.0
58670,Savestate,NAN,46.0,57.0,75.0,95.0,118.0,-23.0
61570,YC | Peppi | | Pappi,NAN,NAN,NAN,NAN,188.0,234.0,-46.0
62626,SuperCuak,42.0,68.0,82.0,114.0,62.0,74.0,-12.0
62721,Dirty Lasagna,NAN,NAN,NAN,NAN,NAN,182.0,NAN
63313,Sneakywill,NAN,NAN,NAN,NAN,NAN,141.0,NAN
64467,Pingy,105.0,166.0,178.0,244.0,280.0,339.0,-59.0
64644,STP,NAN,112.0,126.0,176.0,211.0,261.0,-50.0
64692,SANS | Blues Clues,19.0,24.0,33.0,32.0,33.0,34.0,-1.0
64909,Calvin,NAN,99.0,113.0,152.0,177.0,216.0,-39.0
65566,Miranda,56.0,56.0,69.0,87.0,70.0,86.0,-16.0
65777,bobby big ballz,1.0,1.0,1.0,1.0,1.0,1.0,0.0
68868,Jr,NAN,NAN,NAN,91.0,120.0,141.0,-21.0
69921,Furniture,42.0,68.0,82.0,114.0,142.0,165.0,-23.0
70796,BHC | Evan,12.0,21.0,29.0,34.0,42.0,50.0,-8.0
71442,Wiza,96.0,152.0,165.0,224.0,220.0,268.0,-48.0
127639,Neologism,NAN,46.0,17.0,20.0,29.0,25.0,4.0
128266,EASTJ | Mike,NAN,NAN,NAN,NAN,NAN,195.0,NAN
129363,Flow | ESPONJA,NAN,66.0,80.0,108.0,109.0,86.0,23.0
129500,O N I,NAN,NAN,NAN,123.0,152.0,173.0,-21.0
130672,Soltrain,NAN,NAN,NAN,244.0,280.0,339.0,-59.0
130746,TZ | Morrito,24.0,40.0,51.0,69.0,82.0,105.0,-23.0
132938,RU | Midnight Blue,56.0,84.0,97.0,129.0,86.0,108.0,-22.0
134929,IDK,NAN,NAN,NAN,NAN,NAN,312.0,NAN
135088,LFG | PanterA,NAN,NAN,20.0,25.0,21.0,26.0,-5.0
135795,cockbread,NAN,77.0,91.0,75.0,95.0,118.0,-23.0
136379,HoG | Warmmer,7.0,15.0,19.0,15.0,17.0,18.0,-1.0
137480,Jpeg | RC,NAN,NAN,NAN,NAN,NAN,182.0,NAN
138710,Golden,NAN,58.0,71.0,91.0,120.0,141.0,-21.0
144133,YBBT | leroydankins,82.0,116.0,130.0,108.0,114.0,135.0,-21.0
144798,akir,65.0,99.0,113.0,152.0,43.0,51.0,-8.0
145075,blazerboy,NAN,NAN,NAN,270.0,280.0,339.0,-59.0
147423,FlLFFl,NAN,131.0,144.0,201.0,240.0,216.0,24.0
147424,Spiral Cafe | Krudo,NAN,NAN,NAN,91.0,120.0,79.0,41.0
148021,Rodney,NAN,116.0,130.0,184.0,220.0,268.0,-48.0
149076,Fiyah,NAN,NAN,NAN,NAN,NAN,312.0,NAN
149952,Jakespeare,NAN,68.0,82.0,114.0,142.0,165.0,-23.0
150851,Ath | Bumble,88.0,131.0,144.0,201.0,240.0,286.0,-46.0
152800,wally,NAN,NAN,NAN,184.0,220.0,268.0,-48.0
153138,ZouL,42.0,68.0,82.0,114.0,142.0,165.0,-23.0
153334,Silkylaroux,65.0,68.0,82.0,114.0,142.0,165.0,-23.0
153599,NS | Frog,NAN,131.0,144.0,201.0,109.0,86.0,23.0
157615,ight,37.0,40.0,51.0,69.0,82.0,97.0,-15.0
158524,Oferton,71.0,108.0,122.0,162.0,188.0,234.0,-46.0
162779,FISA | JoJo,NAN,NAN,NAN,NAN,70.0,86.0,-16.0
171201,Mootook,NAN,NAN,NAN,NAN,NAN,126.0,NAN
172046,Saya | QQQ#348,NAN,NAN,NAN,NAN,NAN,339.0,NAN
172608,Churro,105.0,166.0,178.0,244.0,280.0,339.0,-59.0
172811,Amity,NAN,NAN,NAN,201.0,240.0,286.0,-46.0
173178,LAG,24.0,17.0,21.0,26.0,34.0,45.0,-11.0
175446,DJAN,NAN,NAN,NAN,NAN,280.0,339.0,-59.0
175629,WRLD,NAN,NAN,NAN,176.0,211.0,261.0,-50.0
176387,Badboi,NAN,NAN,NAN,138.0,164.0,195.0,-31.0
179962,Fran,NAN,NAN,NAN,NAN,220.0,268.0,-48.0
179993,Archi,NAN,NAN,NAN,138.0,164.0,195.0,-31.0
182665,Elysian,NAN,NAN,NAN,NAN,NAN,92.0,NAN
183677,Yamasaki,61.0,50.0,61.0,64.0,62.0,62.0,0.0
184545,Pulch,NAN,NAN,NAN,NAN,NAN,234.0,NAN
185618,Captain G,49.0,77.0,91.0,123.0,152.0,173.0,-21.0
193839,Loki,42.0,68.0,82.0,114.0,142.0,165.0,-23.0
213297,Chompy,NAN,NAN,NAN,NAN,240.0,141.0,99.0
213911,jtetter,NAN,NAN,NAN,152.0,177.0,173.0,4.0
215584,LAGr | Travioli,56.0,84.0,33.0,27.0,37.0,44.0,-7.0
221136,Zeeker,11.0,8.0,5.0,9.0,8.0,7.0,1.0
221423,Typhoon,NAN,28.0,37.0,45.0,40.0,33.0,7.0
226271,SU | wild flower,NAN,NAN,NAN,244.0,280.0,339.0,-59.0
226595,TourGuide,NAN,NAN,NAN,NAN,220.0,216.0,4.0
227436,Chet,NAN,NAN,NAN,NAN,NAN,165.0,NAN
227672,DumpyComb,NAN,NAN,NAN,NAN,NAN,261.0,NAN
228400,Piti,82.0,116.0,130.0,184.0,220.0,268.0,-48.0
229209,15SA | Raiken,NAN,NAN,NAN,201.0,240.0,286.0,-46.0
230350,AR0,NAN,NAN,NAN,NAN,152.0,173.0,-21.0
230537,hHerb,88.0,131.0,144.0,201.0,240.0,247.0,-7.0
231083,Phaunsey,NAN,NAN,NAN,224.0,263.0,312.0,-49.0
231685,DMT,NAN,116.0,130.0,184.0,220.0,268.0,-48.0
232213,MikeDrop,40.0,66.0,80.0,108.0,139.0,161.0,-22.0
233059,Ribboned Ace,49.0,54.0,67.0,64.0,78.0,102.0,-24.0
233850,E-tie,NAN,64.0,77.0,103.0,133.0,155.0,-22.0
237282,Electroman,NAN,152.0,165.0,224.0,263.0,312.0,-49.0
243525,Radamen,NAN,NAN,NAN,224.0,263.0,312.0,-49.0
247592,Bassline,NAN,NAN,NAN,NAN,240.0,286.0,-46.0
250355,Rutsky,NAN,NAN,NAN,NAN,164.0,195.0,-31.0
253767,Captain Pretzel,NAN,NAN,NAN,NAN,86.0,108.0,-22.0
254673,Layer,NAN,116.0,130.0,184.0,198.0,195.0,3.0
255496,ericiscool.net,105.0,131.0,144.0,184.0,198.0,247.0,-49.0
257406,Lotfy,5.0,5.0,10.0,14.0,16.0,17.0,-1.0
259856,Seraph,NAN,NAN,NAN,103.0,74.0,97.0,-23.0
260286,24 | Mamba!,NAN,NAN,NAN,NAN,263.0,312.0,-49.0
260631,Coco,NAN,NAN,NAN,NAN,NAN,182.0,NAN
262000,Minty Hippo,NAN,NAN,NAN,NAN,240.0,286.0,-46.0
265808,NOOT,NAN,NAN,NAN,52.0,61.0,72.0,-11.0
268767,markrevival,105.0,152.0,165.0,224.0,240.0,268.0,-28.0
269238,91,105.0,99.0,113.0,152.0,177.0,216.0,-39.0
269511,SquidTheCat,NAN,NAN,NAN,NAN,NAN,268.0,NAN
271333,MMG | Seven,32.0,56.0,69.0,87.0,114.0,135.0,-21.0
274941,unlimited boy,NAN,99.0,113.0,152.0,177.0,216.0,-39.0
278295,ItsDad,96.0,152.0,165.0,224.0,263.0,312.0,-49.0
279107,Khryke,13.0,16.0,7.0,11.0,12.0,13.0,-1.0
279722,EP | Justus,17.0,11.0,14.0,13.0,15.0,14.0,1.0
283648,MDF | Amor,NAN,NAN,NAN,244.0,133.0,155.0,-22.0
286517,Thad <3,NAN,NAN,NAN,224.0,263.0,312.0,-49.0
286931,Egg$,NAN,NAN,NAN,138.0,164.0,195.0,-31.0
287526,MacTheStampede,NAN,NAN,NAN,NAN,280.0,339.0,-59.0
287589,The Elder Statesman,NAN,NAN,NAN,NAN,280.0,339.0,-59.0
288395,jams,35.0,59.0,72.0,96.0,127.0,147.0,-20.0
310321,TC | BuyMyMixTape,105.0,166.0,178.0,244.0,280.0,339.0,-59.0
323132,JC,NAN,186.0,198.0,270.0,315.0,381.0,-66.0
323499,Edier,NAN,NAN,NAN,NAN,NAN,312.0,NAN
324561,Soonsay,2.0,3.0,8.0,8.0,9.0,11.0,-2.0
327212,IWI | Marrgasm,NAN,NAN,NAN,NAN,82.0,105.0,-23.0
328838,PeS | Puppy,NAN,186.0,198.0,270.0,315.0,381.0,-66.0
348589,Okami,NAN,NAN,NAN,NAN,280.0,339.0,-59.0
354953,RPG,NAN,NAN,NAN,NAN,NAN,312.0,NAN
360229,BEBO,NAN,116.0,130.0,170.0,198.0,247.0,-49.0
363202,Luigi Gang | Brownie,NAN,NAN,NAN,NAN,NAN,381.0,NAN
378512,Khoron | Oreo,22.0,31.0,41.0,38.0,35.0,43.0,-8.0
391890,TheFormuoli,NAN,NAN,NAN,NAN,NAN,195.0,NAN
395730,PQ2 | CPU0,NAN,NAN,43.0,36.0,25.0,23.0,2.0
407048,WA | AodhaN,NAN,NAN,NAN,NAN,NAN,312.0,NAN
416070,Pooptown,NAN,NAN,NAN,270.0,315.0,381.0,-66.0
427342,Lamonster,NAN,NAN,NAN,NAN,177.0,216.0,-39.0
436506,FestivalDeLaCombo,NAN,131.0,144.0,201.0,240.0,286.0,-46.0
448153,Neenor,78.0,112.0,126.0,176.0,211.0,261.0,-50.0
449526,King,NAN,NAN,NAN,NAN,280.0,339.0,-59.0
460428,Moshi,NAN,NAN,NAN,NAN,198.0,247.0,-49.0
466221,Melo,NAN,166.0,178.0,244.0,127.0,147.0,-20.0
472971,yBaS | MaxJacks,105.0,116.0,130.0,170.0,177.0,216.0,-39.0
483428,DCG | Spots,96.0,152.0,165.0,224.0,263.0,312.0,-49.0
484238,Alextrer,NAN,NAN,61.0,82.0,102.0,126.0,-24.0
491552,DannyPhantom,NAN,NAN,NAN,55.0,48.0,58.0,-10.0
493224,Fitz,88.0,59.0,72.0,96.0,127.0,147.0,-20.0
503278,Pogey,82.0,116.0,130.0,184.0,220.0,268.0,-48.0
512704,Axis,96.0,152.0,165.0,224.0,198.0,247.0,-49.0
517095,TG CS | EBND,NAN,NAN,NAN,138.0,164.0,195.0,-31.0
519399,Leviath,NAN,NAN,NAN,184.0,220.0,268.0,-48.0
519644,Stoon,NAN,NAN,NAN,NAN,280.0,339.0,-59.0
519779,Tommy,NAN,NAN,NAN,NAN,95.0,38.0,57.0
520837,Neck,40.0,38.0,48.0,63.0,77.0,101.0,-24.0
525553,jerma985,NAN,NAN,NAN,NAN,188.0,234.0,-46.0
531485,Dova,NAN,NAN,NAN,50.0,59.0,70.0,-11.0
533918,Maelstrom,75.0,110.0,124.0,170.0,102.0,92.0,10.0
542693,Bbatts,9.0,19.0,25.0,30.0,32.0,20.0,12.0
577038,Zakqary,NAN,166.0,178.0,244.0,280.0,339.0,-59.0
